GameNum,Gtm,Week,Game_Date,Day,Opponent,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/8/24,Sun,JAX,W,20,17,,23,37,62.2,319,1,8.6,9.16,98.8,3,19,25,81,1,3.2,65,400,6.15,3,2,2,2,4,198,11,5,2,18,8,16,0,2,9,103,0,0,0,33:10:00
2.0,2.0,2.0,9/12/24,Thu,BUF,L,10,31,,25,39,64.1,212,1,5.4,2.49,54.6,2,13,34,139,0,4.1,75,351,4.68,1,1,1,1,1,48,12,8,0,20,7,15,1,5,7,50,0,3,3,36:19:00
3.0,3.0,3.0,9/22/24,Sun,SEA,L,3,24,,20,32,62.5,140,0,4.4,4.38,72.4,6,46,18,65,0,3.6,56,205,3.66,2,1,0,0,6,277,8,2,3,13,1,12,0,3,11,85,0,0,0,28:32:00
4.0,4.0,4.0,9/30/24,Mon,TEN,L,12,31,,14,22,63.6,78,0,3.5,3.55,69.9,2,18,30,106,1,3.5,54,184,3.41,2,2,0,0,5,238,4,6,3,13,2,12,1,3,10,98,1,0,1,25:08:00
5.0,5.0,5.0,10/6/24,Sun,NWE,W,15,10,,18,31,58.1,179,0,5.8,4.32,61.1,3,15,41,193,1,4.7,75,372,4.96,4,3,0,0,3,88,10,10,4,24,2,11,0,1,6,54,1,1,2,34:20:00
6.0,6.0,7.0,10/20/24,Sun,IND,L,10,16,,15,26,57.7,149,1,5.7,6.5,86.9,2,12,40,188,0,4.7,68,337,4.96,2,1,1,1,6,286,8,9,1,18,6,15,0,1,6,50,2,0,2,31:11:00
7.0,7.0,8.0,10/27/24,Sun,ARI,L,27,28,,28,38,73.7,227,1,6.0,6.5,97.1,1,7,25,150,2,6.0,64,377,5.89,2,2,3,3,2,92,15,7,0,22,11,15,0,0,2,15,0,0,0,30:31:00
8.0,8.0,9.0,11/3/24,Sun,BUF,L,27,30,,25,28,89.3,224,2,8.0,9.43,123.8,1,7,31,149,1,4.8,60,373,6.22,2,2,3,3,1,37,14,10,2,26,4,8,1,1,8,57,1,0,1,31:53:00
9.0,9.0,10.0,11/11/24,Mon,LAR,W,23,15,,20,28,71.4,171,1,6.1,5.21,84.1,3,36,22,67,1,3.0,53,238,4.49,3,3,2,2,3,134,11,3,1,15,6,13,0,0,1,15,1,1,2,29:48:00
10.0,10.0,11.0,11/17/24,Sun,LVR,W,34,19,,28,36,77.8,271,3,7.5,9.19,125.8,2,17,26,82,1,3.2,64,353,5.52,2,2,4,4,0,0,18,4,3,25,8,12,2,2,4,23,0,0,0,33:12:00
11.0,11.0,12.0,11/24/24,Sun,NWE,W,34,15,,29,40,72.5,308,4,7.7,9.7,127.9,2,9,24,65,0,2.7,66,373,5.65,2,2,4,4,5,240,19,2,2,23,4,12,0,0,3,17,1,0,1,32:04:00
12.0,12.0,13.0,11/28/24,Thu,GNB,L,17,30,,37,46,80.4,336,2,7.3,8.17,111.6,5,29,14,39,0,2.8,65,375,5.77,1,1,0,0,3,146,20,1,0,21,4,14,3,5,10,75,1,0,1,33:04:00
13.0,13.0,14.0,12/8/24,Sun,NYJ,W,32,26,OT,33,47,70.2,331,2,7.0,7.89,104.1,0,0,19,44,1,2.3,66,375,5.68,4,4,1,0,3,148,21,3,4,28,1,9,2,2,8,49,0,0,0,32:53:00
14.0,14.0,15.0,12/15/24,Sun,HOU,L,12,20,,29,40,72.5,172,1,4.3,1.43,57.5,3,24,19,52,0,2.7,62,224,3.61,2,2,1,0,3,181,11,3,4,18,4,13,2,2,8,64,1,3,4,33:24:00
15.0,15.0,16.0,12/22/24,Sun,SFO,W,29,17,,22,34,64.7,215,1,6.3,6.91,92.2,0,0,30,166,1,5.5,64,381,5.95,5,5,2,2,2,98,13,6,2,21,4,12,0,0,6,45,0,0,0,33:06:00
16.0,16.0,17.0,12/29/24,Sun,CLE,W,20,3,,22,26,84.6,206,1,7.9,8.69,112.5,4,19,27,74,1,2.7,57,280,4.91,2,2,2,2,7,307,12,4,2,18,2,11,0,1,11,94,0,0,0,30:41:00
17.0,17.0,18.0,1/5/25,Sun,NYJ,L,20,32,,25,41,61.0,199,1,4.9,3.15,60.9,4,28,23,135,1,5.9,68,334,4.91,2,2,2,2,3,121,14,7,0,21,3,12,3,3,4,32,2,2,4,32:04:00
,,,,,,9-Aug,345,364,,413,591,69.9,3737,22,6.3,6.31,92.0,43,299,448,1795,12,4.0,1082,5532,5.11,41,37,28,26,57,2639,221,90,33,344,77,212,15,31,114,926,11,10,21,541:20:00
