GameNum,Gtm,Week,Game_Date,Day,Opponent,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/8/24,Sun,CIN,W,16,10,,15,24,62.5,120,0,5.0,5.0,75.0,1,1,39,170,1,4.4,64,290,4.53,3,3,1,1,5,250,6,11,0,17,6,15,0,0,5,40,0,0,0,34:03:00
2.0,2.0,2.0,9/15/24,Sun,SEA,L,20,23,OT,15,27,55.6,125,1,4.6,5.37,80.0,3,24,36,185,1,5.1,66,310,4.7,3,2,2,2,6,342,9,8,2,19,6,16,0,0,3,42,0,0,0,35:42:00
3.0,3.0,3.0,9/19/24,Thu,NYJ,L,3,24,,16,26,61.5,61,0,2.3,2.35,65.9,7,59,15,78,0,5.2,48,139,2.9,1,1,0,0,5,245,6,3,2,11,2,11,3,3,5,70,1,0,1,19:56
4.0,4.0,4.0,9/29/24,Sun,SFO,L,13,30,,19,32,59.4,143,1,4.5,3.69,67.6,6,25,24,73,0,3.0,62,216,3.48,2,2,1,1,4,196,8,2,2,12,5,16,1,3,3,20,2,1,3,28:25:00
5.0,5.0,5.0,10/6/24,Sun,MIA,L,10,15,,18,34,52.9,148,0,4.4,4.35,64.3,2,12,19,151,1,7.9,55,299,5.44,2,1,1,1,6,310,8,5,2,15,4,13,0,1,12,105,0,0,0,25:40:00
6.0,6.0,6.0,10/13/24,Sun,HOU,L,21,41,,20,33,60.6,209,3,6.3,5.42,84.0,4,34,26,82,0,3.2,63,291,4.62,0,0,3,3,6,299,12,3,2,17,3,13,2,2,9,50,2,2,4,29:13:00
7.0,7.0,7.0,10/20/24,Sun,JAX,L,16,32,,26,37,70.3,257,2,6.9,8.03,107.6,2,19,15,38,0,2.5,54,295,5.46,1,1,1,1,4,209,13,2,2,17,6,12,0,1,7,35,0,0,0,26:45:00
8.0,8.0,8.0,10/27/24,Sun,NYJ,W,25,22,,18,30,60.0,136,0,4.5,4.53,71.0,2,19,31,112,3,3.6,63,248,3.94,1,1,2,2,5,236,7,10,2,19,7,15,1,1,5,50,0,0,0,30:26:00
9.0,9.0,9.0,11/3/24,Sun,TEN,L,17,20,OT,29,41,70.7,185,1,4.5,2.8,67.6,4,21,20,110,1,5.5,65,295,4.54,2,1,2,2,4,169,10,7,3,20,3,11,1,1,8,58,1,2,3,29:09:00
10.0,10.0,10.0,11/10/24,Sun,CHI,W,19,3,,15,25,60.0,184,1,7.4,6.36,79.4,1,0,35,144,0,4.1,61,328,5.38,4,4,1,1,5,285,9,7,0,16,5,14,1,1,7,40,0,1,1,32:28:00
11.0,11.0,11.0,11/17/24,Sun,LAR,L,22,28,,29,39,74.4,257,2,6.6,6.46,97.9,3,25,30,125,0,4.2,72,382,5.31,3,3,2,1,2,74,16,6,4,26,6,14,0,0,7,45,1,1,2,37:20:00
12.0,12.0,12.0,11/24/24,Sun,MIA,L,15,34,,22,38,57.9,183,1,4.8,4.16,68.2,4,39,21,86,0,4.1,63,269,4.27,1,0,1,1,5,259,8,4,2,14,3,14,1,3,10,75,1,1,2,27:56:00
13.0,13.0,13.0,12/1/24,Sun,IND,L,24,25,,24,30,80.0,222,1,7.4,6.57,94.7,4,16,31,200,1,6.5,65,422,6.49,5,3,1,1,1,38,14,9,0,23,6,11,0,0,7,88,0,1,1,34:12:00
14.0,14.0,15.0,12/15/24,Sun,ARI,L,17,30,,19,23,82.6,195,1,8.5,7.39,98.4,2,7,24,116,1,4.8,49,311,6.35,2,1,2,2,2,110,10,7,0,17,0,6,1,2,4,45,0,1,1,25:52:00
15.0,15.0,16.0,12/22/24,Sun,BUF,L,21,24,,22,36,61.1,253,2,7.0,6.89,89.2,2,8,30,126,1,4.2,68,379,5.57,0,0,3,3,3,133,13,8,7,28,7,12,2,2,5,34,2,1,3,30:57:00
16.0,16.0,17.0,12/28/24,Sat,LAC,L,7,40,,13,24,54.2,85,1,3.5,4.38,75.9,4,30,20,96,0,4.8,48,181,3.77,0,0,1,1,4,220,4,4,3,11,2,10,0,3,7,60,1,0,1,19:26
17.0,17.0,18.0,1/5/25,Sun,BUF,W,23,16,,22,30,73.3,232,1,7.7,8.4,106.5,1,9,30,77,1,2.6,61,309,5.07,3,3,2,2,3,111,14,5,0,19,4,12,1,1,7,59,1,0,1,31:14:00
,,,,,,13-Apr,289,417,,342,529,64.7,2995,18,5.7,5.41,82.2,52,348,446,1969,11,4.4,1027,4964,4.83,33,26,26,25,70,3486,167,101,33,301,75,215,14,24,111,916,12,11,23,498:44:00
