GameNum,Gtm,Week,Game_Date,Day,Opp,Result,Team_Points,Team_Points.1,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession,team,division
1.0,1.0,1.0,9/8/24,Sun,MIA,L,17,20,,12,21,57.1,139,1,6.6,7.57,93.2,3,23,26,128,1,4.9,50,267,5.34,1,1,2,2,6,311,8,7,2,17,2,10,0,1,8,71,1,0,1,26:50:00,Jaguars,AFC_South
2.0,2.0,2.0,9/15/24,Sun,CLE,L,13,18,,14,30,46.7,196,0,6.5,6.53,68.2,4,24,21,127,1,6.0,55,323,5.87,3,2,1,1,3,156,9,7,2,18,3,9,0,0,6,52,0,0,0,25:37:00,Jaguars,AFC_South
3.0,3.0,3.0,9/23/24,Mon,BUF,L,10,47,,26,46,56.5,147,1,3.2,2.65,60.7,5,53,17,92,0,5.4,68,239,3.51,1,1,1,1,2,109,10,7,2,19,2,13,4,8,7,45,1,1,2,28:20:00,Jaguars,AFC_South
4.0,4.0,4.0,9/29/24,Sun,HOU,L,20,24,,18,33,54.5,155,2,4.7,5.91,87.3,1,14,24,158,0,6.6,58,313,5.4,2,2,2,2,5,253,11,5,1,17,4,12,0,1,6,44,0,0,0,26:43:00,Jaguars,AFC_South
5.0,5.0,5.0,10/6/24,Sun,IND,W,37,34,,28,34,82.4,371,2,10.9,10.76,119.5,0,0,23,126,2,5.5,57,497,8.72,3,3,4,4,2,102,13,6,1,20,3,10,1,2,3,25,1,1,2,28:28:00,Jaguars,AFC_South
6.0,6.0,6.0,10/13/24,Sun,CHI,L,16,35,,24,36,66.7,210,2,5.8,5.69,88.9,4,30,20,68,0,3.4,60,278,4.63,1,1,1,1,4,193,14,3,0,17,7,15,2,2,8,43,1,1,2,29:20:00,Jaguars,AFC_South
7.0,7.0,7.0,10/20/24,Sun,NWE,W,32,16,,15,20,75.0,193,1,9.7,10.65,121.5,0,0,39,171,2,4.4,59,364,6.17,1,1,3,3,2,70,9,13,1,23,6,10,0,1,4,24,0,0,0,33:15:00,Jaguars,AFC_South
8.0,8.0,8.0,10/27/24,Sun,GNB,L,27,30,,21,32,65.6,299,2,9.3,9.19,103.5,1,9,23,91,1,4.0,56,390,6.96,2,2,3,3,5,298,14,5,0,19,1,9,1,1,8,59,1,1,2,25:51:00,Jaguars,AFC_South
9.0,9.0,9.0,11/3/24,Sun,PHI,L,23,28,,16,31,51.6,155,0,5.0,2.1,39.0,2,14,18,60,2,3.3,51,215,4.22,0,0,1,1,5,238,9,4,1,14,3,10,1,2,4,17,1,2,3,21:48,Jaguars,AFC_South
10.0,10.0,10.0,11/10/24,Sun,MIN,L,7,12,,14,22,63.6,87,0,4.0,-0.14,33.7,3,24,18,56,1,3.1,43,143,3.33,0,0,1,1,5,274,5,4,1,10,5,11,0,0,3,25,1,2,3,17:41,Jaguars,AFC_South
11.0,11.0,11.0,11/17/24,Sun,DET,L,6,52,,17,29,58.6,129,0,4.4,2.9,55.1,1,9,17,41,0,2.4,47,170,3.62,2,2,0,0,5,267,7,2,1,10,2,10,1,2,6,40,0,1,1,20:54,Jaguars,AFC_South
12.0,12.0,13.0,12/1/24,Sun,HOU,L,20,23,,24,42,57.1,276,2,6.6,6.45,83.0,0,0,25,97,0,3.9,67,373,5.57,3,2,0,0,4,191,13,5,1,19,5,15,2,2,4,30,0,1,1,27:43:00,Jaguars,AFC_South
13.0,13.0,14.0,12/8/24,Sun,TEN,W,10,6,,23,31,74.2,220,0,7.1,4.19,66.6,1,0,26,71,1,2.7,58,291,5.02,1,1,1,1,4,198,11,5,0,16,6,13,1,1,5,39,0,2,2,28:16:00,Jaguars,AFC_South
14.0,14.0,15.0,12/15/24,Sun,NYJ,L,25,32,,31,46,67.4,285,2,6.2,5.11,80.4,2,9,29,136,0,4.7,77,421,5.47,4,4,1,1,2,94,13,10,4,27,8,15,0,0,8,106,0,2,2,34:24:00,Jaguars,AFC_South
15.0,15.0,16.0,12/22/24,Sun,LVR,L,14,19,,25,39,64.1,236,1,6.1,6.56,89.3,1,11,21,72,1,3.4,61,308,5.05,0,0,2,2,7,275,9,5,1,15,6,15,1,2,8,60,2,0,2,25:42:00,Jaguars,AFC_South
16.0,16.0,17.0,12/29/24,Sun,TEN,W,20,13,,15,22,68.2,173,2,7.9,9.68,122.0,2,1,33,122,0,3.7,57,295,5.18,2,2,2,2,3,130,9,9,0,18,8,13,0,0,7,50,0,0,0,29:20:00,Jaguars,AFC_South
17.0,17.0,18.0,1/5/25,Sun,IND,L,23,26,OT,20,32,62.5,206,1,6.4,5.66,78.4,2,19,34,113,1,3.3,68,319,4.69,3,3,2,2,4,200,10,9,0,19,5,14,0,1,4,57,0,1,1,30:51:00,Jaguars,AFC_South
,,,,,,13-Apr,320,435,,343,546,62.8,3477,19,6.4,5.83,81.1,32,240,414,1729,13,4.2,992,5206,5.25,29,27,27,27,68,3359,174,106,18,298,76,204,14,26,99,787,9,15,24,461:03:00,Jaguars,AFC_South
