Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Khalil Shakir,24.0,WR,15,9,100,76,821,35,224,2.9,597,7.9,5.5,6,12.7,1,1.0,1,108.8,
2.0,Dalton Kincaid,25.0,TE,13,9,75,44,448,23,174,4.0,274,6.2,7.5,4,11.0,6,8.0,0,84.7,
3.0,James Cook,25.0,RB,16,16,38,32,258,14,-2,-0.1,260,8.1,0.9,0,,2,5.3,0,112.5,PB
4.0,Mack Hollins,31.0,WR,17,13,50,31,378,25,288,9.3,90,2.9,11.1,0,,3,6.0,0,118.6,
5.0,Curtis Samuel,28.0,WR,14,2,46,31,253,9,93,3.0,160,5.2,4.6,1,31.0,1,2.2,1,79.3,
6.0,Keon Coleman,21.0,WR,13,12,57,29,556,22,341,11.8,215,7.4,15.2,4,7.3,4,7.0,2,93.9,
7.0,Dawson Knox,28.0,TE,16,13,33,22,311,12,217,9.9,94,4.3,8.8,0,,1,3.0,1,94.4,
8.0,Amari Cooper,30.0,WR,8,4,32,20,297,14,243,12.2,54,2.7,12.6,0,,2,6.3,1,100.7,
9.0,Ty Johnson,27.0,RB,17,1,25,18,284,14,114,6.3,170,9.4,8.2,1,18.0,0,0.0,0,149.0,
10.0,Ray Davis,25.0,RB,17,0,19,17,189,8,25,1.5,164,9.6,0.8,0,,0,0.0,0,147.7,
11.0,Quintin Morris,25.0,TE,16,3,8,5,36,3,14,2.8,22,4.4,9.3,0,,1,12.5,0,112.5,
12.0,Marquez Valdes-Scantling,30.0,WR,6,0,9,2,26,1,20,10.0,6,3.0,15.7,0,,0,0.0,0,39.6,
13.0,Zach Davidson,26.0,TE,2,0,2,1,5,0,3,3.0,2,2.0,1.5,0,,0,0.0,0,56.2,
14.0,Tyrell Shavers,25.0,WR,3,0,1,1,69,1,-2,-2.0,71,71.0,-2.0,1,1.0,0,0.0,0,158.3,
15.0,Josh Allen,28.0,QB,17,17,0,0,7,0,0,,7,,,0,,0,,0,,"PB,AP-2,AP MVP-1,AP OPoY-6"
,Team Totals,,,17,17,495,329,3938,181,1752,5.3,2186,6.6,7.9,17,19.4,21,4.2,6,105.8,
