Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,James Cook,25.0,RB,16,16,207,1009,48,530,2.6,479,2.3,14,14.8,PB
2.0,Ray Davis,25.0,RB,17,0,113,442,25,217,1.9,225,2.0,6,18.8,
3.0,Josh Allen,28.0,QB,17,17,102,531,52,341,3.3,190,1.9,7,14.6,"PB,AP-2,AP MVP-1,AP OPoY-6"
4.0,Ty Johnson,27.0,RB,17,1,41,213,13,106,2.6,107,2.6,2,20.5,
5.0,Mitchell Trubisky,30.0,QB,9,0,17,1,1,1,0.1,0,0.0,0,,
6.0,Curtis Samuel,28.0,WR,14,2,5,14,0,9,1.8,5,1.0,0,,
7.0,Reggie Gilliam,27.0,FB,15,0,3,7,1,2,0.7,5,1.7,1,3.0,
8.0,Khalil Shakir,24.0,WR,15,9,2,4,0,1,0.5,3,1.5,1,2.0,
9.0,Keon Coleman,21.0,WR,13,12,1,9,0,8,8.0,1,1.0,0,,
,Team Totals,,,17,17,491,2230,140,1215,2.5,1015,2.1,31,15.8,
