GameNum,Gtm,Week,Game_Date,Day,Opponent,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/9/24,Mon,SFO,L,19,32,,19,29,65.5,198,2,6.8,6.66,93.7,1,5,19,68,1,3.6,49,266,5.43,0,0,1,1,3,160,11,3,0,14,6,10,0,1,3,10,1,1,2,21:20
2.0,2.0,2.0,9/15/24,Sun,TEN,W,24,17,,18,30,60.0,164,2,5.5,6.8,97.1,2,12,24,101,1,4.2,56,265,4.73,1,1,3,3,6,302,9,6,1,16,5,12,0,0,7,70,0,0,0,30:03:00
3.0,3.0,3.0,9/19/24,Thu,NWE,W,24,3,,27,35,77.1,267,2,7.6,8.77,117.2,2,14,33,133,1,4.0,70,400,5.71,2,1,3,3,3,122,16,9,2,27,10,15,0,0,8,106,0,0,0,40:04:00
4.0,4.0,4.0,9/29/24,Sun,DEN,L,9,10,,24,42,57.1,184,0,4.4,4.38,68.0,5,41,23,64,0,2.8,70,248,3.54,4,3,0,0,7,316,10,4,2,16,4,17,0,1,13,90,1,0,1,31:44:00
5.0,5.0,5.0,10/6/24,Sun,MIN,L,17,23,,29,54,53.7,218,2,4.0,2.28,52.9,3,26,14,36,0,2.6,71,254,3.58,1,1,2,2,6,295,13,2,2,17,5,17,0,1,8,76,0,3,3,29:23:00
6.0,6.0,6.0,10/14/24,Mon,BUF,L,20,23,,23,35,65.7,272,2,7.8,7.63,96.4,3,22,21,121,0,5.8,59,393,6.66,4,2,2,2,2,96,12,5,3,20,4,12,0,0,11,110,0,1,1,30:26:00
7.0,7.0,7.0,10/20/24,Sun,PIT,L,15,37,,24,39,61.5,269,1,6.9,5.1,69.3,1,7,15,54,1,3.6,55,323,5.87,1,0,1,1,4,177,13,3,1,17,3,10,1,2,5,50,0,2,2,27:51:00
8.0,8.0,8.0,10/27/24,Sun,NWE,L,22,25,,17,28,60.7,224,2,8.0,9.43,109.8,1,9,28,112,1,4.0,57,336,5.89,2,1,2,1,4,177,12,6,4,22,4,10,0,0,8,55,0,0,0,29:34:00
9.0,9.0,9.0,10/31/24,Thu,HOU,W,21,13,,22,32,68.8,193,3,6.0,7.91,115.8,2,18,21,100,0,4.8,55,293,5.33,0,0,3,3,5,274,11,4,2,17,5,12,1,1,9,83,1,0,1,26:18:00
10.0,10.0,10.0,11/10/24,Sun,ARI,L,6,31,,22,35,62.9,128,0,3.7,3.66,69.7,3,23,17,79,0,4.6,55,207,3.76,2,2,0,0,2,93,10,5,2,17,6,13,1,3,3,25,1,0,1,27:18:00
11.0,11.0,11.0,11/17/24,Sun,IND,L,27,28,,22,29,75.9,162,2,5.6,6.97,111.6,3,22,20,91,1,4.6,52,253,4.87,2,2,3,3,5,277,7,3,0,10,4,13,0,1,2,14,0,0,0,25:43:00
12.0,12.0,13.0,12/1/24,Sun,SEA,L,21,26,,21,39,53.8,169,2,4.3,4.21,71.4,2,16,21,89,0,4.2,62,258,4.16,0,0,2,1,4,162,12,3,2,17,5,13,1,3,12,83,1,1,2,28:39:00
13.0,13.0,14.0,12/8/24,Sun,MIA,L,26,32,OT,27,39,69.2,319,1,8.2,8.69,102.4,3,20,21,83,1,4.0,63,402,6.38,4,4,2,2,2,96,18,3,2,23,4,12,2,2,10,83,0,0,0,31:02:00
14.0,14.0,15.0,12/15/24,Sun,JAX,W,32,25,,16,30,53.3,275,3,9.2,11.17,118.1,1,14,23,125,1,5.4,54,400,7.41,2,1,3,3,3,125,10,8,4,22,4,10,1,1,8,62,0,0,0,25:36:00
15.0,15.0,16.0,12/22/24,Sun,LAR,L,9,19,,28,42,66.7,246,1,5.9,6.33,90.0,1,10,20,75,0,3.8,63,321,5.1,2,1,1,0,0,0,14,3,0,17,5,13,2,5,8,62,2,0,2,32:05:00
16.0,16.0,17.0,12/29/24,Sun,BUF,L,14,40,,23,32,71.9,169,2,5.3,3.72,78.8,4,26,21,112,0,5.3,57,281,4.93,0,0,0,0,3,143,9,9,2,20,4,9,0,1,16,120,1,2,3,28:43:00
17.0,17.0,18.0,1/5/25,Sun,MIA,W,32,20,,23,37,62.2,257,4,6.9,7.89,107.6,3,17,22,118,0,5.4,62,375,6.05,1,1,3,3,4,157,14,7,1,22,5,12,1,2,6,35,0,1,1,27:56:00
,,,,,,12-May,338,404,,385,607,63.4,3714,31,6.1,6.32,89.9,40,302,363,1561,8,4.3,1010,5275,5.22,28,20,31,28,63,2972,201,83,30,314,83,210,10,24,137,1134,8,11,19,493:45:00
