Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Garrett Wilson,24.0,WR,17,17,154,101,1104,60,662,6.6,442,4.4,9.1,7,14.4,7,4.5,5,88.2,
2.0,Davante Adams,32.0,WR,11,11,114,67,854,39,426,6.4,428,6.4,7.9,7,9.6,5,4.4,2,95.4,
3.0,Breece Hall,23.0,RB,16,16,76,57,483,15,-13,-0.2,496,8.7,0.2,6,9.5,9,11.8,0,104.2,
4.0,Tyler Conklin,29.0,TE,16,15,72,51,449,24,187,3.7,262,5.1,4.9,0,,1,1.4,0,105.6,
5.0,Allen Lazard,29.0,WR,12,10,60,37,530,29,375,10.1,155,4.2,11.0,0,,6,10.0,2,109.7,
6.0,Braelon Allen,20.0,RB,17,2,27,19,148,8,-15,-0.8,163,8.6,-0.2,2,9.5,4,14.8,0,95.9,
7.0,Jeremy Ruckert,24.0,TE,17,9,28,18,105,6,21,1.2,84,4.7,3.4,0,,2,7.1,0,71.3,
8.0,Mike Williams,30.0,WR,9,3,21,12,166,9,142,11.8,24,2.0,14.5,0,,2,9.5,2,43.1,
9.0,Isaiah Davis,22.0,RB,17,0,12,9,75,4,0,0.0,75,8.3,1.3,0,,1,8.3,0,118.4,
10.0,Xavier Gipson,23.0,WR,17,0,10,6,39,3,17,2.8,22,3.7,11.2,0,,1,10.0,0,101.7,
11.0,Kenny Yeboah,26.0,TE,9,1,8,5,47,3,13,2.6,34,6.8,4.6,0,,2,25.0,0,118.2,
12.0,Malachi Corley,22.0,WR,9,1,6,3,16,1,11,3.7,5,1.7,8.3,0,,0,0.0,0,56.2,
13.0,Irvin Charles,27.0,WR,13,0,1,0,0,0,0,,0,,3.0,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,589,385,4016,201,1826,4.7,2190,5.7,6.7,22,17.5,40,6.8,11,94.7,
