Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Demario Douglas,24.0,WR,17,7,87,66,621,31,262,4.0,359,5.4,5.9,2,33.0,7,8.0,2,97.0,
2.0,Hunter Henry,30.0,TE,16,16,97,66,674,40,406,6.2,268,4.1,7.0,2,33.0,2,2.1,1,90.3,
3.0,Austin Hooper,30.0,TE,17,8,59,45,476,25,251,5.6,225,5.0,5.8,3,15.0,1,1.7,2,102.1,
4.0,Kayshon Boutte,22.0,WR,15,13,68,43,589,25,439,10.2,150,3.5,14.5,1,43.0,4,5.9,2,93.3,
5.0,Rhamondre Stevenson,26.0,RB,15,14,41,33,168,8,-69,-2.1,237,7.2,-1.0,3,11.0,1,2.4,0,91.9,
6.0,Kendrick Bourne,29.0,WR,12,9,38,28,305,13,211,7.5,94,3.4,9.3,0,,4,10.5,0,105.7,
7.0,Antonio Gibson,26.0,RB,17,3,29,23,206,11,-7,-0.3,213,9.3,1.8,3,7.7,1,3.4,2,67.5,
8.0,Ja'Lynn Polk,22.0,WR,15,7,33,12,87,4,74,6.2,13,1.1,11.5,0,,4,12.1,1,52.5,
9.0,Jamycal Hasty,28.0,RB,15,0,12,10,59,2,-13,-1.3,72,7.2,-1.3,1,10.0,0,0.0,0,114.9,
10.0,K.J. Osborn,27.0,WR,7,4,18,7,57,2,41,5.9,16,2.3,5.9,0,,1,5.6,0,66.2,
11.0,Tyquan Thornton,24.0,WR,6,1,8,4,47,2,23,5.8,24,6.0,15.8,1,4.0,0,0.0,1,28.6,
12.0,Jaheim Bell,23.0,TE,15,0,3,2,20,1,15,7.5,5,2.5,7.7,0,,0,0.0,0,85.4,
13.0,Javon Baker,22.0,WR,11,1,4,1,12,1,12,12.0,0,0.0,12.5,0,,0,0.0,0,39.6,
14.0,Marcus Jones,26.0,CB,14,9,1,1,18,1,-7,-7.0,25,25.0,-7.0,0,,0,0.0,0,118.7,
15.0,Vederian Lowe,25.0,LT,14,13,1,1,4,1,4,4.0,0,0.0,4.0,0,,0,0.0,0,122.9,
16.0,Terrell Jennings,23.0,RB,3,0,1,0,0,0,0,,0,,29.0,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,500,342,3343,167,1642,4.8,1701,5.0,7.2,16,21.4,25,5.0,11,89.8,
