Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds_Fum,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
3.0,Daniel Ekuale,30.0,RDE,16,16,0,0,0,0,0,0,0,0,0,0,1.0,52,24,28,2,3,0,
4.0,Christian Gonzalez,22.0,RCB,16,16,2,2,0,2,11,0,0,1,63,1,0.0,59,50,9,1,1,0,"AP-2,AP CPoY-5"
5.0,Anfernee Jennings,27.0,ROLB,16,16,0,0,0,0,1,1,0,0,0,0,2.5,78,43,35,7,9,0,
6.0,Jahlani Tavai,28.0,RILB,17,16,1,0,0,0,5,0,0,0,0,0,1.0,115,58,57,7,2,0,
7.0,Jonathan Jones,31.0,LCB,17,14,0,0,0,0,6,2,0,0,0,0,0.0,58,41,17,0,0,0,
8.0,Rhamondre Stevenson,26.0,RB,15,14,0,0,0,0,0,0,7,4,0,0,0.0,0,0,0,0,0,0,
9.0,Kyle Dugger,28.0,FS,13,13,0,0,0,0,4,1,0,0,0,0,1.0,81,55,26,8,1,0,
10.0,Keion White,25.0,LDE,17,13,0,0,0,0,5,2,0,0,0,0,5.0,56,31,25,7,16,0,
11.0,Drake Maye,22.0,QB,13,12,0,0,0,0,0,0,9,4,-26,0,0.0,0,0,0,0,0,0,"PB,AP ORoY-8"
12.0,Ben Brown,26.0,C,10,10,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
13.0,Kendrick Bourne,29.0,WR,12,9,0,0,0,0,0,0,0,1,3,0,0.0,0,0,0,0,0,0,
14.0,Marcus Jones,26.0,CB,14,9,1,35,0,35,10,0,2,2,17,0,0.0,58,48,10,1,0,0,
15.0,Marte Mapu,25.0,SS,10,9,1,6,0,6,6,3,0,0,0,0,0.5,46,23,23,0,1,0,
16.0,Austin Hooper,30.0,TE,17,8,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
17.0,Demario Douglas,24.0,WR,17,7,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
18.0,Jaylinn Hawkins,27.0,S,17,7,0,0,0,0,1,0,0,1,0,0,0.0,48,27,21,3,0,0,
19.0,Jabrill Peppers,29.0,S,6,6,1,0,0,0,2,1,0,0,0,0,0.0,40,20,20,2,0,0,
20.0,Jacoby Brissett,32.0,QB,8,5,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,0,
21.0,Christian Elliss,25.0,LILB,16,5,1,6,0,6,5,1,0,1,0,0,1.5,80,42,38,1,5,0,
22.0,Jeremiah Pharms,28.0,DT,16,5,0,0,0,0,0,0,0,0,0,0,2.0,33,16,17,4,5,0,
23.0,Deatrich Wise Jr.,30.0,DE,15,5,0,0,0,0,3,0,0,0,0,0,5.0,29,16,13,5,8,0,
24.0,Raekwon McMillan,29.0,LB,9,4,0,0,0,0,1,0,0,0,0,0,0.0,45,25,20,1,0,0,
25.0,Sione Takitaki,29.0,LB,11,4,0,0,0,0,0,0,0,0,0,0,0.0,21,7,14,0,0,0,
26.0,Alex Austin,23.0,CB,9,3,0,0,0,0,5,0,0,0,0,0,0.0,9,8,1,1,0,0,
27.0,Antonio Gibson,26.0,RB,17,3,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,
28.0,Ja'Whaun Bentley,28.0,LB,2,2,0,0,0,0,0,0,0,0,0,0,0.5,12,7,5,0,1,0,
29.0,Curtis Jacobs,22.0,LB,9,2,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
30.0,Marcellas Dial,24.0,DB,17,1,0,0,0,0,0,1,0,0,0,0,0.0,12,6,6,0,0,0,
31.0,Nick Leverett,27.0,G,5,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
32.0,Dell Pettus,23.0,S,17,1,0,0,0,0,2,0,0,0,0,0,1.0,34,19,15,1,1,0,
33.0,Monty Rice,25.0,OLB,3,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
34.0,Jaquelin Roy,24.0,DT,6,1,0,0,0,0,0,0,0,0,0,0,2.0,17,12,5,3,2,0,
35.0,Josh Uche,26.0,LB,7,1,0,0,0,0,0,0,0,0,0,0,2.0,13,10,3,2,3,0,
36.0,Christian Barmore,25.0,DT,4,0,0,0,0,0,0,0,0,0,0,0,1.0,6,6,0,1,1,0,
37.0,Miles Battle,24.0,CB,1,0,0,0,0,0,3,0,0,0,0,0,0.0,2,2,0,0,0,0,
38.0,Jaheim Bell,23.0,TE,15,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
39.0,Isaiah Bolden,25.0,CB,14,0,0,0,0,0,0,0,0,1,0,0,0.0,10,7,3,1,0,0,
40.0,Joe Cardona,32.0,LS,16,0,0,0,0,0,0,1,0,0,0,0,0.0,4,3,1,0,0,0,
41.0,Joe Giles-Harris,27.0,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,1,0,
42.0,Eric Johnson,26.0,DT,11,0,0,0,0,0,0,0,0,0,0,0,0.0,17,2,15,0,0,0,
43.0,Truman Jones,24.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
44.0,Titus Leo,25.0,LB,4,0,0,0,0,0,1,0,0,0,0,0,0.0,4,4,0,1,0,0,
45.0,Ochaun Mathis,25.0,OLB,5,0,0,0,0,0,0,1,0,0,0,0,0.0,2,1,1,0,0,0,
46.0,Joe Milton,24.0,QB,1,0,0,0,0,0,0,0,1,0,-5,0,0.0,0,0,0,0,0,0,
47.0,Yannick Ngakoue,29.0,LB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,9,4,5,0,2,0,
48.0,Brenden Schooler,27.0,S,17,0,0,0,0,0,0,0,0,0,0,0,2.0,13,9,4,2,3,0,"PB,AP-1"
49.0,Marco Wilson,25.0,CB,10,0,0,0,0,0,1,0,0,0,0,0,0.0,15,8,7,0,0,0,
50.0,Oshane Ximines,28.0,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
,Team Totals,,,17,17,7,49,0,35,73,14,30,22,52,1,28.0,1157,665,492,62,66,0,
1.0,Davon Godchaux,30.0,NT,17,17,0,0,0,0,1,0,0,0,0,0,0.0,67,24,43,1,1,0,
2.0,Michael Onwenu,27.0,RG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
