Rk,Player,Age,Pos,G,GS,Rushing - Att,Rushing - Yds,Rushing - TD,Rushing - 1D,Rushing - Succ%,Rushing - Lng,Rushing - Y/A,Rushing - Y/G,Rushing - A/G,Receiving - Tgt,Receiving - Rec,Receiving - Yds,Receiving - Y/R,Receiving - TD,Receiving - 1D,Receiving - Succ%,Receiving - Lng,Receiving - R/G,Receiving - Y/G,Receiving - Ctch%,Receiving - Y/Tgt,Scrimmage - Touch,Scrimmage - Y/Tch,Scrimmage - YScm,Scrimmage - RRTD,Fmb,Awards
1.0,Rhamondre Stevenson,26.0,RB,15,14,207,801,7,40,50.2,33.0,3.9,53.4,13.8,41,33,168,5.1,1,8,39.0,16.0,2.2,11.2,80.5,4.1,240,4.0,969,8,7,
2.0,Antonio Gibson,26.0,RB,17,3,120,538,1,24,45.0,45.0,4.5,31.6,7.1,29,23,206,9.0,0,11,51.7,50.0,1.4,12.1,79.3,7.1,143,5.2,744,1,2,
3.0,Hunter Henry,30.0,TE,16,16,0,0,0,0,,,,0.0,0.0,97,66,674,10.2,2,40,56.7,35.0,4.1,42.1,68.0,6.9,66,10.2,674,2,0,
4.0,Demario Douglas,24.0,WR,17,7,3,16,0,0,66.7,9.0,5.3,0.9,0.2,87,66,621,9.4,3,31,51.7,36.0,3.9,36.5,75.9,7.1,69,9.2,637,3,1,
5.0,Kayshon Boutte,22.0,WR,15,13,0,0,0,0,,,,0.0,0.0,68,43,589,13.7,3,25,55.9,48.0,2.9,39.3,63.2,8.7,43,13.7,589,3,0,
6.0,Austin Hooper,30.0,TE,17,8,0,0,0,0,,,,0.0,0.0,59,45,476,10.6,3,25,62.7,38.0,2.6,28.0,76.3,8.1,45,10.6,476,3,2,
7.0,Drake Maye,22.0,QB,13,12,54,421,2,22,64.8,41.0,7.8,32.4,4.2,0,0,0,,0,0,,,0.0,0.0,,,54,7.8,421,2,9,"PB,AP ORoY-8"
8.0,Kendrick Bourne,29.0,WR,12,9,1,6,0,1,100.0,6.0,6.0,0.5,0.1,38,28,305,10.9,1,13,55.3,37.0,2.3,25.4,73.7,8.0,29,10.7,311,1,0,
9.0,Jamycal Hasty,28.0,RB,15,0,20,69,0,4,45.0,15.0,3.5,4.6,1.3,12,10,59,5.9,1,2,41.7,16.0,0.7,3.9,83.3,4.9,30,4.3,128,1,0,
10.0,Ja'Lynn Polk,22.0,WR,15,7,1,0,0,0,0.0,,0.0,0.0,0.1,33,12,87,7.3,2,4,24.2,21.0,0.8,5.8,36.4,2.6,13,6.7,87,2,0,
11.0,Jacoby Brissett,32.0,QB,8,5,15,62,0,5,53.3,16.0,4.1,7.8,1.9,0,0,0,,0,0,,,0.0,0.0,,,15,4.1,62,0,4,
12.0,K.J. Osborn,27.0,WR,7,4,0,0,0,0,,,,0.0,0.0,18,7,57,8.1,1,2,27.8,22.0,1.0,8.1,38.9,3.2,7,8.1,57,1,0,
13.0,Tyquan Thornton,24.0,WR,6,1,0,0,0,0,,,,0.0,0.0,8,4,47,11.8,0,2,37.5,17.0,0.7,7.8,50.0,5.9,4,11.8,47,0,0,
14.0,Terrell Jennings,23.0,RB,3,0,13,33,0,0,23.1,7.0,2.5,11.0,4.3,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,13,2.5,33,0,0,
15.0,Marcus Jones,26.0,CB,14,9,1,5,0,0,100.0,5.0,5.0,0.4,0.1,1,1,18,18.0,0,1,100.0,18.0,0.1,1.3,100.0,18.0,2,11.5,23,0,2,
16.0,Jaheim Bell,23.0,TE,15,0,0,0,0,0,,,,0.0,0.0,3,2,20,10.0,0,1,33.3,19.0,0.1,1.3,66.7,6.7,2,10.0,20,0,0,
17.0,Joe Milton,24.0,QB,1,0,10,16,1,4,50.0,9.0,1.6,16.0,10.0,0,0,0,,0,0,,,0.0,0.0,,,10,1.6,16,1,1,
18.0,Javon Baker,22.0,WR,11,1,0,0,0,0,,,,0.0,0.0,4,1,12,12.0,0,1,25.0,12.0,0.1,1.1,25.0,3.0,1,12.0,12,0,0,
19.0,Vederian Lowe,25.0,LT,14,13,0,0,0,0,,,,0.0,0.0,1,1,4,4.0,1,1,100.0,4.0,0.1,0.3,100.0,4.0,1,4.0,4,1,0,
20.0,Dell Pettus,23.0,S,17,1,1,2,0,1,100.0,2.0,2.0,0.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,2.0,2,0,0,
,Team Totals,,,17,17,446,1969,11,101,50.0,45.0,4.4,115.8,26.2,500,342,3343,9.8,18,167,50.4,50.0,20.1,196.6,68.4,6.7,788,6.7,5312,29,28,
