Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Ja'Marr Chase,24.0,WR,17,16,175,127,1708,75,921,7.3,787,6.2,8.7,11,11.5,9,5.1,7,118.9,"PB,AP-1,AP MVP-8,AP OPoY-3"
2.0,Tee Higgins,25.0,WR,12,9,109,73,911,48,683,9.4,228,3.1,9.8,7,10.4,3,2.8,1,119.5,
3.0,Mike Gesicki,29.0,TE,17,3,83,65,665,38,420,6.5,245,3.8,7.4,0,,5,6.0,0,108.1,
4.0,Chase Brown,24.0,RB,16,10,65,54,360,23,34,0.6,326,6.0,0.8,2,27.0,2,3.1,0,110.3,
5.0,Andrei Iosivas,25.0,WR,17,8,61,36,479,26,412,11.4,67,1.9,11.2,0,,5,8.2,1,109.9,
6.0,Zack Moss,27.0,RB,8,6,27,23,187,11,-7,-0.3,194,8.4,0.1,3,7.7,1,3.7,0,107.9,
7.0,Erick All,24.0,TE,9,6,22,20,158,8,71,3.6,87,4.4,3.4,1,20.0,1,4.5,0,96.6,
8.0,Drew Sample,28.0,TE,17,15,22,20,109,8,28,1.4,81,4.1,1.5,1,20.0,0,0.0,0,102.5,
9.0,Tanner Hudson,30.0,TE,11,0,23,19,154,9,57,3.0,97,5.1,4.3,0,,1,4.3,0,109.1,
10.0,Khalil Herbert,26.0,RB,8,1,9,8,21,0,-17,-2.1,38,4.8,-2.3,0,,1,11.1,0,79.2,
11.0,Cam Grandy,24.0,TE,8,6,5,5,28,1,12,2.4,16,3.2,2.4,0,,0,0.0,0,90.0,
12.0,Jermaine Burton,23.0,WR,14,1,14,4,107,4,85,21.3,22,5.5,21.1,0,,1,7.1,0,58.9,
13.0,Trenton Irwin,29.0,WR,7,2,10,3,15,1,11,3.7,4,1.3,6.2,0,,1,10.0,0,39.6,
14.0,Sam Hubbard,29.0,LDE,14,14,1,1,2,1,2,2.0,0,0.0,2.0,0,,0,0.0,0,118.7,
15.0,Charlie Jones,26.0,WR,8,0,1,1,5,0,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5,
16.0,Kendric Pryor,26.0,WR,1,0,1,1,9,0,9,9.0,0,0.0,9.0,0,,0,0.0,0,104.2,
,Team Totals,,,17,17,628,460,4918,253,2726,5.9,2192,4.8,7.2,25,18.4,30,4.8,9,112.6,
