Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Grant Delpit,26.0,SS,16,16,0,49,39,79.6,472,12.1,9.6,4,134.0,7.0,201,271,32,1,4,0,1.0,6,111,6,5.1,
2.0,Martin Emerson,24.0,RCB,17,15,0,97,59,60.8,701,11.9,7.2,5,100.1,11.3,487,214,0,0,0,0,0.0,0,80,7,8.0,
3.0,Jordan Hicks,32.0,LB,12,12,0,39,24,61.5,252,10.5,6.5,0,80.3,4.1,101,151,26,3,4,0,2.0,9,78,2,2.5,
4.0,Devin Bush Jr.,26.0,LLB,16,10,0,18,11,61.1,107,9.7,5.9,0,77.8,1.6,21,86,26,4,1,0,1.0,6,76,3,3.8,
5.0,Mohamoud Diabate,23.0,RLB,13,11,0,26,13,50.0,155,11.9,6.0,1,81.4,3.1,25,130,25,1,0,0,0.0,1,70,13,15.7,
6.0,Jeremiah Owusu-Koramoah,25.0,MLB,8,8,1,16,11,68.8,141,12.8,8.8,0,70.1,4.1,42,99,43,0,1,0,3.0,4,61,7,10.3,
7.0,Juan Thornhill,29.0,FS,11,11,0,25,16,64.0,280,17.5,11.2,3,141.7,12.6,157,123,1,0,0,0,0.0,0,49,5,9.3,
8.0,Denzel Ward,27.0,LCB,16,16,2,77,42,54.5,716,17.0,9.3,4,92.8,14.8,460,256,3,0,1,0,0.0,1,49,14,22.2,PB
9.0,Myles Garrett,29.0,RDE,17,17,0,3,2,66.7,20,10.0,6.7,0,85.4,-1.7,2,18,0,13,17,1,14.0,44,47,3,6.0,"PB,AP-1,AP DPoY-3"
10.0,Ronnie Hickman,23.0,S,14,5,0,23,14,60.9,212,15.1,9.2,1,105.7,14.2,135,77,1,0,1,0,0.0,1,45,4,8.2,
11.0,Rodney McLeod,34.0,S,17,5,0,36,19,52.8,230,12.1,6.4,3,100.5,8.0,100,130,7,0,0,0,0.0,0,39,5,11.4,
12.0,Shelby Harris,33.0,RDT,14,13,0,0,0,,0,,,0,,,0,0,0,4,3,1,1.5,9,37,1,2.6,
13.0,Isaiah McGuire,23.0,DE,16,3,0,2,0,0.0,0,,0.0,0,39.6,3.0,0,0,4,3,6,0,2.5,12,36,0,0.0,
14.0,Greg Newsome II,24.0,CB,13,3,1,51,32,62.7,491,15.3,9.6,4,112.5,10.1,251,240,9,1,0,0,0.0,1,27,7,20.6,
15.0,Dalvin Tomlinson,30.0,LDT,16,16,0,0,0,,0,,,0,,,0,0,0,2,14,0,3.0,20,26,2,7.1,
16.0,Cameron Mitchell,23.0,CB,17,1,0,36,24,66.7,276,11.5,7.7,3,117.4,7.6,151,125,3,1,0,0,0.0,1,24,10,29.4,
17.0,Ogbonnia Okoronkwo,29.0,DE,16,5,0,2,2,100.0,16,8.0,8.0,0,100.0,0.0,0,16,8,2,4,0,3.0,9,23,4,14.8,
18.0,Winston Reid,25.0,OLB,16,3,0,2,1,50.0,19,19.0,9.5,0,83.3,6.5,12,7,4,0,0,1,0.5,1,23,3,11.5,
19.0,Za'Darius Smith,32.0,LDE,9,9,0,2,2,100.0,12,6.0,6.0,0,91.7,-2.5,-5,17,0,3,2,0,5.0,10,23,1,4.2,
20.0,D'Anthony Bell,28.0,S,17,1,0,1,1,100.0,6,6.0,6.0,0,91.7,4.0,4,2,4,0,1,0,0.0,1,19,1,5.0,
21.0,Maurice Hurst Jr.,29.0,DT,8,2,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.5,1,16,0,0.0,
22.0,Sam Kamara,27.0,DE,11,1,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,15,0,0.0,
23.0,Michael Hall,21.0,DT,8,3,0,1,1,100.0,8,8.0,8.0,0,100.0,-3.0,-3,11,4,6,4,0,1.0,11,14,0,0.0,
24.0,Nathaniel Watson,24.0,LB,14,1,0,2,0,0.0,0,,0.0,0,39.6,10.5,0,0,0,0,0,0,0.0,0,14,0,0.0,
25.0,Jowon Briggs,23.0,DT,6,0,0,1,1,100.0,12,12.0,12.0,0,116.7,6.0,6,6,0,0,2,0,0.0,2,13,1,7.1,
26.0,Mike Ford,29.0,CB,17,0,0,5,4,80.0,45,11.3,9.0,1,143.7,8.0,38,7,0,0,0,0,0.0,0,13,1,7.1,
27.0,Cameron Thomas,24.0,DE,5,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1.0,1,11,0,0.0,
28.0,Khaleke Hudson,27.0,OLB,16,0,0,0,0,,0,,,0,,,0,0,1,0,1,0,0.0,1,9,0,0.0,
29.0,Alex Wright,24.0,DE,4,0,0,3,2,66.7,22,11.0,7.3,0,88.2,-2.0,-6,28,0,0,0,0,1.0,1,8,1,11.1,
30.0,Quinton Jefferson,31.0,DT,5,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1.0,2,6,0,0.0,
31.0,Myles Harden,23.0,CB,4,0,0,6,4,66.7,48,12.0,8.0,0,91.0,8.0,34,14,0,0,0,0,0.0,0,5,0,0.0,
32.0,Tony Fields,25.0,LB,1,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,2,0,0.0,
