Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Jerry Jeudy,25.0,WR,17,16,145,90,1229,57,842,9.4,387,4.3,11.1,0,,13,9.0,3,89.7,PB
2.0,David Njoku,28.0,TE,11,11,97,64,505,23,254,4.0,251,3.9,5.2,4,16.0,7,7.2,3,83.1,
3.0,Elijah Moore,24.0,WR,17,13,102,61,538,25,405,6.6,133,2.2,9.3,1,61.0,5,4.9,8,44.5,
4.0,Jordan Akins,32.0,TE,17,6,58,40,390,20,213,5.3,177,4.4,6.0,1,40.0,1,1.7,1,91.9,
5.0,Jerome Ford,25.0,RB,14,6,43,37,225,10,-69,-1.9,294,7.9,-0.3,7,5.3,1,2.3,0,88.5,
6.0,Cedric Tillman,24.0,WR,11,6,49,29,339,15,235,8.1,104,3.6,11.1,4,7.3,3,6.1,2,83.6,
7.0,Amari Cooper,30.0,WR,6,6,53,24,250,11,193,8.0,57,2.4,12.1,1,24.0,10,18.9,1,64.2,
8.0,Pierre Strong,26.0,RB,14,0,22,14,104,3,-19,-1.4,123,8.8,0.3,2,7.0,2,9.1,0,74.8,
9.0,Michael Woods II,24.0,WR,5,2,17,7,65,4,30,4.3,35,5.0,11.0,1,7.0,2,11.8,1,27.8,
10.0,D'Onta Foreman,28.0,RB,11,3,8,6,54,1,6,1.0,48,8.0,0.9,1,6.0,2,25.0,0,92.7,
11.0,Blake Whiteheart,24.0,TE,11,2,9,6,51,2,41,6.8,10,1.7,9.0,0,,0,0.0,1,78.7,
12.0,Nick Chubb,29.0,RB,8,8,11,5,31,3,0,0.0,31,6.2,-0.5,0,,0,0.0,2,43.2,AP CPoY-8
13.0,David Bell,24.0,WR,1,0,3,3,27,1,19,6.3,8,2.7,6.3,0,,0,0.0,0,104.2,
14.0,James Proche,28.0,WR,9,0,3,3,21,1,17,5.7,4,1.3,5.7,1,3.0,0,0.0,0,95.8,
15.0,Jamari Thrash,24.0,WR,9,0,7,3,22,2,8,2.7,14,4.7,7.3,0,,2,28.6,0,50.9,
16.0,Jaelon Darden,25.0,WR,7,1,1,1,6,1,-3,-3.0,9,9.0,-3.0,0,,0,0.0,0,91.7,
17.0,Jacob Kibodi,26.0,RB,1,0,3,1,15,1,4,4.0,11,11.0,3.0,0,,1,33.3,1,11.1,
18.0,Geoff Swaim,31.0,TE,8,2,1,1,7,0,2,2.0,5,5.0,2.0,0,,0,0.0,0,95.8,
19.0,Brenden Bates,25.0,TE,2,0,1,0,0,0,0,,0,,-2.0,0,,0,0.0,0,39.6,
20.0,Kadarius Toney,25.0,WR,3,0,1,0,0,0,0,,0,,-5.0,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,634,395,3879,180,2178,5.5,1701,4.3,7.8,23,17.2,49,7.7,23,74.4,
