Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Jerome Ford,25.0,RB,14,6,104,565,25,345,3.3,220,2.1,5,20.8,
2.0,Nick Chubb,29.0,RB,8,8,102,332,17,170,1.7,162,1.6,4,25.5,AP CPoY-8
3.0,D'Onta Foreman,28.0,RB,11,3,71,232,10,131,1.8,101,1.4,0,,
4.0,Deshaun Watson,29.0,QB,7,7,31,148,8,109,3.5,39,1.3,1,31.0,
5.0,Pierre Strong,26.0,RB,14,0,26,108,6,69,2.7,39,1.5,0,,
6.0,Jameis Winston,30.0,QB,12,7,25,83,17,72,2.9,11,0.4,0,,
7.0,Dorian Thompson-Robinson,25.0,QB,7,2,21,122,9,94,4.5,28,1.3,1,21.0,
8.0,Jacob Kibodi,26.0,RB,1,0,5,24,1,10,2.0,14,2.8,0,,
9.0,Kadarius Toney,25.0,WR,3,0,2,-4,0,-7,-3.5,3,1.5,1,2.0,
10.0,Bailey Zappe,25.0,QB,1,1,2,2,0,2,1.0,0,0.0,0,,
11.0,Elijah Moore,24.0,WR,17,13,1,1,0,1,1.0,0,0.0,0,,
12.0,Cedric Tillman,24.0,WR,11,6,1,-5,0,-5,-5.0,0,0.0,0,,
,Team Totals,,,17,17,391,1608,93,991,2.5,617,1.6,12,32.6,
