Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Patrick Queen,25.0,LILB,17,17,0,76,58,76.3,561,9.7,7.4,4,114.0,4.2,183,378,59,2,4,1,1.0,7,129,9,6.5,PB
2.0,DeShon Elliott,27.0,FS,15,14,1,59,39,66.1,308,7.9,5.2,3,88.8,6.2,171,137,22,1,2,1,0.0,3,108,3,2.7,
3.0,Minkah Fitzpatrick,28.0,SS,17,17,1,52,41,78.8,540,13.2,10.4,4,127.6,9.6,348,192,8,0,0,0,0.0,0,96,4,4.0,PB
4.0,Payton Wilson,24.0,LB,17,4,1,39,31,79.5,215,6.9,5.5,0,79.0,2.7,33,182,22,1,2,1,0.0,3,78,7,8.2,
5.0,Cameron Heyward,35.0,LDE,17,17,0,1,1,100.0,5,5.0,5.0,0,87.5,2.0,2,3,0,5,10,10,8.0,24,71,3,4.1,"PB,AP-1,AP DPoY-13,AP CPoY-9"
6.0,Joey Porter Jr.,24.0,RCB,16,16,1,86,54,62.8,684,12.7,8.0,0,82.7,9.6,483,201,0,0,0,0,0.0,0,70,8,10.3,
7.0,T.J. Watt,30.0,LOLB,17,17,0,5,5,100.0,33,6.6,6.6,0,94.2,-0.8,-4,37,23,3,16,3,11.5,31,61,4,6.2,"PB,AP-2,AP DPoY-4"
8.0,Elandon Roberts,30.0,RILB,17,14,0,17,13,76.5,181,13.9,10.6,0,110.2,1.0,32,149,41,3,3,0,1.0,7,46,3,6.1,
9.0,Beanie Bishop,25.0,CB,17,6,4,63,36,57.1,388,10.8,6.2,2,59.5,6.9,209,179,11,1,0,0,0.5,2,45,4,8.2,
10.0,Alex Highsmith,27.0,ROLB,11,11,0,3,3,100.0,22,7.3,7.3,0,97.2,1.7,5,17,29,6,8,1,6.0,20,45,0,0.0,
11.0,Larry Ogunjobi,30.0,RDE,15,12,0,0,0,,0,,,0,,,0,0,0,3,5,0,1.5,10,41,3,6.8,
12.0,Donte Jackson,29.0,LCB,15,15,5,67,40,59.7,551,13.8,8.2,3,69.9,12.7,334,217,0,0,0,0,0.0,0,38,8,17.4,
13.0,Keeanu Benton,23.0,NT,17,14,1,4,3,75.0,10,3.3,2.5,0,37.5,-3.3,-11,21,0,4,6,5,1.0,11,36,4,10.0,
14.0,Damontae Kazee,31.0,S,15,1,1,14,11,78.6,182,16.5,13.0,1,112.8,10.9,129,53,0,0,0,0,0.0,0,31,1,3.1,
15.0,James Pierre,28.0,CB,15,2,1,16,8,50.0,93,11.6,5.8,2,81.5,8.3,62,31,0,0,0,0,0.0,0,23,1,4.2,
16.0,Nick Herbig,23.0,LB,13,5,0,7,4,57.1,35,8.8,5.0,0,70.5,3.7,17,18,17,6,6,0,5.5,18,22,1,4.3,
17.0,Cory Trice,24.0,CB,6,1,1,22,17,77.3,163,9.6,7.4,1,93.6,6.0,115,48,0,0,0,0,0.0,0,21,1,4.5,
18.0,Isaiahh Loudermilk,27.0,DT,16,0,0,1,1,100.0,12,12.0,12.0,0,116.7,-6.0,-6,18,0,0,0,1,0.0,0,17,2,10.5,
19.0,Cameron Sutton,29.0,CB,9,2,0,29,14,48.3,155,11.1,5.3,3,99.1,7.7,69,86,12,0,0,1,0.0,0,15,1,6.3,
20.0,Montravius Adams,29.0,DT,11,0,0,1,1,100.0,4,4.0,4.0,0,83.3,3.0,3,1,0,1,0,0,1.0,2,14,0,0.0,
21.0,Preston Smith,32.0,LB,8,0,0,1,1,100.0,1,1.0,1.0,0,79.2,1.0,1,0,5,0,0,0,2.0,2,13,1,7.1,
22.0,Jeremiah Moon,26.0,LB,13,1,0,0,0,,0,,,0,,,0,0,3,0,0,0,0.0,0,9,0,0.0,
23.0,Terrell Edmunds,27.0,S,5,0,0,5,3,60.0,50,16.7,10.0,0,93.7,6.8,41,9,3,0,0,0,0.0,0,7,0,0.0,
24.0,Ben Skowronek,27.0,WR,10,1,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,7,0,0.0,
25.0,Dean Lowry,30.0,DT,12,1,0,0,0,,0,,,0,,,0,0,0,0,0,1,1.0,1,5,1,16.7,
26.0,DeMarvin Leal,24.0,DE,5,0,0,0,0,,0,,,0,,,0,0,2,1,1,0,0.0,2,4,0,0.0,
27.0,Adetokunbo Ogundeji,26.0,OLB,3,0,0,0,0,,0,,,0,,,0,0,3,0,0,1,0.0,0,0,0,,
,Team Totals,,,17,17,17,582,382,67.6,4193,10.9,7.4,23,87.5,7.2,2216,1,261,37,63,26,40.0,143,1052,69,6.2,
