Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Josh Downs,23.0,WR,14,8,107,72,803,40,407,5.7,396,5.5,6.9,3,24.0,5,4.7,3,93.3,
2.0,Michael Pittman Jr.,27.0,WR,16,14,111,69,808,35,549,8.0,259,3.8,11.0,3,23.0,1,0.9,4,78.2,
3.0,Alec Pierce,24.0,WR,16,13,69,37,824,32,706,19.1,118,3.2,21.5,0,,3,4.3,4,106.2,
4.0,Adonai Mitchell,22.0,WR,17,7,55,23,312,16,211,9.2,101,4.4,14.1,0,,4,7.3,0,60.6,
5.0,Jonathan Taylor,25.0,RB,14,13,31,18,136,7,-14,-0.8,150,8.3,-0.3,2,9.0,3,9.7,1,66.1,"PB,AP CPoY-19"
6.0,Trey Sermon,25.0,RB,17,3,19,16,99,3,0,0.0,99,6.2,0.3,1,16.0,1,5.3,0,88.4,
7.0,Kylen Granson,26.0,TE,17,6,31,14,182,8,73,5.2,109,7.8,11.3,0,,1,3.2,2,37.3,
8.0,Mo Alie-Cox,31.0,TE,17,13,22,12,147,7,98,8.2,49,4.1,9.6,0,,1,4.5,1,71.6,
9.0,Tyler Goodson,24.0,RB,16,0,15,11,61,3,-6,-0.5,67,6.1,1.3,2,5.5,2,13.3,0,102.4,
10.0,Andrew Ogletree,26.0,TE,17,6,14,9,109,6,59,6.6,50,5.6,10.7,0,,1,7.1,1,82.1,
11.0,Will Mallory,25.0,TE,10,0,8,4,29,1,25,6.3,4,1.0,8.6,1,4.0,0,0.0,1,19.3,
12.0,Ashton Dulin,27.0,WR,15,2,8,2,67,2,24,12.0,43,21.5,19.3,1,2.0,1,12.5,1,62.0,
13.0,Anthony Gould,23.0,WR,8,0,1,1,23,1,18,18.0,5,5.0,18.0,0,,0,0.0,0,118.7,
14.0,Anthony Richardson,22.0,QB,11,11,1,1,-1,0,-8,-8.0,7,7.0,-8.0,0,,0,0.0,0,79.2,AP CPoY-25
,Team Totals,,,17,17,492,289,3599,161,2142,7.4,1457,5.0,10.5,13,22.2,23,4.7,18,79.8,
