GameNum,Gtm,Week,Game_Date,Day,Opp,Result,Team_Points,Team_Points.1,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession,team,division
1.0,1.0,1.0,9/8/24,Sun,IND,W,29,27,,24,32,75.0,204,2,6.4,7.63,112.0,4,30,40,213,1,5.3,76,417,5.49,3,3,2,2,2,56,13,11,2,26,7,14,2,2,5,30,0,0,0,40:00:00,Texans,AFC_South
2.0,2.0,2.0,9/15/24,Sun,CHI,W,19,13,,23,36,63.9,235,1,6.5,7.08,91.8,3,25,22,75,0,3.4,61,310,5.08,4,4,1,1,6,267,11,4,0,15,4,14,1,1,12,115,1,0,1,28:47:00,Texans,AFC_South
3.0,3.0,3.0,9/22/24,Sun,MIN,L,7,34,,28,44,63.6,258,1,5.9,4.27,68.2,5,49,14,38,0,2.7,63,296,4.7,1,0,1,1,4,177,16,0,1,17,4,14,2,4,11,88,0,2,2,30:42:00,Texans,AFC_South
4.0,4.0,4.0,9/29/24,Sun,JAX,W,24,20,,27,40,67.5,334,2,8.4,9.35,109.8,2,11,26,101,1,3.9,68,435,6.4,1,1,3,3,6,263,20,4,2,26,7,13,0,0,12,93,1,0,1,33:17:00,Texans,AFC_South
5.0,5.0,5.0,10/6/24,Sun,BUF,W,23,20,,28,38,73.7,331,1,8.7,8.05,97.6,1,0,28,94,1,3.4,67,425,6.34,3,3,2,2,5,221,13,5,0,18,8,16,0,1,7,65,1,1,2,33:10:00,Texans,AFC_South
6.0,6.0,6.0,10/13/24,Sun,NWE,W,41,21,,20,32,62.5,176,3,5.5,5.97,95.3,2,16,28,192,2,6.9,62,368,5.94,3,2,5,5,4,185,13,5,2,20,4,11,0,0,4,38,0,1,1,30:47:00,Texans,AFC_South
7.0,7.0,7.0,10/20/24,Sun,GNB,L,22,24,,10,21,47.6,55,0,2.6,2.62,54.3,4,31,33,142,2,4.3,58,197,3.4,3,3,1,1,6,307,6,9,0,15,4,13,0,0,5,55,0,0,0,31:17:00,Texans,AFC_South
8.0,8.0,8.0,10/27/24,Sun,IND,W,23,20,,25,37,67.6,267,1,7.2,7.76,97.5,2,18,29,96,1,3.3,68,363,5.34,3,3,2,2,6,257,15,5,1,21,4,13,0,0,5,30,1,0,1,35:20:00,Texans,AFC_South
9.0,9.0,9.0,10/31/24,Thu,NYJ,L,13,21,,11,31,35.5,135,0,4.4,4.35,49.8,8,56,36,187,1,5.2,75,322,4.29,4,2,1,1,3,154,6,10,5,21,6,17,2,2,7,60,1,0,1,33:42:00,Texans,AFC_South
10.0,10.0,10.0,11/10/24,Sun,DET,L,23,26,,19,33,57.6,192,1,5.8,3.7,59.2,4,40,28,56,1,2.0,65,248,3.82,4,3,2,2,5,275,12,3,1,16,6,15,0,0,4,30,0,2,2,32:28:00,Texans,AFC_South
11.0,11.0,11.0,11/18/24,Mon,DAL,W,34,10,,23,34,67.6,250,0,7.4,6.03,76.8,1,7,25,141,3,5.6,60,391,6.52,2,2,4,4,4,210,13,6,2,21,4,12,1,2,9,69,0,1,1,30:37:00,Texans,AFC_South
12.0,12.0,12.0,11/24/24,Sun,TEN,L,27,32,,20,33,60.6,220,2,6.7,5.15,75.3,4,27,17,40,0,2.4,54,260,4.81,3,2,3,3,5,240,11,0,1,12,3,13,0,0,11,81,0,2,2,25:31:00,Texans,AFC_South
13.0,13.0,13.0,12/1/24,Sun,JAX,W,23,20,,22,34,64.7,218,1,6.4,7.0,92.5,2,24,25,108,1,4.3,61,326,5.34,3,3,2,2,4,202,10,9,1,20,5,13,1,1,3,15,0,0,0,32:17:00,Texans,AFC_South
14.0,14.0,15.0,12/15/24,Sun,MIA,W,20,12,,18,26,69.2,104,2,4.0,5.54,102.1,4,27,20,77,0,3.9,50,181,3.62,2,2,2,2,5,250,8,3,1,12,5,13,1,1,7,70,1,0,1,26:36:00,Texans,AFC_South
15.0,15.0,16.0,12/21/24,Sat,KAN,L,19,27,,23,39,59.0,227,2,5.8,4.54,71.2,2,17,17,84,0,4.9,58,311,5.36,2,2,2,1,2,105,14,6,0,20,7,13,0,0,6,45,0,2,2,26:08:00,Texans,AFC_South
16.0,16.0,17.0,12/25/24,Wed,BAL,L,2,31,,18,32,56.3,153,0,4.8,3.38,55.9,5,37,17,58,0,3.4,54,211,3.91,0,0,0,0,6,289,8,1,1,10,4,15,0,2,5,49,0,1,1,24:39:00,Texans,AFC_South
17.0,17.0,18.0,1/5/25,Sun,TEN,W,23,14,,18,28,64.3,167,1,6.0,6.68,92.4,1,11,29,207,1,7.1,58,374,6.45,1,1,3,2,4,191,8,8,2,18,5,12,1,2,6,48,1,0,1,30:01:00,Texans,AFC_South
,,,,,,7-Oct,372,372,,357,570,62.6,3526,20,6.2,5.94,83.0,54,426,434,1909,15,4.4,1058,5435,5.14,42,36,36,34,77,3649,197,89,22,308,87,231,11,18,119,981,7,12,19,525:19:00,Texans,AFC_South
