Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Henry To'oTo'o,23.0,LLB,15,15,1,42,35,83.3,369,10.5,8.8,4,125.1,4.4,140,229,38,1,0,1,1.5,3,105,12,10.3,
2.0,Eric Murray,30.0,SS,17,14,1,56,36,64.3,506,14.1,9.0,3,103.7,9.8,238,268,12,0,1,0,1.0,2,75,12,13.8,
3.0,Azeez Al-Shaair,27.0,MLB,11,11,0,36,23,63.9,244,10.6,6.8,1,92.8,5.7,78,166,29,0,5,0,2.0,7,70,4,5.4,
4.0,Jalen Pitre,25.0,S,12,12,1,55,35,63.6,334,9.5,6.1,4,97.1,5.3,154,180,44,1,2,0,0.0,3,65,14,17.7,
5.0,Neville Hewitt,31.0,LB,17,4,1,14,9,64.3,68,7.6,4.9,1,69.9,6.1,25,43,8,0,1,0,0.0,1,59,4,6.3,
6.0,Kamari Lassiter,21.0,RCB,14,14,3,73,32,43.8,424,13.3,5.8,4,64.0,13.0,261,163,7,1,0,0,0.0,1,58,7,10.8,AP DRoY-10
7.0,Calen Bullock,21.0,FS,17,13,5,35,15,42.9,168,11.2,4.8,2,37.3,15.2,76,92,1,0,0,0,0.0,0,54,7,11.5,AP DRoY-8
8.0,Derek Stingley Jr.,23.0,LCB,17,17,5,85,40,47.1,382,9.6,4.5,4,51.2,13.4,249,133,1,0,0,0,0.0,0,54,9,14.3,"PB,AP-1,AP DPoY-17"
9.0,Jimmie Ward,33.0,S,10,10,2,39,27,69.2,346,12.8,8.9,3,101.0,6.5,176,170,4,0,0,0,0.0,0,48,2,4.0,
10.0,Danielle Hunter,30.0,RDE,17,17,0,3,1,33.3,13,13.0,4.3,0,47.9,-6.0,-4,17,8,10,11,3,12.0,34,46,4,8.0,"PB,AP DPoY-22"
11.0,Will Anderson,23.0,LDE,14,14,0,3,2,66.7,18,9.0,6.0,0,82.6,0.3,-6,24,1,9,8,2,11.0,29,37,4,9.8,AP DPoY-14
12.0,Mario Edwards,30.0,DT,13,12,0,0,0,,0,,,0,,,0,0,0,4,4,2,3.0,11,31,5,13.9,
13.0,Tim Settle,27.0,RDT,17,11,0,1,1,100.0,-3,-3.0,-3.0,0,79.2,-3.0,-3,0,0,4,5,0,5.0,14,31,3,8.8,
14.0,Jake Hansen,26.0,LB,16,2,0,12,10,83.3,80,8.0,6.7,1,122.2,2.2,11,69,8,0,0,0,1.0,1,28,3,9.7,
15.0,Tommy Togiai,25.0,DT,8,0,0,1,1,100.0,-1,-1.0,-1.0,0,79.2,-5.0,-5,4,0,1,0,1,1.5,3,28,3,9.7,
16.0,Derek Barnett,28.0,DE,16,1,0,1,0,0.0,0,,0.0,0,39.6,-7.0,0,0,0,3,4,0,5.0,12,26,1,3.7,
17.0,Folorunso Fatukasi,29.0,LDT,11,11,0,2,2,100.0,-3,-1.5,-1.5,0,79.2,-4.0,-8,5,0,3,2,0,1.0,6,24,1,4.0,
18.0,Christian Harris,23.0,LB,3,3,0,12,11,91.7,161,14.6,13.4,0,118.7,3.0,36,125,11,0,0,0,1.0,1,20,3,13.0,
19.0,Devin White,26.0,LB,7,1,0,18,11,61.1,73,6.6,4.1,0,69.9,4.3,9,64,13,4,0,0,0.0,4,19,4,17.4,
20.0,Dylan Horton,24.0,DE,13,0,0,0,0,,0,,,0,,,0,0,0,1,2,1,0.0,3,16,1,5.9,
21.0,Del'Shawn Phillips,28.0,LB,17,0,0,3,3,100.0,33,11.0,11.0,0,112.5,4.3,13,20,1,0,0,0,0.0,0,16,1,5.9,
22.0,Myles Bryant,26.0,CB,11,0,0,8,4,50.0,26,6.5,3.3,0,57.3,3.8,15,11,5,1,0,0,0.0,1,14,1,6.7,
23.0,Denico Autry,34.0,DE,10,2,0,1,1,100.0,7,7.0,7.0,0,95.8,-4.0,-4,11,0,3,3,2,3.0,9,13,2,13.3,
24.0,D'Angelo Ross,28.0,CB,10,2,0,13,11,84.6,132,12.0,10.2,1,134.6,9.2,83,49,1,0,0,0,0.0,0,13,3,18.8,
25.0,Kurt Hinish,25.0,DT,10,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,12,2,14.3,
26.0,Ka'dar Hollman,30.0,CB,7,1,0,10,6,60.0,73,12.2,7.3,0,82.5,11.2,64,9,0,0,0,0,0.0,0,12,0,0.0,
27.0,M.J. Stewart,29.0,S,15,0,0,4,1,25.0,19,19.0,4.8,0,46.9,15.8,17,2,3,0,0,0,0.0,0,12,1,7.7,
28.0,Khalil Davis,28.0,DT,9,0,0,1,1,100.0,14,14.0,14.0,0,118.7,2.0,2,12,0,0,1,0,1.0,2,9,2,18.2,
29.0,Jeff Okudah,25.0,CB,6,0,0,11,8,72.7,126,15.8,11.5,1,140.7,10.1,50,76,0,0,0,0,0.0,0,9,1,10.0,
30.0,Kris Boyd,28.0,CB,17,0,0,4,2,50.0,63,31.5,15.8,0,95.8,24.5,51,12,0,0,0,0,0.0,0,8,2,20.0,
31.0,Jerry Hughes,36.0,DE,7,0,0,1,1,100.0,33,33.0,33.0,0,118.7,-7.0,-7,40,0,0,0,0,0.0,0,5,0,0.0,
32.0,Solomon Byrd,25.0,DE,1,0,0,0,0,,0,,,0,,,0,0,0,0,1,1,0.0,1,2,0,0.0,
33.0,John Metchie,24.0,WR,13,3,0,1,1,100.0,4,4.0,4.0,0,83.3,4.0,4,0,0,0,0,0,0.0,0,1,0,0.0,
34.0,Russ Yeast,25.0,S,1,0,0,1,1,100.0,49,49.0,49.0,1,158.3,44.0,44,5,0,0,0,0,0.0,0,1,0,0.0,
35.0,Kendrick Green,26.0,OL,17,1,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,0,0,,
36.0,Dameon Pierce,24.0,RB,11,0,0,1,1,100.0,19,19.0,19.0,0,118.7,8.0,8,11,0,0,0,0,0.0,0,0,1,100.0,
,Team Totals,,,17,17,19,554,326,60.7,3777,11.4,6.9,31,83.7,8.9,1767,166,196,46,50,13,49.0,148,1021,119,10.4,
