Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Brandon Jones,26.0,FS,16,15,3,70,47,67.1,492,10.5,7.0,2,79.0,7.3,245,247,14,2,1,0,0.0,3,115,8,6.5,
2.0,Cody Barton,28.0,LILB,17,14,2,47,41,87.2,476,11.6,10.1,1,98.2,4.3,157,319,65,3,0,1,1.5,5,106,7,6.2,
3.0,Riley Moss,24.0,RCB,14,14,1,103,67,65.0,747,11.1,7.3,4,95.4,11.2,541,206,2,1,0,0,0.0,1,86,10,10.4,
4.0,Ja'Quan McMillian,24.0,CB,17,9,2,101,65,64.4,688,10.6,6.8,3,85.7,7.1,398,290,22,1,1,0,1.0,3,81,7,8.0,
5.0,P.J. Locke,27.0,SS,15,15,0,54,40,74.1,484,12.1,9.0,4,125.8,8.0,297,187,15,0,0,0,1.0,1,74,5,6.3,
6.0,Justin Strnad,28.0,RILB,17,8,0,43,31,72.1,247,8.0,5.7,0,86.1,1.1,17,230,42,4,1,3,3.0,8,73,6,7.6,
7.0,Zach Allen,27.0,LDT,16,16,0,3,1,33.3,10,10.0,3.3,0,43.7,-3.3,-1,11,0,7,29,0,8.5,47,61,5,7.6,"AP-2,AP DPoY-14"
8.0,Jonathon Cooper,26.0,LOLB,17,17,0,11,7,63.6,28,4.0,2.5,0,67.6,-1.7,-19,47,86,10,8,0,10.5,30,58,1,1.7,
9.0,Nik Bonitto,25.0,ROLB,17,15,1,6,4,66.7,34,8.5,5.7,0,41.7,3.5,17,17,70,11,11,1,13.5,36,48,6,11.1,"PB,AP-2,AP DPoY-9"
10.0,Patrick Surtain II,24.0,LCB,16,16,4,62,38,61.3,326,8.6,5.3,2,58.9,6.4,229,97,2,1,0,0,0.0,1,45,0,0.0,"PB,AP-1,AP DPoY-1"
11.0,Malcolm Roach,26.0,DT,17,1,0,1,0,0.0,0,,0.0,0,39.6,13.0,0,0,0,5,6,1,2.5,14,43,5,10.4,
12.0,D.J. Jones,29.0,NT,17,17,0,0,0,,0,,,0,,,0,0,0,4,1,3,1.0,7,42,3,6.7,
13.0,John Franklin-Myers,28.0,RDE,17,16,0,1,0,0.0,0,,0.0,0,39.6,-7.0,0,0,1,3,10,0,7.0,21,40,2,4.8,
14.0,Jonah Elliss,21.0,OLB,17,0,0,11,10,90.9,113,11.3,10.3,1,139.8,4.6,51,62,45,3,0,2,5.0,9,38,1,2.6,
15.0,Devon Key,27.0,DB,17,2,0,11,5,45.5,95,19.0,8.6,2,115.5,13.5,45,50,2,0,0,0,1.0,1,33,1,2.9,
16.0,Alex Singleton,31.0,LB,3,3,1,8,7,87.5,70,10.0,8.8,1,103.1,2.9,10,60,12,0,1,0,0.0,1,31,4,11.4,
17.0,Levi Wallace,29.0,CB,13,2,0,30,20,66.7,271,13.6,9.0,1,106.4,8.9,138,133,1,0,0,0,0.0,0,28,0,0.0,
18.0,Dondrea Tillman,26.0,OLB,12,0,0,2,1,50.0,26,26.0,13.0,0,95.8,1.5,0,26,21,5,2,0,5.0,12,23,3,11.5,
19.0,Jordan Jackson,26.0,DL,17,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1.0,2,17,0,0.0,
20.0,Eyioma Uwazurike,26.0,DL,4,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.5,1,11,1,8.3,
21.0,Kris Abrams-Draine,23.0,CB,5,1,1,16,7,43.8,85,12.1,5.3,0,34.6,12.4,63,22,0,0,0,0,0.0,0,9,0,0.0,
22.0,Kwon Alexander,30.0,LB,3,2,0,2,2,100.0,15,7.5,7.5,1,137.5,-0.5,-1,16,0,0,0,0,0.0,0,8,1,11.1,
23.0,Drew Sanders,24.0,LB,4,0,0,2,2,100.0,16,8.0,8.0,0,100.0,5.5,11,5,1,0,0,0,1.0,1,8,0,0.0,
24.0,Kristian Welch,26.0,LB,6,1,0,2,1,50.0,12,12.0,6.0,0,68.7,-1.5,-1,13,0,0,0,0,0.0,0,8,0,0.0,
25.0,Baron Browning,25.0,OLB,5,2,0,2,1,50.0,1,1.0,0.5,0,56.2,-4.0,-5,6,7,0,0,0,0.0,0,7,1,12.5,
26.0,Keidron Smith,25.0,DB,9,0,0,1,1,100.0,17,17.0,17.0,0,118.7,5.0,5,12,1,0,0,0,0.0,0,7,1,12.5,
27.0,Michael Burton,32.0,FB,17,2,0,1,1,100.0,16,16.0,16.0,0,118.7,11.0,11,5,0,0,0,0,0.0,0,6,0,0.0,
28.0,Tremon Smith,28.0,CB,17,0,0,1,0,0.0,0,,0.0,0,39.6,11.0,0,0,0,0,0,0,0.0,0,4,0,0.0,
29.0,Damarri Mathis,25.0,CB,10,1,0,6,1,16.7,10,10.0,1.7,0,39.6,11.7,9,1,0,0,0,0,0.0,0,3,0,0.0,
30.0,Courtland Sutton,29.0,WR,17,13,0,1,0,0.0,0,,0.0,0,39.6,0.0,0,0,0,0,0,0,0.0,0,0,0,,
31.0,Reese Taylor,25.0,CB,1,0,0,1,0,0.0,0,,0.0,0,39.6,20.0,0,0,0,0,0,0,0.0,0,0,0,,
32.0,Blake Watson,25.0,RB,2,0,0,0,0,,0,,,0,,,0,0,2,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,15,606,393,66.8,4279,10.7,7.1,22,86.2,7.1,2217,22,411,60,72,11,63.0,204,1113,78,6.5,
