Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Courtland Sutton,29.0,WR,17,13,135,81,1081,57,902,11.1,179,2.2,13.2,1,81.0,9,6.7,6,86.7,
2.0,Javonte Williams,24.0,RB,17,11,70,52,346,14,-49,-0.9,395,7.6,-0.3,4,13.0,7,10.0,0,84.6,
3.0,Devaughn Vele,27.0,WR,13,7,55,41,475,26,348,8.5,127,3.1,8.4,0,,3,5.5,0,118.4,
4.0,Marvin Mims,22.0,WR,17,2,52,39,503,14,26,0.7,477,12.2,7.4,0,,3,5.8,2,127.3,"PB,AP-1"
5.0,Lil'Jordan Humphrey,26.0,WR,17,7,45,31,293,12,101,3.3,192,6.2,6.5,3,10.3,3,6.7,2,75.5,
6.0,Troy Franklin,21.0,WR,16,6,53,28,263,11,100,3.6,163,5.8,13.0,1,28.0,3,5.7,1,71.5,
7.0,Jaleel McLaughlin,24.0,RB,16,5,27,24,76,3,-91,-3.8,167,7.0,-3.8,1,24.0,0,0.0,0,103.9,
8.0,Lucas Krull,26.0,TE,13,2,23,19,152,7,85,4.5,67,3.5,5.1,2,9.5,0,0.0,0,94.2,
9.0,Nate Adkins,25.0,TE,17,10,15,14,115,6,39,2.8,76,5.4,4.1,1,14.0,0,0.0,0,138.2,
10.0,Adam Trautman,27.0,TE,17,14,22,13,188,8,90,6.9,98,7.5,5.5,0,,1,4.5,0,117.2,
11.0,Josh Reynolds,29.0,WR,5,1,19,12,183,8,148,12.3,35,2.9,11.4,0,,0,0.0,0,112.4,
12.0,Michael Burton,32.0,FB,17,2,10,10,65,3,24,2.4,41,4.1,2.4,0,,0,0.0,0,127.1,
13.0,Greg Dulcich,24.0,TE,4,3,12,5,28,0,13,2.6,15,3.0,5.9,0,,2,16.7,0,49.3,
14.0,Audric Estime,21.0,RB,13,1,5,5,27,2,-10,-2.0,37,7.4,-2.0,0,,0,0.0,0,89.2,
15.0,Tyler Badie,24.0,RB,3,0,3,3,-2,0,-6,-2.0,4,1.3,-2.0,0,,0,0.0,0,79.2,
16.0,Bo Nix,24.0,QB,17,17,1,1,2,1,2,2.0,0,0.0,2.0,0,,0,0.0,0,118.7,AP ORoY-3
17.0,Blake Watson,25.0,RB,2,0,2,1,13,0,-5,-5.0,18,18.0,-2.0,0,,1,50.0,0,70.8,
,Team Totals,,,17,17,549,379,3808,172,1717,4.5,2091,5.5,7.4,13,29.2,32,5.8,11,98.4,
