Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Javonte Williams,24.0,RB,17,11,139,513,30,258,1.9,255,1.8,4,34.8,
2.0,Jaleel McLaughlin,24.0,RB,16,5,113,496,25,302,2.7,194,1.7,8,14.1,
3.0,Bo Nix,24.0,QB,17,17,92,430,41,359,3.9,71,0.8,3,30.7,AP ORoY-3
4.0,Audric Estime,21.0,RB,13,1,76,310,15,134,1.8,176,2.3,3,25.3,
5.0,Marvin Mims,22.0,WR,17,2,13,42,3,14,1.1,28,2.2,1,13.0,"PB,AP-1"
6.0,Tyler Badie,24.0,RB,3,0,11,86,4,22,2.0,64,5.8,1,11.0,
7.0,Michael Burton,32.0,FB,17,2,7,8,3,3,0.4,5,0.7,0,,
8.0,Jarrett Stidham,28.0,QB,3,0,4,5,1,2,0.5,3,0.8,0,,
9.0,Blake Watson,25.0,RB,2,0,4,10,2,7,1.8,3,0.8,0,,
10.0,Troy Franklin,21.0,WR,16,6,2,8,0,6,3.0,2,1.0,0,,
,Team Totals,,,17,17,461,1908,124,1107,2.4,801,1.7,20,23.1,
