Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Daiyan Henley,25.0,LILB,17,17,1,79,56,70.9,525,9.4,6.6,1,87.8,3.1,120,405,52,2,2,0,1.0,5,147,14,8.7,
2.0,Derwin James,28.0,SS,16,16,1,58,36,62.1,304,8.4,5.2,1,74.2,4.8,125,179,66,5,0,3,5.5,11,93,3,3.1,"PB,AP-2"
3.0,Elijah Molden,25.0,CB,15,12,3,38,24,63.2,292,12.2,7.7,1,62.6,15.0,198,94,1,0,0,0,0.0,0,75,4,5.1,
4.0,Tarheeb Still,22.0,RCB,14,12,4,76,49,64.5,563,11.5,7.4,4,82.3,9.1,330,233,5,0,0,0,0.5,1,62,7,10.1,AP DRoY-7
5.0,Troy Dye,28.0,LB,17,5,0,20,17,85.0,103,6.1,5.2,0,88.1,1.6,31,72,11,0,0,0,1.5,2,57,2,3.4,
6.0,Denzel Perryman,32.0,RILB,11,11,0,23,17,73.9,131,7.7,5.7,0,87.4,2.8,64,67,14,1,2,0,1.0,4,55,13,19.1,
7.0,Kristian Fulton,26.0,LCB,15,14,1,64,40,62.5,459,11.5,7.2,5,103.6,11.3,366,93,1,0,0,0,0.0,0,51,1,1.9,
8.0,Alohi Gilman,27.0,FS,11,11,1,30,21,70.0,358,17.0,11.9,2,118.5,12.1,234,124,1,0,0,0,1.0,1,50,8,13.8,
9.0,Tuli Tuipulotu,22.0,OLB,17,9,0,6,4,66.7,30,7.5,5.0,1,118.1,3.2,8,22,20,2,7,1,8.5,19,42,5,10.6,
10.0,Poona Ford,29.0,RDT,17,17,1,2,1,50.0,-3,-3.0,-1.5,0,16.7,-5.5,-6,3,0,0,6,3,3.0,9,39,2,4.9,
11.0,Khalil Mack,33.0,LOLB,16,16,0,4,3,75.0,15,5.0,3.8,0,80.2,-0.8,6,9,6,7,8,8,6.0,22,39,5,11.4,PB
12.0,Cam Hart,24.0,CB,14,6,0,58,35,60.3,281,8.0,4.8,3,89.8,8.6,190,91,1,0,1,0,0.5,2,37,4,9.8,
13.0,Otito Ogbonnia,24.0,NT,17,17,0,0,0,,0,,,0,,,0,0,0,1,3,0,0.0,4,37,1,2.6,
14.0,Junior Colson,22.0,LB,11,1,0,18,11,61.1,120,10.9,6.7,1,99.3,4.8,51,69,9,1,1,0,0.0,2,29,2,6.5,
15.0,Teair Tart,27.0,DT,17,0,1,2,2,100.0,9,4.5,4.5,0,45.8,-7.0,-14,23,0,3,3,1,1.0,7,29,3,9.4,
16.0,Bud Dupree,31.0,OLB,17,0,1,4,3,75.0,18,6.0,4.5,0,43.7,-0.3,-8,26,13,1,5,1,6.0,12,28,5,15.2,
17.0,Morgan Fox,30.0,DL,17,3,0,0,0,,0,,,0,,,0,0,1,4,2,1,3.5,10,27,1,3.6,
18.0,Tony Jefferson,32.0,S,8,4,0,14,13,92.9,117,9.0,8.4,1,125.3,5.7,49,68,1,0,0,0,0.0,0,27,2,6.9,AP CPoY-16
19.0,Joey Bosa,29.0,ROLB,14,9,0,0,0,,0,,,0,,,0,0,2,6,8,0,5.0,19,22,3,12.0,PB
20.0,Ja'Sir Taylor,25.0,DB,15,2,0,31,21,67.7,309,14.7,10.0,5,139.7,10.5,221,88,8,0,1,0,0.0,1,22,2,8.3,
21.0,Nick Niemann,27.0,LB,13,0,0,1,0,0.0,0,,0.0,0,39.6,4.0,0,0,0,0,0,0,0.0,0,21,0,0.0,
22.0,Asante Samuel Jr.,25.0,CB,4,4,0,18,12,66.7,138,11.5,7.7,0,89.6,7.6,84,54,0,0,0,0,0.0,0,13,3,18.8,
23.0,Marcus Maye,31.0,S,4,1,1,4,2,50.0,14,7.0,3.5,1,58.3,14.3,10,4,2,1,0,0,0.0,1,12,0,0.0,
24.0,AJ Finley,23.0,S,10,0,0,4,3,75.0,51,17.0,12.8,0,116.7,10.0,30,21,1,0,0,0,0.0,0,10,0,0.0,
25.0,Deane Leonard,25.0,DB,10,0,0,8,4,50.0,20,5.0,2.5,0,56.2,10.6,11,9,0,0,0,0,0.0,0,8,1,11.1,
26.0,Scott Matlock,24.0,FB/DL,17,11,0,1,0,0.0,0,,0.0,0,39.6,-5.0,0,0,0,0,0,1,1.0,1,7,0,0.0,
27.0,Dicaprio Bootle,27.0,CB,6,0,0,1,1,100.0,11,11.0,11.0,0,112.5,5.0,5,6,0,0,0,0,0.0,0,3,1,25.0,
28.0,Kendall Williamson,24.0,DB,2,0,0,1,1,100.0,13,13.0,13.0,0,118.7,0.0,0,13,0,0,0,0,0.0,0,3,0,0.0,
29.0,Eli Apple,29.0,CB,4,0,0,5,2,40.0,12,6.0,2.4,0,47.9,11.4,12,0,0,0,0,0,0.0,0,2,0,0.0,
30.0,Eddie Jackson,31.0,FS,2,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,15,565,367,66.3,3890,10.3,6.8,24,87.1,7.6,2117,0,216,34,49,19,45.0,133,1047,92,8.1,
