Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Ladd McConkey,23.0,WR,16,14,112,82,1149,52,759,9.3,390,4.8,9.9,10,8.2,5,4.5,1,123.0,AP ORoY-9
2.0,Quentin Johnston,23.0,WR,15,11,91,55,711,32,405,7.4,306,5.6,10.8,8,6.9,7,7.7,1,109.7,
3.0,Will Dissly,28.0,TE,15,8,64,50,481,24,178,3.6,303,6.1,4.6,4,12.5,4,6.3,0,108.4,
4.0,Josh Palmer,25.0,WR,15,7,65,39,584,28,483,12.4,101,2.6,15.2,0,,4,6.2,1,88.2,
5.0,J.K. Dobbins,26.0,RB,13,11,38,32,153,6,-51,-1.6,204,6.4,-1.2,1,32.0,2,5.3,0,83.4,AP CPoY-2
6.0,Stone Smartt,26.0,TE,15,2,19,16,208,11,142,8.9,66,4.1,10.1,0,,2,10.5,0,112.3,
7.0,Derius Davis,24.0,WR,15,2,17,13,112,5,-7,-0.5,119,9.2,3.8,1,13.0,0,0.0,0,132.5,
8.0,Hayden Hurst,31.0,TE,9,2,13,8,73,2,53,6.6,20,2.5,4.8,0,,2,15.4,0,76.8,
9.0,Tucker Fisk,25.0,TE,9,5,8,7,39,1,18,2.6,21,3.0,2.5,0,,0,0.0,0,87.0,
10.0,Jalen Reagor,25.0,WR,8,2,12,7,100,3,74,10.6,26,3.7,10.3,0,,0,0.0,0,85.4,
11.0,Simi Fehoko,27.0,WR,8,2,16,6,106,6,90,15.0,16,2.7,14.8,0,,2,12.5,0,60.9,
12.0,Kimani Vidal,23.0,RB,10,0,9,5,62,2,25,5.0,37,7.4,5.3,0,,3,33.3,0,114.1,
13.0,DJ Chark,28.0,WR,7,0,10,4,31,1,24,6.0,7,1.8,11.5,0,,0,0.0,0,81.7,
14.0,Scott Matlock,24.0,FB/DL,17,11,5,4,28,1,5,1.3,23,5.8,1.4,0,,1,20.0,0,90.0,
15.0,Gus Edwards,29.0,RB,11,6,5,3,6,0,-5,-1.7,11,3.7,-3.0,0,,0,0.0,0,64.6,
16.0,Hassan Haskins,25.0,RB,17,0,3,3,49,2,7,2.3,42,14.0,2.3,0,,0,0.0,0,158.3,
17.0,Eric Tomlinson,32.0,TE,9,1,4,2,9,0,-3,-1.5,12,6.0,2.0,1,2.0,1,25.0,0,56.2,
,Team Totals,,,17,17,491,336,3901,176,2197,6.5,1704,5.1,8.6,25,13.4,33,6.7,3,105.3,
