GameNum,Gtm,Week,Game_Date,Day,Opp,Result,Team_Points,Team_Points.1,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession,team,division
1.0,1.0,1.0,9/5/24,Thu,BAL,W,27,20,,20,28,71.4,281,1,10.0,9.14,100.4,2,10,20,72,2,3.6,50,353,7.06,2,2,3,3,3,144,15,4,2,21,4,9,0,0,6,45,0,1,1,26:17:00,Chiefs,AFC_West
2.0,2.0,2.0,9/15/24,Sun,CIN,W,26,25,,18,25,72.0,137,2,5.5,3.48,78.2,2,14,32,149,0,4.7,59,286,4.85,2,2,2,2,2,112,7,9,3,19,1,8,2,2,4,44,1,2,3,28:31:00,Chiefs,AFC_West
3.0,3.0,3.0,9/22/24,Sun,ATL,W,22,17,,26,39,66.7,217,2,5.6,5.44,87.2,0,0,33,128,0,3.9,72,345,4.79,3,3,2,1,3,145,13,9,0,22,6,14,1,1,6,61,0,1,1,34:57:00,Chiefs,AFC_West
4.0,4.0,4.0,9/29/24,Sun,LAC,W,17,10,,19,29,65.5,228,1,7.9,7.0,86.6,3,17,26,101,1,3.9,58,329,5.67,2,1,2,2,4,200,8,6,2,16,9,16,0,0,5,40,1,1,2,29:08:00,Chiefs,AFC_West
5.0,5.0,5.0,10/7/24,Mon,NOR,W,26,13,,28,39,71.8,321,0,8.2,7.08,85.5,2,10,39,139,2,3.6,80,460,5.75,5,4,2,2,1,56,15,11,2,28,6,14,1,1,6,55,0,1,1,39:56:00,Chiefs,AFC_West
6.0,6.0,7.0,10/20/24,Sun,SFO,W,28,18,,16,27,59.3,145,0,5.4,2.04,43.0,2,9,39,184,4,4.7,68,329,4.84,0,0,4,4,3,179,11,11,0,22,8,14,1,2,4,48,0,2,2,35:04:00,Chiefs,AFC_West
7.0,7.0,8.0,10/27/24,Sun,LVR,W,27,20,,27,38,71.1,252,2,6.6,6.5,95.5,1,10,29,82,1,2.8,68,334,4.91,2,2,3,3,2,93,17,5,1,23,12,16,0,0,8,55,0,1,1,32:30:00,Chiefs,AFC_West
8.0,8.0,9.0,11/4/24,Mon,TAM,W,30,24,OT,34,44,77.3,260,3,5.9,7.27,113.8,4,31,35,124,1,3.5,83,384,4.63,1,1,3,3,4,171,19,9,0,28,12,18,1,1,3,30,1,0,1,40:42:00,Chiefs,AFC_West
9.0,9.0,10.0,11/10/24,Sun,DEN,W,16,14,,28,42,66.7,243,1,5.8,6.26,89.7,4,23,19,57,0,3.0,65,300,4.62,3,3,1,1,4,213,13,4,2,19,7,16,2,2,3,10,0,0,0,33:21:00,Chiefs,AFC_West
10.0,10.0,11.0,11/17/24,Sun,BUF,L,21,30,,23,33,69.7,181,3,5.5,4.58,88.1,2,15,17,78,0,4.6,52,259,4.98,0,0,3,3,4,193,15,3,1,19,5,10,0,1,6,57,0,2,2,25:57:00,Chiefs,AFC_West
11.0,11.0,12.0,11/24/24,Sun,CAR,W,30,27,,27,37,73.0,226,3,6.1,7.73,115.4,5,43,26,165,0,6.3,68,391,5.75,3,3,3,3,2,94,15,8,4,27,8,13,1,1,10,91,0,0,0,32:16:00,Chiefs,AFC_West
12.0,12.0,13.0,11/29/24,Fri,LVR,W,19,17,,26,46,56.5,266,1,5.8,6.22,80.5,5,40,16,63,0,3.9,67,329,4.91,5,4,1,1,5,217,14,2,2,18,7,16,0,0,7,40,0,0,0,28:48:00,Chiefs,AFC_West
13.0,13.0,14.0,12/8/24,Sun,LAC,W,19,17,,24,37,64.9,202,1,5.5,6.0,87.9,3,8,25,96,0,3.8,65,298,4.58,4,4,1,1,4,207,11,7,2,20,8,15,0,0,8,98,0,0,0,29:07:00,Chiefs,AFC_West
14.0,14.0,15.0,12/15/24,Sun,CLE,W,21,7,,21,40,52.5,179,2,4.5,5.48,81.1,0,0,35,132,1,3.8,75,311,4.15,1,0,3,3,9,399,12,6,0,18,7,18,0,1,4,30,0,0,0,31:37:00,Chiefs,AFC_West
15.0,15.0,16.0,12/21/24,Sat,HOU,W,27,19,,28,41,68.3,251,1,6.1,6.61,92.6,1,9,28,124,2,4.4,70,375,5.36,2,2,3,3,2,90,14,8,3,25,7,13,1,2,2,20,0,0,0,33:52:00,Chiefs,AFC_West
16.0,16.0,17.0,12/25/24,Wed,PIT,W,29,10,,29,38,76.3,320,3,8.4,10.0,127.1,0,0,20,69,1,3.5,58,389,6.71,1,1,3,2,5,269,16,4,0,20,3,10,1,1,9,90,0,0,0,28:38:00,Chiefs,AFC_West
17.0,17.0,18.0,1/5/25,Sun,DEN,L,0,38,,10,17,58.8,71,0,4.2,4.18,68.5,5,27,11,27,0,2.5,33,98,2.97,1,0,0,0,5,245,4,0,1,5,1,9,1,2,3,15,0,0,0,18:11,Chiefs,AFC_West
,,,,,,15-2,385,326,,404,600,67.3,3780,26,6.3,6.34,91.2,41,266,450,1790,15,4.0,1091,5570,5.11,37,32,39,37,62,3027,219,106,25,350,111,229,12,17,94,829,3,11,14,528:52:00,Chiefs,AFC_West
