Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Travis Kelce,35.0,TE,16,16,133,97,823,47,482,5.0,341,3.5,6.4,3,32.3,6,4.5,4,83.6,PB
2.0,Xavier Worthy,21.0,WR,17,13,98,59,638,36,231,3.9,407,6.9,9.2,0,,7,7.1,2,91.3,
3.0,DeAndre Hopkins,32.0,WR,10,5,59,41,437,25,329,8.0,108,2.6,10.4,1,41.0,1,1.7,0,113.5,
4.0,Noah Gray,25.0,TE,17,10,49,40,437,25,227,5.7,210,5.3,6.2,0,,2,4.1,2,120.8,
5.0,Samaje Perine,29.0,RB,17,0,35,28,322,15,9,0.3,313,11.2,0.3,3,9.3,1,2.9,0,114.5,
6.0,Rashee Rice,24.0,WR,4,4,29,24,288,15,102,4.3,186,7.8,5.2,4,6.0,1,3.4,1,116.7,
7.0,Kareem Hunt,29.0,RB,13,8,32,23,176,10,-40,-1.7,216,9.4,-1.9,4,5.8,0,0.0,0,84.9,
8.0,Justin Watson,28.0,WR,17,7,32,22,289,13,221,10.0,68,3.1,15.1,0,,2,6.3,0,117.8,
9.0,JuJu Smith-Schuster,28.0,WR,14,8,26,18,231,11,76,4.2,155,8.6,5.6,4,4.5,2,7.7,1,106.4,
10.0,Mecole Hardman,26.0,WR,12,0,14,12,90,6,-9,-0.8,99,8.3,-1.0,0,,0,0.0,0,93.5,
11.0,Isiah Pacheco,25.0,RB,7,6,16,12,79,4,-40,-3.3,119,9.9,-1.4,1,12.0,1,6.3,0,85.2,
12.0,Marquise Brown,27.0,WR,2,1,15,9,91,5,45,5.0,46,5.1,8.2,0,,0,0.0,0,77.4,
13.0,Carson Steele,22.0,RB,17,3,11,7,26,0,-17,-2.4,43,6.1,-1.5,3,2.3,0,0.0,0,67.6,
14.0,Peyton Hendershot,25.0,TE,7,1,5,5,51,2,19,3.8,32,6.4,3.8,0,,0,0.0,0,109.2,
15.0,Nikko Remigio,25.0,WR,5,1,6,2,48,2,34,17.0,14,7.0,10.7,0,,1,16.7,0,63.2,
16.0,Mike Caliendo,27.0,OL,17,3,1,1,5,1,2,2.0,3,3.0,2.0,0,,0,0.0,0,87.5,
17.0,Jody Fortson,29.0,TE,3,0,3,1,5,1,3,3.0,2,2.0,1.3,0,,0,0.0,1,2.8,
18.0,Patrick Mahomes,29.0,QB,16,16,1,1,2,0,-1,-1.0,3,3.0,-1.0,0,,0,0.0,0,79.2,"AP MVP-6,AP OPoY-17"
19.0,Wanya Morris,24.0,LT,17,11,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7,
20.0,Jared Wiley,24.0,TE,7,2,1,1,7,0,4,4.0,3,3.0,4.0,0,,0,0.0,0,95.8,
21.0,Baylor Cupp,24.0,TE,1,0,1,0,0,0,0,,0,,0.0,0,,1,100.0,0,39.6,
22.0,Skyy Moore,24.0,WR,6,0,3,0,0,0,0,,0,,6.0,0,,2,66.7,0,39.6,
23.0,Justyn Ross,25.0,WR,2,0,1,0,0,0,0,,0,,10.0,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,572,404,4046,219,1678,4.2,2368,5.9,6.3,23,17.6,27,4.7,11,97.6,
