Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Kareem Hunt,29.0,RB,13,8,200,728,42,399,2.0,329,1.6,7,28.6,
2.0,Isiah Pacheco,25.0,RB,7,6,83,310,14,182,2.2,128,1.5,0,,
3.0,Patrick Mahomes,29.0,QB,16,16,58,307,22,240,4.1,67,1.2,0,,"AP MVP-6,AP OPoY-17"
4.0,Carson Steele,22.0,RB,17,3,56,183,14,87,1.6,96,1.7,2,28.0,
5.0,Samaje Perine,29.0,RB,17,0,20,92,7,54,2.7,38,1.9,0,,
6.0,Xavier Worthy,21.0,WR,17,13,20,104,4,71,3.6,33,1.7,1,20.0,
7.0,Mecole Hardman,26.0,WR,12,0,5,62,2,45,9.0,17,3.4,2,2.5,
8.0,Carson Wentz,32.0,QB,3,1,3,0,0,-1,-0.3,1,0.3,0,,
9.0,Noah Gray,25.0,TE,17,10,1,-4,0,-4,-4.0,0,0.0,0,,
10.0,Jaden Hicks,22.0,DB,17,1,1,1,0,0,0.0,1,1.0,0,,
11.0,Travis Kelce,35.0,TE,16,16,1,1,0,0,0.0,1,1.0,0,,PB
12.0,Chris Oladokun,27.0,QB,1,0,1,5,0,5,5.0,0,0.0,0,,
13.0,Rashee Rice,24.0,WR,4,4,1,1,1,0,0.0,1,1.0,0,,
,Team Totals,,,17,17,450,1790,106,1078,2.4,712,1.6,12,37.5,
