GameNum,Gtm,Week,Game_Date,Day,Opp,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/8/24,Sun,TAM,L,20,37,,17,24,70.8,161,0,6.7,6.71,89.1,2,23,30,138,3,4.6,56,299,5.34,2,0,2,2,3,139,7,12,3,22,2,8,1,1,7,51,0,0,0,26:19:00
2.0,2.0,2.0,9/15/24,Sun,NYG,W,21,18,,23,29,79.3,210,0,7.2,7.24,96.8,5,16,35,215,0,6.1,69,425,6.16,7,7,0,0,0,0,11,9,2,22,7,14,1,1,10,69,0,0,0,37:32:00
3.0,3.0,3.0,9/23/24,Mon,CIN,W,38,33,,21,23,91.3,248,2,10.8,12.52,140.6,2,6,32,108,3,3.4,57,356,6.25,1,1,5,5,0,0,13,8,1,22,5,9,3,3,3,28,0,0,0,33:06:00
4.0,4.0,4.0,9/29/24,Sun,ARI,W,42,14,,26,30,86.7,233,1,7.8,6.93,96.2,0,0,37,216,4,5.8,67,449,6.7,2,2,4,4,1,51,14,13,2,29,9,12,1,1,5,49,0,1,1,33:22:00
5.0,5.0,5.0,10/6/24,Sun,CLE,W,34,13,,15,28,53.6,219,1,7.8,6.93,76.3,3,17,34,215,3,6.3,65,434,6.68,2,2,4,4,4,192,8,10,1,19,8,17,2,2,5,31,1,1,2,31:18:00
6.0,6.0,6.0,10/13/24,Sun,BAL,L,23,30,,24,35,68.6,253,2,7.2,8.37,108.4,3,16,18,52,0,2.9,56,305,5.45,4,3,2,2,3,127,16,1,1,18,4,12,1,1,6,46,0,0,0,23:52
7.0,7.0,7.0,10/20/24,Sun,CAR,W,40,7,,20,25,80.0,207,2,8.3,9.88,127.8,1,4,37,214,1,5.8,63,421,6.68,4,4,4,4,1,40,12,10,4,26,5,10,0,0,8,55,0,0,0,35:05:00
8.0,8.0,8.0,10/27/24,Sun,CHI,W,18,15,,21,38,55.3,313,1,8.2,8.76,91.2,2,13,32,168,0,5.3,72,481,6.68,5,4,0,0,5,214,15,6,2,23,5,15,0,0,5,30,0,0,0,32:16:00
9.0,9.0,9.0,11/3/24,Sun,NYG,W,27,22,,15,22,68.2,209,2,9.5,11.32,128.8,0,0,38,149,1,3.9,60,358,5.97,2,2,3,3,2,109,8,11,2,21,5,12,2,2,5,52,0,0,0,28:00:00
10.0,10.0,10.0,11/10/24,Sun,PIT,L,27,28,,17,34,50.0,182,0,5.4,5.35,66.1,3,20,22,60,3,2.7,59,242,4.1,2,2,3,3,6,330,7,9,3,19,5,14,0,1,5,41,1,0,1,23:49
11.0,11.0,11.0,11/14/24,Thu,PHI,L,18,26,,22,32,68.8,171,1,5.3,4.56,79.0,3,20,28,93,1,3.3,63,264,4.19,1,1,1,1,5,221,10,6,2,18,3,12,1,2,4,25,0,1,1,26:56:00
12.0,12.0,12.0,11/24/24,Sun,DAL,L,26,34,,25,38,65.8,267,2,7.0,5.71,81.8,4,8,25,145,1,5.8,67,412,6.15,3,2,2,0,6,247,11,8,0,19,4,12,0,0,8,78,1,2,3,24:48:00
13.0,13.0,13.0,12/1/24,Sun,TEN,W,42,19,,25,30,83.3,196,3,6.5,7.03,113.3,2,10,45,267,3,5.9,77,463,6.01,2,0,6,6,1,52,12,13,4,29,9,14,1,1,7,65,0,1,1,40:13:00
14.0,14.0,15.0,12/15/24,Sun,NOR,W,20,19,,25,31,80.6,189,2,6.1,7.39,113.6,8,37,35,137,0,3.9,74,326,4.41,3,2,2,2,3,138,11,11,1,23,9,17,1,1,9,84,0,0,0,40:50:00
15.0,15.0,16.0,12/22/24,Sun,PHI,W,36,33,,24,39,61.5,255,5,6.5,6.79,98.8,1,3,24,113,0,4.7,64,368,5.75,0,0,4,4,2,92,13,7,3,23,7,13,2,3,6,93,3,2,5,23:42
16.0,16.0,17.0,12/29/24,Sun,ATL,W,30,24,OT,24,36,66.7,196,3,5.4,5.86,96.5,5,31,36,216,1,6.0,77,412,5.35,1,1,3,3,3,153,13,14,2,29,6,13,3,3,13,108,0,1,1,41:32:00
17.0,17.0,18.0,1/5/25,Sun,DAL,W,23,19,,21,31,67.7,156,2,5.0,6.32,101.0,6,43,18,113,1,6.3,55,269,4.89,1,1,2,2,5,238,11,6,1,18,6,13,1,1,5,55,1,0,1,22:57
,,,,,,5-Dec,485,391,,365,525,69.5,3665,29,7.0,7.31,100.4,50,267,526,2619,25,5.0,1101,6284,5.71,42,34,47,45,50,2343,192,154,34,380,99,217,20,23,111,960,7,9,16,525:37:00
