Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Bobby Wagner,34.0,MLB,17,17,0,38,25,65.8,215,8.6,5.7,1,89.3,4.0,30,185,41,3,5,0,2.0,11,132,8,5.7,"PB,AP-2,AP DPoY-17"
2.0,Jeremy Chinn,26.0,FS,17,17,1,53,39,73.6,459,11.8,8.7,7,131.2,9.6,292,167,22,1,1,0,2.0,4,117,7,5.6,
3.0,Frankie Luvu,28.0,RLB,17,17,1,30,22,73.3,129,5.9,4.3,1,78.3,3.0,34,95,123,4,5,4,8.0,18,99,6,5.7,AP-2
4.0,Mike Sainristil,24.0,RCB,17,16,2,96,58,60.4,740,12.8,7.7,6,96.7,11.2,505,235,4,0,0,0,0.0,0,93,7,7.0,AP DRoY-9
5.0,Quan Martin,24.0,SS,16,16,1,28,14,50.0,312,22.3,11.1,0,75.3,13.0,154,158,5,0,1,0,0.0,1,87,7,7.4,
6.0,Benjamin St-Juste,27.0,LCB,17,14,0,88,54,61.4,715,13.2,8.1,4,102.2,10.5,512,203,2,0,0,0,0.0,0,71,6,7.8,
7.0,Noah Igbinoghene,25.0,CB,17,10,0,71,40,56.3,397,9.9,5.6,3,86.4,7.8,163,234,4,0,0,0,0.0,0,55,7,11.3,
8.0,Percy Butler,24.0,S,17,5,0,17,12,70.6,128,10.7,7.5,2,131.5,7.2,81,47,1,0,1,0,0.0,1,47,3,6.0,
9.0,Jer'Zhan Newton,22.0,LDT,16,11,0,0,0,,0,,,0,,,0,0,0,2,5,1,2.0,9,44,1,2.2,
10.0,Daron Payne,27.0,RDT,17,17,0,2,2,100.0,-10,-5.0,-5.0,0,79.2,-6.5,-13,3,0,9,2,2,4.0,16,42,5,10.6,
11.0,Dorance Armstrong Jr.,27.0,RDE,16,15,0,3,3,100.0,20,6.7,6.7,0,94.4,1.7,5,15,0,10,8,1,5.0,24,39,6,13.3,
12.0,Dante Fowler,30.0,LLB,17,7,1,6,3,50.0,25,8.3,4.2,0,21.5,-0.2,-2,27,20,7,2,0,10.5,20,39,5,11.4,
13.0,Clelin Ferrell,27.0,LDE,14,10,0,2,2,100.0,16,8.0,8.0,0,100.0,-1.5,-3,19,1,3,5,0,3.5,12,26,1,3.7,
14.0,Sheldon Day,30.0,DT,12,0,0,0,0,,0,,,0,,,0,0,0,1,1,1,0.0,2,24,0,0.0,
15.0,Nick Bellore,35.0,LB,16,0,0,1,1,100.0,2,2.0,2.0,0,79.2,-2.0,-2,4,0,0,0,0,0.0,0,21,0,0.0,
16.0,Mykal Walker,27.0,OLB,17,0,0,4,4,100.0,44,11.0,11.0,0,112.5,3.0,12,32,2,0,0,0,0.0,0,21,1,4.5,
17.0,Jeremy Reaves,28.0,S,17,0,0,1,1,100.0,16,16.0,16.0,0,118.7,-2.0,-2,18,0,0,0,0,0.0,0,20,0,0.0,
18.0,Jonathan Allen,29.0,DT,8,7,0,0,0,,0,,,0,,,0,0,0,1,4,0,3.0,8,19,1,5.0,
19.0,Phidarian Mathis,26.0,DT,12,0,0,0,0,,0,,,0,,,0,0,0,1,0,1,0.0,1,17,0,0.0,
20.0,Michael Davis,29.0,CB,15,2,0,21,15,71.4,174,11.6,8.3,0,96.1,6.6,97,77,0,0,0,0,0.0,0,14,3,17.6,
21.0,Jalyn Holmes,28.0,DT,11,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,2.0,2,14,0,0.0,
22.0,Jamin Davis,26.0,DE,5,0,0,2,2,100.0,13,6.5,6.5,0,93.7,4.0,8,5,1,0,0,0,0.0,0,13,0,0.0,
23.0,Darrick Forrest,25.0,S,10,1,0,6,4,66.7,23,5.8,3.8,1,113.2,3.8,21,2,1,1,0,0,0.0,1,13,1,7.1,
24.0,Javontae Jean-Baptiste,24.0,DE,12,1,0,1,1,100.0,3,3.0,3.0,0,79.2,-1.0,-1,4,1,2,1,0,1.0,4,13,0,0.0,
25.0,Jeremy McNichols,29.0,RB,17,1,0,1,1,100.0,43,43.0,43.0,0,118.7,2.0,2,41,0,0,0,0,0.0,0,10,2,16.7,
26.0,Jordan Magee,23.0,LB,8,1,0,1,0,0.0,0,,0.0,0,39.6,-1.0,0,0,1,0,0,0,0.0,0,9,0,0.0,
27.0,Emmanuel Forbes,23.0,CB,6,1,1,8,6,75.0,75,12.5,9.4,0,64.1,13.4,58,17,0,0,0,0,0.0,0,7,3,30.0,
28.0,Marshon Lattimore,28.0,CB,2,2,0,10,5,50.0,68,13.6,6.8,1,105.4,12.6,60,8,0,0,0,0,0.0,0,4,0,0.0,
,Team Totals,,,17,17,7,496,307,64.1,3607,11.5,7.4,25,93.9,8.6,2011,0,229,45,41,10,43.0,134,1110,80,6.7,
