Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Terry McLaurin,29.0,WR,17,17,117,82,1096,56,804,9.8,292,3.6,13.4,2,41.0,4,3.4,1,133.0,"PB,AP-2"
2.0,Zach Ertz,34.0,TE,17,17,91,66,654,38,467,7.1,187,2.8,7.4,0,,4,4.4,2,109.0,AP CPoY-17
3.0,Olamide Zaccheaus,27.0,WR,17,6,64,45,506,26,222,4.9,284,6.3,6.3,7,6.4,5,7.8,0,109.2,
4.0,Noah Brown,28.0,WR,11,9,56,35,453,21,370,10.6,83,2.4,11.4,0,,4,7.1,1,86.4,
5.0,Austin Ekeler,29.0,RB,12,6,41,35,366,14,-58,-1.7,424,12.1,-1.4,4,8.8,2,4.9,0,103.9,AP-2
6.0,Dyami Brown,25.0,WR,16,3,40,30,308,13,90,3.0,218,7.3,7.1,4,7.5,2,5.0,0,105.0,
7.0,Brian Robinson Jr.,25.0,RB,14,13,25,20,159,4,-20,-1.0,179,9.0,-0.9,1,20.0,0,0.0,1,76.5,
8.0,Luke McCaffrey,23.0,WR,17,4,24,18,168,8,71,3.9,97,5.4,7.1,1,18.0,1,4.2,2,59.0,
9.0,Jamison Crowder,31.0,WR,6,1,13,9,72,4,61,6.8,11,1.2,8.3,0,,0,0.0,1,90.4,
10.0,Jeremy McNichols,29.0,RB,17,1,12,9,27,1,-6,-0.7,33,3.7,1.6,0,,0,0.0,0,77.1,
11.0,John Bates,27.0,TE,17,6,13,8,84,3,35,4.4,49,6.1,4.8,1,8.0,1,7.7,0,80.3,
12.0,Ben Sinnott,22.0,TE,17,2,5,5,28,2,9,1.8,19,3.8,1.8,0,,0,0.0,0,129.6,
13.0,Chris Rodriguez,24.0,RB,9,0,1,1,12,1,1,1.0,11,11.0,1.0,0,,0,0.0,0,116.7,
14.0,Trenton Scott,30.0,T,17,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7,
15.0,Brycen Tremayne,25.0,WR,2,0,1,1,-2,0,-2,-2.0,0,0.0,-2.0,0,,0,0.0,0,79.2,
,Team Totals,,,17,17,504,365,3932,192,2045,5.6,1887,5.2,7.6,20,18.3,23,4.6,8,107.5,
