Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Brian Robinson Jr.,25.0,RB,14,13,187,799,47,378,2.0,421,2.3,10,18.7,
2.0,Jayden Daniels,24.0,QB,17,17,148,891,55,653,4.4,238,1.6,9,16.4,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1"
3.0,Austin Ekeler,29.0,RB,12,6,77,367,19,231,3.0,136,1.8,3,25.7,AP-2
4.0,Jeremy McNichols,29.0,RB,17,1,55,261,15,97,1.8,164,3.0,7,7.9,
5.0,Chris Rodriguez,24.0,RB,9,0,35,173,10,62,1.8,111,3.2,1,35.0,
6.0,Marcus Mariota,31.0,QB,3,0,18,92,6,78,4.3,14,0.8,1,18.0,
7.0,Dyami Brown,25.0,WR,16,3,3,26,1,20,6.7,6,2.0,0,,
8.0,Terry McLaurin,29.0,WR,17,17,2,2,0,2,1.0,0,0.0,0,,"PB,AP-2"
9.0,Olamide Zaccheaus,27.0,WR,17,6,1,8,1,4,4.0,4,4.0,0,,
,Team Totals,,,17,17,526,2619,154,1525,2.9,1094,2.1,31,17.0,
