GameNum,Gtm,Week,Game_Date,Day,Opp,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/8/24,Sun,CLE,W,33,17,,19,32,59.4,163,1,5.1,5.72,83.2,3,16,25,102,1,4.1,60,265,4.42,4,4,3,3,6,294,8,7,0,15,4,14,0,0,11,85,0,0,0,29:06:00
2.0,2.0,2.0,9/15/24,Sun,NOR,L,19,44,,28,42,66.7,285,1,6.8,5.12,74.0,3,14,21,68,0,3.2,66,353,5.35,4,4,1,1,1,53,13,5,2,20,6,13,1,3,4,26,0,2,2,29:29:00
3.0,3.0,3.0,9/22/24,Sun,BAL,L,25,28,,28,51,54.9,361,2,7.1,7.86,90.4,3,18,16,51,1,3.2,70,412,5.89,2,2,1,1,4,209,18,2,6,26,7,13,0,1,6,44,1,0,1,25:15:00
4.0,4.0,4.0,9/26/24,Thu,NYG,W,20,15,,22,27,81.5,213,2,7.9,9.37,124.2,1,8,23,80,0,3.5,51,293,5.75,3,2,2,2,3,165,9,5,0,14,3,10,1,1,11,89,0,0,0,24:23:00
5.0,5.0,5.0,10/6/24,Sun,PIT,W,20,17,,29,42,69.0,336,2,8.0,6.81,89.0,2,16,31,109,0,3.5,75,445,5.93,3,2,2,2,1,45,14,9,2,25,9,15,1,1,11,87,1,2,3,32:29:00
6.0,6.0,6.0,10/13/24,Sun,DET,L,9,47,,25,44,56.8,198,0,4.5,1.43,39.8,4,26,17,53,0,3.1,65,251,3.86,3,3,0,0,2,93,10,2,4,16,3,13,1,4,4,30,2,3,5,25:17:00
7.0,7.0,8.0,10/27/24,Sun,SFO,L,24,30,,25,38,65.8,236,2,6.2,4.89,78.4,2,7,19,56,1,2.9,59,292,4.95,1,1,3,3,4,194,13,3,2,18,4,12,1,2,6,30,0,2,2,26:48:00
8.0,8.0,9.0,11/3/24,Sun,ATL,L,21,27,,31,50,62.0,241,2,4.8,5.62,87.2,3,7,21,137,0,6.5,74,378,5.11,2,2,1,1,3,139,13,9,1,23,3,13,1,5,9,55,0,0,0,30:40:00
9.0,9.0,10.0,11/10/24,Sun,PHI,L,6,34,,17,29,58.6,49,0,1.7,0.14,49.1,3,17,24,97,0,4.0,56,146,2.61,2,2,0,0,6,304,4,5,2,11,3,14,2,2,5,40,4,1,5,25:59:00
10.0,10.0,11.0,11/18/24,Mon,HOU,L,10,34,,33,56,58.9,324,1,5.8,5.34,73.8,5,34,18,64,0,3.6,79,388,4.91,2,1,1,1,2,82,17,3,4,24,5,15,0,4,9,66,1,1,2,29:23:00
11.0,11.0,12.0,11/24/24,Sun,WAS,W,34,26,,24,32,75.0,241,2,7.5,8.78,116.8,1,6,28,91,0,3.3,61,332,5.44,4,2,4,4,6,238,12,3,4,19,2,11,0,0,4,20,1,0,1,35:12:00
12.0,12.0,13.0,11/28/24,Thu,NYG,W,27,20,,21,36,58.3,195,1,5.4,5.97,82.5,0,0,32,122,1,3.8,68,317,4.66,2,2,3,3,5,236,10,7,4,21,7,15,0,1,6,48,0,0,0,31:36:00
13.0,13.0,14.0,12/9/24,Mon,CIN,L,20,27,,16,31,51.6,166,2,5.4,5.19,75.5,3,17,25,156,0,6.2,59,322,5.46,2,2,2,2,4,198,9,7,1,17,4,12,1,2,4,36,1,1,2,26:49:00
14.0,14.0,15.0,12/15/24,Sun,CAR,W,30,14,,18,29,62.1,199,3,6.9,8.93,116.9,1,15,40,211,0,5.3,70,410,5.86,4,3,3,3,2,113,11,12,1,24,6,12,0,0,14,99,1,0,1,33:46:00
15.0,15.0,16.0,12/22/24,Sun,TAM,W,26,24,,26,35,74.3,286,1,8.2,8.74,107.6,1,6,20,31,1,1.6,56,317,5.66,4,4,2,2,5,246,12,2,1,15,5,15,0,0,5,30,0,0,0,27:12:00
16.0,16.0,17.0,12/29/24,Sun,PHI,L,7,41,,16,29,55.2,141,1,4.9,2.45,51.1,1,7,30,127,0,4.2,60,268,4.47,1,0,1,1,4,198,7,8,1,16,6,14,0,0,8,69,2,2,4,27:11:00
17.0,17.0,18.0,1/5/25,Sun,WAS,L,19,23,,20,34,58.8,228,0,6.7,6.71,79.0,2,16,39,150,1,3.8,75,378,5.04,4,4,1,1,4,198,12,9,2,23,7,17,1,2,11,67,0,0,0,37:03:00
,,,,,,10-Jul,350,468,,398,637,62.5,3862,23,6.1,5.8,82.3,38,230,429,1705,6,4.0,1104,5567,5.04,47,40,30,30,62,3005,192,98,37,327,84,228,10,28,128,921,14,14,28,497:38:00
