Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,CeeDee Lamb,25.0,WR,15,15,152,101,1194,54,657,6.5,537,5.3,7.6,11,9.2,7,4.6,6,86.9,"PB,AP-2"
2.0,Jake Ferguson,25.0,TE,14,14,86,59,494,18,185,3.1,309,5.2,4.1,6,9.8,3,3.5,0,83.2,
3.0,Jalen Tolbert,25.0,WR,17,15,79,49,610,29,444,9.1,166,3.4,11.5,0,,3,3.8,2,104.9,
4.0,Rico Dowdle,26.0,RB,16,15,49,39,249,13,-23,-0.6,272,7.0,-0.1,3,13.0,2,4.1,0,108.2,
5.0,KaVontae Turpin,28.0,WR,17,2,52,31,420,18,160,5.2,260,8.4,8.5,2,15.5,2,3.8,2,82.2,"PB,AP-1"
6.0,Luke Schoonmaker,26.0,TE,17,6,36,27,241,11,144,5.3,97,3.6,5.5,0,,0,0.0,0,101.7,
7.0,Brandin Cooks,31.0,WR,10,9,54,26,259,19,204,7.8,55,2.1,11.7,0,,1,1.9,2,65.3,
8.0,Jalen Brooks,24.0,WR,14,1,30,12,177,8,140,11.7,37,3.1,13.5,1,12.0,1,3.3,2,43.3,
9.0,Ezekiel Elliott,29.0,RB,15,2,15,12,69,3,-28,-2.3,97,8.1,-1.8,1,12.0,0,0.0,0,85.8,
10.0,Hunter Luepke,24.0,RB,16,4,16,12,111,5,27,2.3,84,7.0,2.4,0,,0,0.0,0,93.5,
11.0,Ryan Flournoy,25.0,WR,11,1,14,10,102,5,68,6.8,34,3.4,8.2,0,,1,7.1,0,92.0,
12.0,Brevyn Spann-Ford,25.0,TE,17,0,14,9,88,6,35,3.9,53,5.9,5.9,0,,0,0.0,0,81.8,
13.0,Jonathan Mingo,23.0,WR,8,1,16,5,46,2,43,8.6,3,0.6,13.3,0,,0,0.0,0,40.6,
14.0,Deuce Vaughn,23.0,RB,7,0,5,3,18,0,5,1.7,13,4.3,0.0,1,3.0,0,0.0,0,67.1,
15.0,Dalvin Cook,29.0,RB,2,0,1,1,10,1,3,3.0,7,7.0,3.0,0,,0,0.0,0,108.3,
16.0,Tyler Smith,23.0,LG,16,16,1,1,0,0,-6,-6.0,6,6.0,-6.0,0,,0,0.0,0,79.2,PB
17.0,Juanyeh Thomas,24.0,S,13,0,1,1,4,0,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3,
18.0,C.J. Goodwin,34.0,CB,17,0,1,0,0,0,0,,0,,7.0,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,622,398,4092,192,2062,5.2,2030,5.1,7.3,25,15.9,20,3.2,14,85.8,
