Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Rico Dowdle,26.0,RB,16,15,235,1079,53,570,2.4,509,2.2,11,21.4,
2.0,Ezekiel Elliott,29.0,RB,15,2,74,226,14,115,1.6,111,1.5,2,37.0,
3.0,Cooper Rush,31.0,QB,12,8,26,18,5,7,0.3,11,0.4,0,,
4.0,Deuce Vaughn,23.0,RB,7,0,17,70,2,38,2.2,32,1.9,0,,
5.0,KaVontae Turpin,28.0,WR,17,2,16,92,6,53,3.3,39,2.4,2,8.0,"PB,AP-1"
6.0,CeeDee Lamb,25.0,WR,15,15,14,70,4,37,2.6,33,2.4,1,14.0,"PB,AP-2"
7.0,Dak Prescott,31.0,QB,8,8,13,54,5,48,3.7,6,0.5,0,,
8.0,Hunter Luepke,24.0,RB,16,4,12,38,6,13,1.1,25,2.1,1,12.0,
9.0,Trey Lance,24.0,QB,4,1,11,41,3,34,3.1,7,0.6,0,,
10.0,Dalvin Cook,29.0,RB,2,0,8,20,0,12,1.5,8,1.0,0,,
11.0,Brandin Cooks,31.0,WR,10,9,3,-3,0,-8,-2.7,5,1.7,0,,
,Team Totals,,,17,17,429,1705,98,919,2.1,786,1.8,17,25.2,
