Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Zack Baun,28.0,LLB,16,16,1,68,50,73.5,379,7.6,5.6,0,80.5,2.0,73,306,64,2,1,1,3.5,7,151,8,5.0,"PB,AP-1,AP DPoY-5"
2.0,Nakobe Dean,24.0,MLB,15,15,1,45,33,73.3,290,8.8,6.4,0,80.8,3.7,80,210,41,0,3,1,3.0,6,128,11,7.9,AP CPoY-17
3.0,Reed Blankenship,25.0,FS,15,15,4,40,28,70.0,336,12.0,8.4,2,72.5,8.3,216,120,0,0,0,0,0.0,0,78,13,14.3,
4.0,C.J. Gardner-Johnson,27.0,SS,16,16,6,37,23,62.2,312,13.6,8.4,8,89.0,8.4,176,136,1,1,1,0,0.0,2,59,6,9.2,AP CPoY-11
5.0,Cooper DeJean,21.0,DB,16,9,0,68,45,66.2,374,8.3,5.5,0,80.1,5.5,160,214,8,0,0,0,0.5,1,51,8,13.6,AP DRoY-4
6.0,Darius Slay,33.0,RCB,14,14,0,75,41,54.7,456,11.1,6.1,2,81.9,10.5,322,134,1,0,0,0,0.0,0,49,2,3.9,
7.0,Quinyon Mitchell,23.0,LCB,16,16,0,75,41,54.7,472,11.5,6.3,3,87.2,13.0,398,74,0,0,0,0,0.0,0,46,3,6.1,AP DRoY-2
8.0,Jalen Carter,23.0,LDT,16,15,0,2,2,100.0,-2,-1.0,-1.0,0,79.2,-5.0,-10,8,0,7,11,5,4.5,23,42,9,17.6,"PB,AP-2,AP DPoY-12"
9.0,Nolan Smith,23.0,LOLB,16,10,0,5,4,80.0,25,6.3,5.0,1,127.1,1.0,-1,26,15,4,4,2,6.5,15,42,1,2.3,
10.0,Oren Burks,29.0,LB,17,2,0,16,15,93.8,91,6.1,5.7,0,90.4,1.9,28,63,3,0,0,0,0.0,0,41,1,2.4,
11.0,Josh Sweat,27.0,RLB,16,15,0,2,1,50.0,13,13.0,6.5,0,70.8,5.0,6,7,10,2,6,2,8.0,16,41,1,2.4,
12.0,Tristin McCollum,25.0,S,14,2,0,16,9,56.3,88,9.8,5.5,1,92.7,9.4,44,44,0,0,0,0,0.0,0,33,4,10.8,
13.0,Jordan Davis,24.0,RDT,17,17,0,0,0,,0,,,0,,,0,0,0,0,0,2,1.0,1,27,3,10.0,
14.0,Isaiah Rodgers,26.0,CB,15,3,0,28,13,46.4,118,9.1,4.2,2,82.1,11.5,68,50,0,0,0,0,0.0,0,26,2,7.1,
15.0,Jeremiah Trotter Jr.,22.0,LB,17,1,0,7,5,71.4,23,4.6,3.3,0,75.3,0.6,-3,26,4,0,0,0,0.5,1,25,2,7.4,
16.0,Milton Williams,25.0,DT,17,7,0,0,0,,0,,,0,,,0,0,0,2,4,1,5.0,12,24,3,11.1,
17.0,Jalyx Hunt,23.0,OLB,16,1,0,0,0,,0,,,0,,,0,0,3,2,1,1,1.5,5,21,1,4.5,
18.0,Brandon Graham,36.0,DE,11,1,0,1,1,100.0,5,5.0,5.0,0,87.5,-3.0,-3,8,0,4,3,2,3.5,11,20,5,20.0,
19.0,Avonte Maddox,28.0,CB,17,3,0,28,15,53.6,126,8.4,4.5,1,77.4,5.9,40,86,1,0,0,1,0.0,0,20,1,4.8,
20.0,Moro Ojomo,23.0,DT,17,1,0,1,1,100.0,2,2.0,2.0,0,79.2,0.0,0,2,0,2,5,0,0.0,7,20,2,9.1,
21.0,Thomas Booker,25.0,DT,17,1,0,0,0,,0,,,0,,,0,0,0,0,0,0,1.0,2,18,0,0.0,
22.0,Kelee Ringo,22.0,CB,17,1,0,9,5,55.6,113,22.6,12.6,1,137.5,14.1,53,60,1,0,0,0,0.0,0,15,1,6.3,
23.0,Bryce Huff,26.0,DE,12,6,0,4,4,100.0,19,4.8,4.8,0,86.5,-0.5,-2,21,2,3,2,0,2.5,8,13,3,18.8,
24.0,Sydney Brown,24.0,S,11,0,1,1,0,0.0,0,,0.0,0,0.0,21.0,0,0,0,0,0,0,0.0,0,7,0,0.0,
25.0,Eli Ricks,23.0,CB,7,0,0,1,1,100.0,45,45.0,45.0,1,158.3,30.0,30,15,0,0,0,0,0.0,0,2,0,0.0,
,Team Totals,,,17,17,13,542,337,63.7,3285,9.7,6.2,22,82.5,7.4,1675,306,154,29,41,18,41.0,117,999,90,8.3,
