Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,DeVonta Smith,26.0,WR,13,13,89,68,833,42,534,7.9,299,4.4,9.1,0,,2,2.2,3,120.7,
2.0,A.J. Brown,27.0,WR,13,13,97,67,1079,51,726,10.8,353,5.3,12.1,9,7.4,0,0.0,2,121.5,AP-2
3.0,Dallas Goedert,29.0,TE,10,10,52,42,496,20,239,5.7,257,6.1,6.8,2,21.0,1,1.9,1,111.2,
4.0,Saquon Barkley,27.0,RB,16,16,43,33,278,12,33,1.0,245,7.4,1.9,6,5.5,2,4.7,0,108.5,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
5.0,Grant Calcaterra,26.0,TE,17,13,30,24,298,15,172,7.2,126,5.3,7.3,0,,0,0.0,0,119.2,
6.0,Jahan Dotson,24.0,WR,17,6,33,19,216,12,144,7.6,72,3.8,9.9,0,,0,0.0,0,77.3,
7.0,Kenneth Gainwell,25.0,RB,17,1,22,16,116,5,8,0.5,108,6.8,1.0,4,4.0,0,0.0,0,84.7,
8.0,Britain Covey,27.0,WR,5,1,8,7,34,2,6,0.9,28,4.0,1.1,0,,1,12.5,0,84.4,
9.0,Ainias Smith,23.0,WR,7,1,9,7,41,1,18,2.6,23,3.3,1.3,0,,0,0.0,0,122.7,
10.0,Parris Campbell,27.0,WR,5,0,8,6,30,1,21,3.5,9,1.5,4.3,0,,0,0.0,0,119.8,
11.0,Johnny Wilson,23.0,WR,16,4,15,5,38,3,23,4.6,15,3.0,9.8,0,,1,6.7,0,64.6,
12.0,Will Shipley,22.0,RB,16,1,4,4,35,2,7,1.8,28,7.0,1.8,0,,0,0.0,0,103.1,
13.0,Jack Stoll,26.0,TE,7,2,3,2,10,0,8,4.0,2,1.0,4.0,0,,0,0.0,0,71.5,
14.0,E.J. Jenkins,26.0,TE,8,0,2,1,7,1,4,4.0,3,3.0,4.5,0,,0,0.0,0,97.9,
15.0,John Ross,29.0,WR,1,0,2,1,6,1,4,4.0,2,2.0,23.5,0,,0,0.0,0,56.2,
16.0,Ben VanSumeren,24.0,LB,11,1,1,1,0,0,0,0.0,0,0.0,0.0,0,,0,0.0,0,79.2,
,Team Totals,,,17,17,418,303,3517,168,1947,6.4,1570,5.2,7.8,21,14.4,7,1.7,6,110.7,
