Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Saquon Barkley,27.0,RB,16,16,345,2005,82,1328,3.8,677,2.0,19,18.2,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
2.0,Jalen Hurts,26.0,QB,15,15,150,630,62,449,3.0,181,1.2,11,13.6,
3.0,Kenneth Gainwell,25.0,RB,17,1,75,290,12,162,2.2,128,1.7,3,25.0,
4.0,Will Shipley,22.0,RB,16,1,30,82,2,44,1.5,38,1.3,0,,
5.0,Kenny Pickett,26.0,QB,5,1,9,15,3,11,1.2,4,0.4,0,,
6.0,Tanner McKee,24.0,QB,2,1,5,-1,1,-3,-0.6,2,0.4,0,,
7.0,Tyrion Davis-Price,24.0,RB,1,0,3,7,0,3,1.0,4,1.3,0,,
8.0,Ainias Smith,23.0,WR,7,1,2,6,1,4,2.0,2,1.0,0,,
9.0,Jahan Dotson,24.0,WR,17,6,1,13,1,13,13.0,0,0.0,0,,
10.0,DeVonta Smith,26.0,WR,13,13,1,1,0,0,0.0,1,1.0,0,,
,Team Totals,,,17,17,621,3048,164,2011,3.2,1037,1.7,33,18.8,
