GameNum,Gtm,Week,Game_Date,Day,Opp,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/8/24,Sun,MIN,L,6,28,,22,42,52.4,166,0,4.0,1.81,42.4,5,20,21,74,0,3.5,68,240,3.53,2,2,0,0,6,277,8,5,1,14,7,18,1,3,9,95,0,2,2,32:26:00
2.0,2.0,2.0,9/15/24,Sun,WAS,L,18,21,,16,28,57.1,175,2,6.3,7.68,99.6,1,3,22,129,1,5.9,51,304,5.96,0,0,1,0,2,87,11,5,2,18,4,8,1,2,5,20,1,0,1,22:28
3.0,3.0,3.0,9/22/24,Sun,CLE,W,21,15,,24,35,68.6,228,2,6.5,7.66,105.4,2,8,32,112,1,3.5,69,340,4.93,1,0,3,3,7,361,13,7,1,21,4,14,1,1,9,68,2,0,2,33:56:00
4.0,4.0,4.0,9/26/24,Thu,DAL,L,15,20,,29,40,72.5,277,0,6.9,5.8,80.9,1,4,24,26,0,1.1,65,303,4.66,5,5,0,0,1,44,12,4,0,16,5,16,3,4,4,35,0,1,1,35:37:00
5.0,5.0,5.0,10/6/24,Sun,SEA,W,29,20,,23,34,67.6,245,2,7.2,8.38,108.1,3,12,34,175,0,5.1,71,420,5.92,3,3,2,2,4,186,14,8,2,24,7,16,0,1,2,20,1,0,1,37:22:00
6.0,6.0,6.0,10/13/24,Sun,CIN,L,7,17,,22,41,53.7,190,0,4.6,3.54,55.9,2,15,31,119,1,3.8,74,309,4.18,2,0,1,1,4,187,10,11,3,24,5,15,3,5,2,9,0,1,1,34:07:00
7.0,7.0,7.0,10/20/24,Sun,PHI,L,3,28,,17,29,58.6,43,0,1.5,1.48,63.4,8,62,18,76,0,4.2,55,119,2.16,1,1,0,0,11,517,6,4,0,10,3,14,0,0,5,35,0,0,0,24:40:00
8.0,8.0,8.0,10/28/24,Mon,PIT,L,18,26,,24,38,63.2,237,0,6.2,5.05,69.7,4,27,25,157,1,6.3,67,394,5.88,4,4,0,0,4,192,10,6,1,17,5,15,1,1,11,65,1,1,2,30:42:00
9.0,9.0,9.0,11/3/24,Sun,WAS,L,22,27,,20,26,76.9,162,2,6.2,7.77,117.8,2,12,31,164,1,5.3,59,326,5.53,1,1,1,1,2,92,10,12,3,25,6,11,2,2,4,51,1,0,1,32:00:00
10.0,10.0,10.0,11/10/24,Sun,CAR,L,17,20,OT,22,37,59.5,175,0,4.7,2.3,48.8,2,15,34,167,2,4.9,73,342,4.68,2,1,2,2,5,204,12,11,1,24,7,15,0,0,3,15,1,2,3,34:29:00
11.0,11.0,12.0,11/24/24,Sun,TAM,L,7,30,,22,32,68.8,169,0,5.3,5.28,81.4,4,23,20,76,1,3.8,56,245,4.38,0,0,1,1,4,168,11,5,1,17,5,11,0,2,4,42,1,0,1,26:01:00
12.0,12.0,13.0,11/28/24,Thu,DAL,L,20,27,,21,32,65.6,131,0,4.1,2.69,60.8,6,47,21,116,2,5.5,59,247,4.19,2,2,2,2,5,228,8,7,2,17,3,12,1,1,13,98,1,1,2,28:24:00
13.0,13.0,14.0,12/8/24,Sun,NOR,L,11,14,,21,49,42.9,213,0,4.3,3.43,47.4,2,14,23,112,1,4.9,74,325,4.39,2,1,0,0,8,299,12,4,0,16,5,19,2,4,12,112,0,1,1,28:11:00
14.0,14.0,15.0,12/15/24,Sun,BAL,L,14,35,,22,37,59.5,181,1,4.9,4.22,69.8,3,10,20,55,1,2.8,60,236,3.93,0,0,2,2,3,118,8,3,8,19,2,12,3,5,6,44,0,1,1,31:02:00
15.0,15.0,16.0,12/22/24,Sun,ATL,L,7,34,,22,39,56.4,189,1,4.8,3.05,56.5,3,21,13,45,0,3.5,55,234,4.25,0,0,1,1,5,210,11,3,0,14,3,9,0,1,10,85,1,2,3,25:32:00
16.0,16.0,17.0,12/29/24,Sun,IND,W,45,33,,17,23,73.9,309,4,13.4,16.91,155.3,0,0,30,80,1,2.7,53,389,7.34,1,1,6,6,3,146,10,3,2,15,7,13,0,1,7,94,0,0,0,26:37:00
17.0,17.0,18.0,1/5/25,Sun,PHI,L,13,20,,22,29,75.9,138,1,4.8,3.9,82.3,0,0,25,100,0,4.0,54,238,4.41,2,2,1,1,3,120,4,6,0,10,4,14,2,4,6,40,0,1,1,30:12:00
,,,,,,14-Mar,273,415,,366,591,61.9,3228,15,5.5,4.98,75.7,48,293,424,1783,13,4.2,1063,5011,4.71,28,23,23,22,77,3436,170,104,27,301,82,232,20,37,112,928,10,13,23,513:46:00
