Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Tyrone Tracy Jr.,25.0,RB,17,12,192,839,39,511,2.7,328,1.7,6,32.0,
2.0,Devin Singletary,27.0,RB,15,5,113,437,24,206,1.8,231,2.0,10,11.3,
3.0,Daniel Jones,27.0,QB,10,10,67,265,26,186,2.8,79,1.2,5,13.4,
4.0,Drew Lock,28.0,QB,8,5,18,133,9,103,5.7,30,1.7,0,,
5.0,Eric Gray,25.0,RB,17,0,14,31,1,17,1.2,14,1.0,0,,
6.0,Tommy DeVito,26.0,QB,3,2,8,32,1,28,3.5,4,0.5,0,,
7.0,Malik Nabers,21.0,WR,15,13,5,2,1,-4,-0.8,6,1.2,0,,"PB,AP ORoY-5"
8.0,Wan'Dale Robinson,23.0,WR,17,7,3,18,1,3,1.0,15,5.0,0,,
9.0,Darius Slayton,27.0,WR,16,13,2,17,1,12,6.0,5,2.5,0,,
10.0,Dane Belton,24.0,S,17,6,1,10,1,10,10.0,0,0.0,0,,
11.0,Tim Boyle,30.0,QB,1,0,1,-1,0,-1,-1.0,0,0.0,0,,
,Team Totals,,,17,17,424,1783,104,1071,2.5,712,1.7,21,20.2,
