Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,D.J. Moore,27.0,WR,17,17,140,98,966,43,378,3.9,588,6.0,7.5,5,19.6,3,2.1,3,94.5,
2.0,Keenan Allen,32.0,WR,15,15,121,70,744,43,504,7.2,240,3.4,9.0,1,70.0,6,5.0,0,95.2,
3.0,Rome Odunze,22.0,WR,17,12,101,54,734,37,481,8.9,253,4.7,13.9,4,13.5,6,5.9,1,82.7,
4.0,Cole Kmet,25.0,TE,17,16,55,47,474,25,293,6.2,181,3.9,7.1,1,47.0,1,1.8,1,119.2,
5.0,D'Andre Swift,25.0,RB,17,17,52,42,386,12,-19,-0.5,405,9.6,0.0,2,21.0,3,5.8,1,89.6,
6.0,Roschon Johnson,23.0,RB,14,0,20,16,104,6,8,0.5,96,6.0,0.6,4,4.0,0,0.0,0,88.3,
7.0,DeAndre Carter,31.0,WR,13,0,14,9,72,3,40,4.4,32,3.6,11.1,2,4.5,0,0.0,1,47.3,
8.0,Gerald Everett,30.0,TE,17,4,13,8,36,1,-5,-0.6,41,5.1,2.8,2,4.0,1,7.7,0,65.9,
9.0,Travis Homer,26.0,RB,10,0,3,3,11,0,1,0.3,10,3.3,0.3,0,,0,0.0,0,81.9,
10.0,Khalil Herbert,26.0,RB,6,0,2,2,4,0,-2,-1.0,6,3.0,-1.0,0,,0,0.0,0,79.2,
11.0,Collin Johnson,27.0,WR,9,0,2,1,6,1,3,3.0,3,3.0,8.0,0,,0,0.0,0,56.2,
12.0,Velus Jones Jr.,27.0,WR,1,0,1,1,8,0,-5,-5.0,13,13.0,-5.0,0,,0,0.0,0,100.0,
13.0,Marcedes Lewis,40.0,TE,17,4,2,1,2,1,1,1.0,1,1.0,7.0,0,,0,0.0,0,56.2,
14.0,Tyler Scott,23.0,WR,11,0,1,1,5,0,-2,-2.0,7,7.0,-2.0,0,,0,0.0,0,87.5,
,Team Totals,,,17,17,527,353,3552,172,1676,4.7,1876,5.3,7.9,21,16.8,20,3.8,7,93.1,
