GameNum,Gtm,Week,Game_Date,Day,Opp,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/8/24,Sun,LAR,W,26,20,OT,18,28,64.3,200,1,7.1,6.25,82.4,2,17,31,163,2,5.3,61,363,5.95,2,2,2,2,4,230,7,12,2,21,6,13,1,1,6,56,0,1,1,29:45:00
2.0,2.0,2.0,9/15/24,Sun,TAM,L,16,20,,35,56,62.5,324,0,5.8,4.18,63.4,0,0,27,139,1,5.1,83,463,5.58,3,3,1,1,2,67,16,7,3,26,7,17,3,5,4,71,0,2,2,33:53:00
3.0,3.0,3.0,9/22/24,Sun,ARI,W,20,13,,18,23,78.3,186,2,8.1,7.87,111.2,2,13,43,187,1,4.3,68,373,5.49,0,0,3,2,5,247,11,12,0,23,6,12,0,1,9,79,0,1,1,36:49:00
4.0,4.0,4.0,9/30/24,Mon,SEA,W,42,29,,19,19,100.0,273,3,14.4,17.53,158.3,3,26,28,116,3,4.1,50,389,7.78,0,0,6,6,3,140,12,8,1,21,3,6,0,0,12,101,0,0,0,25:56:00
5.0,5.0,6.0,10/13/24,Sun,DAL,W,47,9,,19,27,70.4,308,3,11.4,13.63,145.3,3,26,36,184,2,5.1,66,492,7.45,4,4,5,5,0,0,14,12,1,27,4,10,1,2,8,63,0,0,0,34:43:00
6.0,6.0,7.0,10/20/24,Sun,MIN,W,31,29,,22,25,88.0,247,2,9.9,11.48,134.5,4,33,27,144,2,5.3,56,391,6.98,1,1,4,4,4,219,15,3,1,19,4,10,0,1,8,49,1,0,1,29:03:00
7.0,7.0,8.0,10/27/24,Sun,TEN,W,52,14,,15,19,78.9,61,4,3.2,7.42,119.6,4,33,24,164,2,6.8,47,225,4.79,1,1,7,7,5,305,9,5,3,17,3,9,0,0,3,29,0,0,0,24:23:00
8.0,8.0,9.0,11/3/24,Sun,GNB,W,24,14,,18,22,81.8,137,1,6.2,7.14,107.8,1,8,32,124,1,3.9,55,261,4.75,1,1,3,3,4,199,8,8,1,17,4,12,2,2,5,51,0,0,0,31:11:00
9.0,9.0,10.0,11/10/24,Sun,HOU,W,26,23,,15,30,50.0,240,2,8.0,1.83,59.7,0,0,32,105,1,3.3,62,345,5.56,2,2,2,2,4,188,11,7,1,19,7,12,0,0,4,61,0,5,5,27:32:00
10.0,10.0,11.0,11/17/24,Sun,JAX,W,52,6,,27,33,81.8,449,4,13.6,16.03,158.3,0,0,43,196,3,4.6,76,645,8.49,1,1,7,7,0,0,22,14,2,38,6,10,3,3,4,46,0,0,0,39:06:00
11.0,11.0,12.0,11/24/24,Sun,IND,W,24,6,,26,36,72.2,253,0,7.0,7.03,91.6,3,16,33,137,3,4.2,72,390,5.42,1,1,3,3,4,192,15,10,1,26,9,15,0,1,5,45,0,0,0,37:01:00
12.0,12.0,13.0,11/28/24,Thu,CHI,W,23,20,,21,34,61.8,211,2,6.2,7.38,99.0,2,10,33,194,0,5.9,69,405,5.87,4,3,2,2,2,100,12,10,3,25,5,14,1,1,6,79,1,0,1,35:14:00
13.0,13.0,14.0,12/5/24,Thu,GNB,W,34,31,,32,41,78.0,280,3,6.8,7.2,109.3,1,3,34,111,1,3.3,76,391,5.14,2,2,4,4,2,92,18,7,2,27,7,15,4,5,7,56,0,1,1,36:06:00
14.0,14.0,15.0,12/15/24,Sun,BUF,L,42,48,,38,59,64.4,473,5,8.0,9.71,117.4,3,21,15,48,1,3.2,77,521,6.77,1,0,6,6,3,167,27,3,0,30,6,13,3,3,5,41,1,0,1,27:18:00
15.0,15.0,16.0,12/22/24,Sun,CHI,W,34,17,,23,32,71.9,329,3,10.3,12.16,136.1,1,7,32,146,1,4.6,65,475,7.31,3,2,4,4,1,47,15,10,2,27,7,12,0,1,7,55,0,0,0,31:29:00
16.0,16.0,17.0,12/30/24,Mon,SFO,W,40,34,,26,34,76.5,287,3,8.4,10.21,130.4,2,16,33,152,2,4.6,69,439,6.36,2,2,4,2,0,0,16,7,0,23,9,14,2,3,6,57,0,0,0,34:52:00
17.0,17.0,18.0,1/5/25,Sun,MIN,W,31,9,,27,33,81.8,216,1,6.5,4.42,78.8,2,15,31,178,3,5.7,66,394,5.97,1,1,4,4,2,102,14,9,1,24,5,12,2,4,8,49,0,2,2,36:12:00
,,,,,,15-2,564,342,,399,551,72.4,4474,39,8.1,8.56,110.8,33,244,534,2488,29,4.7,1118,6962,6.23,29,26,67,64,45,2295,242,144,24,410,98,206,22,33,107,988,3,12,15,550:33:00
