Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Amon-Ra St. Brown,25.0,WR,17,17,141,115,1263,73,851,7.4,412,3.6,7.7,3,38.3,4,2.8,1,129.4,"PB,AP-1,AP OPoY-11"
2.0,Sam LaPorta,23.0,TE,16,16,83,60,726,39,383,6.4,343,5.7,7.0,3,20.0,1,1.2,2,116.8,
3.0,Jameson Williams,23.0,WR,15,11,91,58,1001,41,504,8.7,497,8.6,11.2,2,29.0,3,3.3,3,112.9,AP CPoY-19
4.0,Jahmyr Gibbs,22.0,RB,17,4,63,52,517,25,-76,-1.5,593,11.4,-0.2,4,13.0,2,3.2,1,115.4,"PB,AP OPoY-8"
5.0,David Montgomery,27.0,RB,14,14,38,36,341,16,-24,-0.7,365,10.1,-0.5,11,3.3,0,0.0,0,104.1,
6.0,Tim Patrick,31.0,WR,16,9,44,33,394,20,253,7.7,141,4.3,10.0,2,16.5,1,2.3,2,105.7,AP CPoY-6
7.0,Kalif Raymond,30.0,WR,12,2,22,17,215,10,78,4.6,137,8.1,8.0,0,,0,0.0,0,137.5,AP-2
8.0,Brock Wright,26.0,TE,17,8,16,13,100,7,25,1.9,75,5.8,5.1,1,13.0,0,0.0,1,106.2,
9.0,Craig Reynolds,28.0,RB,17,0,5,3,40,2,-2,-0.7,42,14.0,-2.0,0,,0,0.0,1,45.8,
10.0,Allen Robinson,31.0,WR,12,0,7,3,30,3,26,8.7,4,1.3,7.3,0,,1,14.3,0,55.7,
11.0,Sione Vaki,23.0,RB,16,0,3,3,37,2,17,5.7,20,6.7,5.7,0,,0,0.0,0,118.1,
12.0,Isaiah Williams,23.0,WR,2,0,3,2,6,0,-1,-0.5,7,3.5,5.0,2,1.0,0,0.0,0,70.1,
13.0,Jared Goff,30.0,QB,17,17,1,1,7,1,5,5.0,2,2.0,5.0,0,,0,0.0,0,135.4,"PB,AP MVP-5,AP OPoY-9"
14.0,Jermar Jefferson,24.0,RB,2,0,1,1,10,1,0,0.0,10,10.0,0.0,0,,0,0.0,0,108.3,
15.0,Dan Skipper,30.0,T,17,5,1,1,9,1,1,1.0,8,8.0,1.0,0,,0,0.0,0,143.7,
16.0,Shane Zylstra,28.0,TE,12,1,1,1,22,1,9,9.0,13,13.0,9.0,0,,0,0.0,0,118.7,
17.0,Taylor Decker,31.0,LT,14,14,1,0,0,0,0,,0,,2.0,0,,0,0.0,0,39.6,PB
18.0,Tom Kennedy,28.0,WR,4,0,1,0,0,0,0,,0,,11.0,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,522,399,4718,242,2049,5.1,2669,6.7,6.6,28,14.3,12,2.3,11,119.6,
