Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Jahmyr Gibbs,22.0,RB,17,4,250,1412,70,813,3.3,599,2.4,21,11.9,"PB,AP OPoY-8"
2.0,David Montgomery,27.0,RB,14,14,185,775,50,347,1.9,428,2.3,19,9.7,
3.0,Jared Goff,30.0,QB,17,17,35,56,9,52,1.5,4,0.1,0,,"PB,AP MVP-5,AP OPoY-9"
4.0,Craig Reynolds,28.0,RB,17,0,31,139,6,91,2.9,48,1.5,1,31.0,
5.0,Jameson Williams,23.0,WR,15,11,11,61,5,40,3.6,21,1.9,1,11.0,AP CPoY-19
6.0,Jermar Jefferson,24.0,RB,2,0,6,22,1,9,1.5,13,2.2,0,,
7.0,Sione Vaki,23.0,RB,16,0,6,14,0,8,1.3,6,1.0,0,,
8.0,Hendon Hooker,26.0,QB,3,0,5,2,1,2,0.4,0,0.0,0,,
9.0,Kalif Raymond,30.0,WR,12,2,2,0,1,-3,-1.5,3,1.5,0,,AP-2
10.0,Amon-Ra St. Brown,25.0,WR,17,17,2,6,1,4,2.0,2,1.0,0,,"PB,AP-1,AP OPoY-11"
11.0,Jalen Reeves-Maybin,29.0,LB,10,0,1,1,0,1,1.0,0,0.0,0,,
,Team Totals,,,17,17,534,2488,144,1364,2.6,1124,2.1,42,12.7,
