Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Jayden Reed,24.0,WR,17,10,75,55,857,29,477,8.7,380,6.9,9.1,3,18.3,9,12.0,0,137.5,
2.0,Tucker Kraft,24.0,TE,17,17,70,50,707,30,251,5.0,456,9.1,5.3,9,5.6,5,7.1,1,131.1,
3.0,Romeo Doubs,24.0,WR,13,12,72,46,601,33,466,10.1,135,2.9,12.3,4,11.5,7,9.7,2,97.0,
4.0,Dontayvion Wicks,23.0,WR,17,5,76,39,415,25,276,7.1,139,3.6,10.7,3,13.0,9,11.8,2,78.6,
5.0,Josh Jacobs,26.0,RB,17,17,43,36,342,15,-61,-1.7,403,11.2,-1.0,13,2.8,0,0.0,1,97.9,"PB,AP OPoY-11"
6.0,Christian Watson,25.0,WR,15,15,53,29,620,21,471,16.2,149,5.1,17.8,0,,2,3.8,2,93.3,
7.0,Chris Brooks,24.0,RB,15,0,13,11,69,2,-26,-2.4,95,8.6,-1.7,1,11.0,1,7.7,0,88.8,
8.0,Emanuel Wilson,25.0,RB,17,0,14,11,48,3,-51,-4.6,99,9.0,-4.5,1,11.0,0,0.0,0,104.8,
9.0,Malik Heath,24.0,WR,13,1,13,10,97,5,74,7.4,23,2.3,6.5,0,,0,0.0,0,136.9,
10.0,Bo Melton,25.0,WR,17,0,17,8,91,5,84,10.5,7,0.9,17.8,0,,0,0.0,1,39.1,
11.0,Luke Musgrave,24.0,TE,7,3,10,7,45,2,27,3.9,18,2.6,6.6,0,,0,0.0,1,39.6,
12.0,Ben Sims,24.0,TE,17,5,5,4,42,1,26,6.5,16,4.0,8.0,0,,0,0.0,0,101.7,
13.0,John FitzPatrick,24.0,TE,9,0,1,1,2,0,2,2.0,0,0.0,2.0,0,,0,0.0,0,79.2,
14.0,MarShawn Lloyd,23.0,RB,1,0,1,1,3,0,-5,-5.0,8,8.0,-5.0,0,,0,0.0,0,79.2,
15.0,Andrew Beck,28.0,FB,3,0,1,0,0,0,0,,0,,-6.0,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,464,308,3939,171,2011,6.5,1928,6.3,8.7,34,9.1,33,7.1,10,103.9,
