Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Justin Jefferson,25.0,WR,17,17,154,103,1533,62,1046,10.2,487,4.7,10.9,5,20.6,5,3.2,5,107.4,"PB,AP-1,AP OPoY-7"
2.0,Jordan Addison,22.0,WR,15,15,99,63,875,39,662,10.5,213,3.4,13.0,3,21.0,2,2.0,2,113.8,
3.0,Aaron Jones,30.0,RB,17,17,62,51,408,20,-3,-0.1,411,8.1,0.9,1,51.0,2,3.2,1,98.1,
4.0,T.J. Hockenson,27.0,TE,10,9,62,41,455,30,310,7.6,145,3.5,8.4,1,41.0,2,3.2,2,74.3,AP CPoY-19
5.0,Jalen Nailor,25.0,WR,17,7,42,28,414,22,308,11.0,106,3.8,11.5,0,,4,9.5,0,138.3,
6.0,Josh Oliver,27.0,TE,15,12,28,22,258,14,129,5.9,129,5.9,7.8,0,,2,7.1,0,140.8,
7.0,Johnny Mundt,30.0,TE,17,3,27,19,142,8,59,3.1,83,4.4,4.1,2,9.5,2,7.4,0,107.3,
8.0,Cam Akers,25.0,RB,12,0,11,10,52,3,-20,-2.0,72,7.2,-2.1,0,,0,0.0,0,125.9,AP CPoY-19
9.0,Trent Sherfield,28.0,WR,17,1,9,8,83,4,43,5.4,40,5.0,6.0,0,,0,0.0,1,102.5,
10.0,Brandon Powell,29.0,WR,17,1,10,7,71,5,59,8.4,12,1.7,10.1,0,,0,0.0,0,90.0,
11.0,Ty Chandler,26.0,RB,17,0,6,6,42,2,-11,-1.8,53,8.8,-1.8,0,,0,0.0,0,95.8,
12.0,C.J. Ham,31.0,FB,17,3,6,5,35,1,6,1.2,29,5.8,0.2,0,,0,0.0,0,91.0,
13.0,Myles Gaskin,27.0,RB,5,0,1,1,11,0,-2,-2.0,13,13.0,-2.0,0,,0,0.0,0,112.5,
,Team Totals,,,17,17,517,364,4379,210,2586,7.1,1793,4.9,8.6,12,30.3,19,3.7,11,109.7,
