Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Mike Evans,31.0,WR,14,14,110,74,1004,53,778,10.5,226,3.1,11.6,2,37.0,4,3.6,5,110.6,PB
2.0,Cade Otton,25.0,TE,14,14,87,59,600,31,289,4.9,311,5.3,5.5,6,9.8,8,9.2,3,88.3,
3.0,Rachaad White,25.0,RB,16,15,57,51,393,18,-123,-2.4,516,10.1,-1.9,3,17.0,0,0.0,0,130.5,
4.0,Chris Godwin,28.0,WR,7,7,62,50,576,33,226,4.5,350,7.0,5.7,4,12.5,2,3.2,1,125.5,
5.0,Bucky Irving,22.0,RB,17,3,52,47,392,16,-136,-2.9,528,11.2,-2.7,6,7.8,1,1.9,0,98.1,AP ORoY-6
6.0,Jalen McMillan,23.0,WR,13,12,58,37,461,23,328,8.9,133,3.6,12.2,1,37.0,4,6.9,6,88.4,
7.0,Sterling Shepard,31.0,WR,14,5,51,32,334,16,235,7.3,99,3.1,9.3,1,32.0,4,7.8,0,88.2,
8.0,Ryan Miller,24.0,WR,11,3,20,12,128,7,73,6.1,55,4.6,8.8,0,,2,10.0,1,91.2,
9.0,Trey Palmer,23.0,WR,15,3,22,12,172,7,130,10.8,42,3.5,14.5,0,,1,4.5,0,95.3,
10.0,Payne Durham,24.0,TE,16,6,14,11,115,5,91,8.3,24,2.2,8.9,0,,0,0.0,0,140.5,
11.0,Rakim Jarrett,23.0,WR,10,2,11,9,124,5,106,11.8,18,2.0,11.5,0,,0,0.0,0,113.6,
12.0,Sean Tucker,23.0,RB,17,0,12,9,109,6,4,0.4,105,11.7,0.6,1,9.0,0,0.0,0,130.2,
13.0,Devin Culp,24.0,TE,5,0,6,5,88,4,57,11.4,31,6.2,12.2,0,,0,0.0,0,118.7,
14.0,Kameron Johnson,22.0,WR,5,0,1,0,0,0,0,,0,,3.0,0,,1,100.0,0,39.6,
15.0,Tristan Wirfs,25.0,LT,16,16,0,0,9,0,0,,9,,,0,,0,,0,,"PB,AP-1"
,Team Totals,,,17,17,563,408,4505,224,2058,5.0,2447,6.0,6.9,24,17.0,27,4.8,16,108.2,
