Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Kaden Elliss,29.0,RILB,17,17,1,60,48,80.0,457,9.5,7.6,1,97.0,4.7,192,265,60,6,11,0,5.0,22,151,7,4.4,
2.0,Jessie Bates III,27.0,SS,17,17,4,51,36,70.6,345,9.6,6.8,5,89.1,7.5,190,155,10,2,1,0,1.0,4,102,8,7.3,
3.0,DeAundre Alford,27.0,CB,16,11,0,93,67,72.0,606,9.0,6.5,8,117.9,7.7,428,178,13,1,0,0,1.0,2,83,16,16.2,
4.0,Nathan Landman,26.0,LB,13,9,0,25,21,84.0,277,13.2,11.1,3,152.4,2.7,54,223,13,2,0,1,0.0,2,81,7,8.0,
5.0,Mike Hughes,27.0,RCB,15,15,0,66,46,69.7,483,10.5,7.3,3,105.8,10.3,311,172,3,1,0,0,0.0,1,66,7,9.6,
6.0,AJ Terrell,26.0,LCB,17,17,2,81,53,65.4,587,11.1,7.2,4,93.0,9.2,351,236,1,0,0,0,0.0,0,66,13,16.5,
7.0,Justin Simmons,31.0,FS,16,16,2,37,22,59.5,229,10.4,6.2,3,81.9,9.6,149,80,12,1,0,0,0.0,1,62,7,10.1,
8.0,Grady Jarrett,31.0,LDE,17,17,0,1,1,100.0,8,8.0,8.0,0,100.0,4.0,4,4,0,7,8,0,2.5,18,53,6,10.2,
9.0,Troy Andersen,25.0,LB,7,4,1,20,14,70.0,106,7.6,5.3,0,61.7,1.3,14,92,16,0,1,0,0.0,1,47,5,9.6,
10.0,David Onyemata,32.0,RDE,17,16,0,1,1,100.0,-2,-2.0,-2.0,0,79.2,-8.0,-8,6,0,6,2,1,3.0,11,45,3,6.3,
11.0,Matt Judon,32.0,ROLB,17,15,1,11,7,63.6,89,12.7,8.1,1,81.2,7.0,45,44,28,3,3,3,5.5,12,41,6,12.8,
12.0,Arnold Ebiketie,25.0,OLB,17,2,0,6,5,83.3,22,4.4,3.7,0,81.9,1.2,10,12,22,12,6,2,6.0,24,38,3,7.3,
13.0,Clark Phillips,23.0,CB,16,2,1,43,32,74.4,308,9.6,7.2,3,107.5,8.1,185,123,0,0,0,0,0.0,0,35,6,14.6,
14.0,Lorenzo Carter,29.0,LOLB,13,11,0,13,13,100.0,115,8.8,8.8,0,103.5,0.6,8,107,9,1,2,0,0.0,3,32,7,17.9,
15.0,Zach Harrison,23.0,DL,17,1,0,0,0,,0,,,0,,,0,0,0,5,0,1,1.0,6,26,1,3.7,
16.0,James Smith-Williams,27.0,DL,10,5,0,6,5,83.3,8,1.6,1.3,0,79.2,-2.0,-14,22,8,0,1,0,1.0,2,24,0,0.0,
17.0,JD Bertrand,24.0,LB,12,0,0,10,9,90.0,103,11.4,10.3,0,109.6,2.8,25,78,6,1,0,0,1.0,2,23,1,4.2,
18.0,Eddie Goldman,30.0,NT,17,10,0,0,0,,0,,,0,,,0,0,0,0,2,0,1.0,3,16,3,15.8,
19.0,DeAngelo Malone,25.0,OLB,17,0,0,3,2,66.7,9,4.5,3.0,0,70.1,1.7,5,4,3,2,1,0,2.0,5,16,1,5.9,
20.0,Kentavius Street,28.0,DL,13,0,0,0,0,,0,,,0,,,0,0,0,2,0,0,1.0,3,15,0,0.0,
21.0,Richie Grant,27.0,S,17,1,0,12,6,50.0,74,12.3,6.2,1,97.2,9.0,17,57,5,2,0,0,0.0,2,14,2,12.5,
22.0,Ta'Quon Graham,26.0,DL,10,0,0,0,0,,0,,,0,,,0,0,0,1,1,0,0.0,2,12,2,14.3,
23.0,Demone Harris,29.0,DL,9,0,0,3,1,33.3,9,9.0,3.0,0,42.4,9.3,-4,13,0,1,1,0,0.0,2,11,0,0.0,
24.0,Ruke Orhorhoro,23.0,DT,8,0,0,0,0,,0,,,0,,,0,0,0,1,1,0,0.0,2,11,0,0.0,
25.0,Kevin King,29.0,CB,15,1,0,11,9,81.8,110,12.2,10.0,0,108.3,10.7,58,52,2,0,0,0,0.0,0,10,2,16.7,
26.0,Antonio Hamilton,31.0,CB,11,0,0,3,3,100.0,48,16.0,16.0,2,158.3,13.7,41,7,3,0,0,0,0.0,0,7,1,12.5,
27.0,Natrone Brooks,25.0,CB,9,0,0,6,4,66.7,32,8.0,5.3,0,79.9,2.8,13,19,2,0,1,0,0.0,1,5,0,0.0,
28.0,Khalid Kareem,26.0,OLB,2,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,4,0,0.0,
29.0,Drew Dalman,26.0,C,9,9,0,1,0,0.0,0,,0.0,0,39.6,14.0,0,0,0,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,12,578,404,71.9,4023,9.9,7.1,34,100.2,7.2,2074,178,216,58,42,8,31.0,132,1096,114,9.4,
