Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Drake London,23.0,WR,17,17,158,100,1271,67,944,9.4,327,3.3,10.9,6,16.7,5,3.2,8,86.2,
2.0,Darnell Mooney,27.0,WR,16,16,106,64,992,48,717,11.2,275,4.3,12.2,6,10.7,6,5.7,2,99.3,
3.0,Ray-Ray McCloud,28.0,WR,17,13,87,62,686,29,351,5.7,335,5.4,6.8,1,62.0,3,3.4,3,83.8,
4.0,Bijan Robinson,22.0,RB,17,17,72,61,431,20,-100,-1.6,531,8.7,-0.5,5,12.2,3,4.2,0,96.2,PB
5.0,Kyle Pitts,24.0,TE,17,15,74,47,602,21,330,7.0,272,5.8,8.6,4,11.8,4,5.4,4,84.4,
6.0,Tyler Allgeier,24.0,RB,17,0,13,13,88,2,-5,-0.4,93,7.2,-0.4,2,6.5,0,0.0,0,94.9,
7.0,KhaDarel Hodge,29.0,WR,17,2,12,7,131,6,42,6.0,89,12.7,10.8,0,,1,8.3,0,124.0,PB
8.0,Charlie Woerner,27.0,TE,16,5,12,7,46,3,25,3.6,21,3.0,2.9,0,,1,8.3,1,31.9,
9.0,Chris Blair,27.0,WR,4,0,2,1,17,1,17,17.0,0,0.0,18.5,0,,0,0.0,1,39.6,
10.0,Ross Dwelley,29.0,TE,17,0,1,1,5,0,1,1.0,4,4.0,1.0,0,,0,0.0,0,87.5,
11.0,Casey Washington,23.0,WR,8,0,2,1,14,1,3,3.0,11,11.0,18.0,0,,0,0.0,0,72.9,
,Team Totals,,,17,17,539,364,4283,198,2325,6.4,1958,5.4,8.2,24,15.2,23,4.3,19,89.8,
