Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Xavier Legette,23.0,WR,16,13,84,49,497,27,385,7.9,112,2.3,12.3,2,24.5,7,8.3,1,86.3,
2.0,Adam Thielen,34.0,WR,10,10,62,48,615,28,463,9.6,152,3.2,11.0,1,48.0,2,3.2,4,107.9,
3.0,Chuba Hubbard,25.0,RB,15,15,54,43,171,10,-74,-1.7,245,5.7,-1.2,7,6.1,2,3.7,0,86.0,
4.0,Ja'Tavion Sanders,21.0,TE,16,8,43,33,342,13,152,4.6,190,5.8,6.2,1,33.0,2,4.7,0,106.9,
5.0,Jalen Coker,23.0,WR,11,4,46,32,478,23,307,9.6,171,5.3,11.3,2,16.0,0,0.0,1,108.8,
6.0,David Moore,29.0,WR,17,5,57,32,351,18,291,9.1,60,1.9,10.8,1,32.0,4,7.0,0,92.1,
7.0,Diontae Johnson,28.0,WR,7,7,58,30,357,20,271,9.0,86,2.9,9.8,1,30.0,2,3.4,5,52.2,
8.0,Miles Sanders,27.0,RB,11,2,30,24,148,5,-2,-0.1,150,6.3,1.4,1,24.0,0,0.0,1,84.4,
9.0,Tommy Tremble,24.0,TE,12,11,32,23,234,12,109,4.7,125,5.4,5.7,1,23.0,1,3.1,1,100.3,
10.0,Jonathan Mingo,23.0,WR,9,5,26,12,121,4,57,4.8,64,5.3,8.7,1,12.0,2,7.7,1,43.9,
11.0,Deven Thompkins,25.0,WR,7,0,4,4,20,2,-8,-2.0,28,7.0,-2.0,0,,0,0.0,0,87.5,
12.0,Jonathon Brooks,21.0,RB,3,1,3,3,23,2,-8,-2.7,31,10.3,-2.7,0,,0,0.0,0,98.6,
13.0,Dan Chisena,27.0,WR,6,0,4,3,37,2,28,9.3,9,3.0,7.5,0,,0,0.0,0,103.1,
14.0,Ian Thomas,28.0,TE,5,2,6,3,7,1,1,0.3,6,2.0,4.2,0,,1,16.7,1,16.7,
15.0,Mike Boone,29.0,RB,6,0,3,1,-2,0,-4,-4.0,2,2.0,-4.7,0,,1,33.3,0,42.4,
16.0,Feleipe Franks,27.0,TE,16,0,3,1,12,1,12,12.0,0,0.0,16.3,0,,0,0.0,0,46.5,
17.0,Sam Franklin,28.0,S,10,0,1,0,0,0,0,,0,,11.0,0,,0,0.0,0,39.6,
18.0,Jordan Matthews,32.0,TE,4,1,1,0,0,0,0,,0,,16.0,0,,0,0.0,0,39.6,
19.0,Stephen Sullivan,28.0,TE,1,0,1,0,0,0,0,,0,,16.0,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,518,341,3411,168,1980,5.8,1431,4.2,8.1,18,18.9,24,4.6,15,86.5,
