GameNum,Gtm,Week,Game_Date,Day,Opponent,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/8/24,Sun,CAR,W,47,10,,19,24,79.2,199,3,8.3,10.79,140.8,1,1,37,180,2,4.9,62,379,6.11,4,4,5,5,2,73,7,13,2,22,7,13,0,0,10,95,1,0,1,36:39:00
2.0,2.0,2.0,9/15/24,Sun,DAL,W,44,19,,11,16,68.8,242,2,15.1,14.81,125.0,1,1,39,190,4,4.9,56,432,7.71,1,1,6,5,1,49,8,15,1,24,5,8,0,0,5,40,0,1,1,30:31:00
3.0,3.0,3.0,9/22/24,Sun,PHI,L,12,15,,14,25,56.0,130,1,5.2,4.2,67.1,1,12,29,89,0,3.1,55,219,3.98,2,2,0,0,4,162,7,5,0,12,6,13,0,1,3,25,0,1,1,27:45:00
4.0,4.0,4.0,9/29/24,Sun,ATL,L,24,26,,28,36,77.8,235,0,6.5,5.28,82.3,1,4,33,131,3,4.0,70,366,5.23,1,1,3,3,3,120,11,12,2,25,7,13,1,2,6,60,1,1,2,35:42:00
5.0,5.0,5.0,10/7/24,Mon,KAN,L,13,26,,20,35,57.1,174,2,5.0,4.83,77.6,1,8,15,46,0,3.1,51,220,4.31,0,0,2,1,4,199,11,1,2,14,4,10,0,2,5,70,0,1,1,20:04
6.0,6.0,6.0,10/13/24,Sun,TAM,L,27,51,,22,40,55.0,222,1,5.6,3.8,58.5,5,21,21,81,1,3.9,66,303,4.59,2,2,3,3,6,266,13,3,3,19,4,13,1,1,7,70,1,2,3,25:58:00
7.0,7.0,7.0,10/17/24,Thu,DEN,L,10,33,,28,39,71.8,174,1,4.5,4.97,89.0,6,36,21,97,0,4.6,66,271,4.11,1,1,1,1,6,267,7,6,2,15,5,17,3,4,5,35,2,0,2,26:44:00
8.0,8.0,8.0,10/27/24,Sun,LAC,L,8,26,,22,42,52.4,249,0,5.9,5.93,70.4,5,32,21,117,0,5.6,68,366,5.38,3,2,0,0,9,437,9,4,2,15,2,16,1,1,7,66,0,0,0,28:52:00
9.0,9.0,9.0,11/3/24,Sun,CAR,L,22,23,,18,32,56.3,230,1,7.2,7.81,89.3,1,6,41,197,1,4.8,74,427,5.77,3,3,1,1,4,169,12,11,2,25,5,15,2,3,10,109,0,0,0,34:19:00
10.0,10.0,10.0,11/10/24,Sun,ATL,W,20,17,,16,25,64.0,269,2,10.8,12.36,126.9,0,0,27,96,0,3.6,52,365,7.02,2,2,2,2,5,224,8,5,1,14,5,13,0,1,8,76,0,0,0,24:53:00
11.0,11.0,11.0,11/17/24,Sun,CLE,W,35,14,,22,29,75.9,259,2,8.9,8.76,111.1,1,7,28,214,3,7.6,58,473,8.16,0,0,5,5,3,110,11,8,0,19,5,10,1,1,5,41,1,1,2,30:38:00
12.0,12.0,13.0,12/1/24,Sun,LAR,L,14,21,,24,37,64.9,184,1,5.0,5.51,85.9,0,0,31,143,0,4.6,68,327,4.81,3,2,0,0,3,128,11,7,1,19,5,15,2,3,4,38,0,0,0,32:37:00
13.0,13.0,14.0,12/8/24,Sun,NYG,W,14,11,,20,31,64.5,200,1,6.5,5.65,80.0,2,19,33,92,1,2.8,66,292,4.42,2,0,2,2,7,292,10,7,1,18,5,15,0,1,6,40,0,1,1,31:49:00
14.0,14.0,15.0,12/15/24,Sun,WAS,L,19,20,,15,32,46.9,176,2,5.5,5.34,71.9,3,29,16,69,0,4.3,51,245,4.8,2,2,1,1,4,187,11,3,3,17,3,11,1,1,4,36,0,1,1,19:10
15.0,15.0,16.0,12/23/24,Mon,GNB,L,0,34,,15,30,50.0,129,0,4.3,2.8,47.8,3,24,20,67,0,3.4,53,196,3.7,0,0,0,0,4,159,9,3,2,14,4,11,0,2,7,40,1,1,2,22:47
16.0,16.0,17.0,12/29/24,Sun,LVR,L,10,25,,20,36,55.6,188,1,5.2,3.28,56.2,4,30,13,81,0,6.2,53,269,5.08,1,1,1,1,7,330,8,4,1,13,1,10,1,1,10,85,0,2,2,22:10
17.0,17.0,18.0,1/5/25,Sun,TAM,L,19,27,,26,42,61.9,228,1,5.4,5.9,84.2,2,12,19,64,0,3.4,63,292,4.63,4,4,1,1,3,131,14,4,1,19,3,13,2,3,8,77,0,0,0,27:44:00
,,,,,,12-May,338,398,,340,551,61.7,3488,21,6.3,6.11,83.5,37,242,444,1954,15,4.4,1032,5442,5.27,31,27,33,31,75,3303,167,111,26,304,76,216,15,27,110,1003,7,12,19,478:22:00
