Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Demario Davis,35.0,MLB,16,16,1,55,37,67.3,378,10.2,6.9,0,79.2,4.3,140,238,38,1,2,0,2.0,5,136,11,7.5,
2.0,Pete Werner,25.0,LLB,13,13,0,48,38,79.2,306,8.1,6.4,0,93.2,3.5,99,207,22,2,0,0,0.0,2,92,7,7.1,
3.0,Alontae Taylor,26.0,LCB,17,15,0,103,64,62.1,852,13.3,8.3,7,111.0,9.8,480,372,15,1,1,0,4.0,7,89,20,18.3,
4.0,Will Harris,29.0,SS,13,13,1,44,29,65.9,336,11.6,7.6,0,79.4,6.9,131,205,20,0,0,0,0.0,0,74,9,10.8,
5.0,Ugo Amadi,27.0,S,11,5,0,71,46,64.8,469,10.2,6.6,3,97.7,7.9,279,190,24,1,0,1,2.0,3,65,5,7.1,
6.0,Tyrann Mathieu,32.0,FS,17,17,3,36,22,61.1,422,19.2,11.7,1,76.4,13.3,255,167,8,2,0,0,0.0,2,62,15,19.5,
7.0,Carl Granderson,28.0,RDE,17,17,0,2,1,50.0,-5,-5.0,-2.5,0,56.2,4.0,-7,2,1,18,7,3,5.5,32,61,9,12.9,
8.0,Paulson Adebo,25.0,CB,7,7,3,65,39,60.0,529,13.6,8.1,1,71.9,11.2,299,230,1,0,1,0,0.0,1,52,4,7.1,
9.0,Jordan Howden,24.0,DB,17,4,2,16,13,81.3,170,13.1,10.6,1,92.2,8.6,111,59,4,0,0,0,0.0,0,50,2,3.8,
10.0,Khalen Saunders,28.0,LDT,13,10,1,2,2,100.0,5,2.5,2.5,0,39.6,1.5,3,2,1,2,3,1,2.0,7,43,2,4.4,
11.0,Kool-Aid McKinstry,22.0,RCB,15,9,0,62,34,54.8,454,13.4,7.3,2,89.0,12.0,286,168,2,0,0,0,0.0,0,42,7,14.3,
12.0,Nathan Shepherd,31.0,RDT,16,13,0,0,0,,0,,,0,,,0,0,0,4,3,0,1.5,9,37,2,5.1,
13.0,Cameron Jordan,35.0,LDE,17,17,1,2,2,100.0,2,1.0,1.0,0,39.6,-2.0,-4,6,0,4,4,3,4.0,12,34,0,0.0,
14.0,Chase Young,25.0,DE,17,0,0,2,2,100.0,14,7.0,7.0,0,95.8,-5.0,-10,24,1,14,13,3,5.5,34,31,3,8.8,
15.0,Marshon Lattimore,28.0,CB,7,7,0,22,12,54.5,114,9.5,5.2,0,69.1,9.0,31,83,3,1,0,0,0.0,1,30,0,0.0,
16.0,Anfernee Orji,24.0,LB,16,2,0,10,9,90.0,66,7.3,6.6,0,94.2,1.3,14,52,3,0,0,0,0.0,0,30,6,16.7,
17.0,Willie Gay Jr.,26.0,RLB,15,8,0,10,5,50.0,74,14.8,7.4,1,107.9,2.0,-12,86,14,1,0,0,2.0,3,28,3,9.7,
18.0,Bryan Bresee,23.0,DT,17,11,0,0,0,,0,,,0,,,0,0,0,4,7,3,7.5,19,25,5,16.7,
19.0,J.T. Gray,28.0,DB,17,0,0,1,1,100.0,36,36.0,36.0,1,158.3,2.0,2,34,1,0,0,0,0.0,0,25,2,7.4,AP-2
20.0,Payton Turner,25.0,DE,16,0,0,0,0,,0,,,0,,,0,0,0,6,1,1,2.0,9,21,4,16.0,
21.0,Johnathan Abram,28.0,S,3,0,1,7,4,57.1,55,13.8,7.9,1,82.4,5.1,10,45,4,0,0,0,0.0,0,18,3,14.3,
22.0,Isaiah Foskey,24.0,DE,17,0,0,0,0,,0,,,0,,,0,0,4,0,0,0,0.0,0,16,0,0.0,
23.0,John Ridgeway,25.0,DT,13,0,0,0,0,,0,,,0,,,0,0,0,2,0,1,0.0,2,15,5,25.0,
24.0,D'Marco Jackson,26.0,LB,10,0,0,3,2,66.7,15,7.5,5.0,0,78.5,4.3,8,7,2,0,0,0,0.0,0,14,2,12.5,
25.0,Shemar Jean-Charles,26.0,DB,9,2,1,12,7,58.3,109,15.6,9.1,1,81.6,17.9,99,10,0,0,0,0,0.0,0,14,1,6.7,
26.0,Rico Payton,25.0,CB,16,0,0,2,0,0.0,0,,0.0,0,39.6,23.0,0,0,0,0,0,0,0.0,0,11,0,0.0,
27.0,Nephi Sewell,26.0,LB,7,1,0,0,0,,0,,,0,,,0,0,3,0,0,0,1.0,1,11,0,0.0,
28.0,Jaylan Ford,23.0,LB,8,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,4,0,0.0,
29.0,Tanoh Kpassagnon,30.0,DE,3,0,0,1,1,100.0,11,11.0,11.0,0,112.5,-6.0,-6,17,0,0,1,0,0.0,1,1,2,66.7,
30.0,Khaleke Hudson,27.0,LB,1,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,0,0,,
31.0,Kendre Miller,22.0,RB,6,2,0,1,0,0.0,0,,0.0,0,39.6,0.0,0,0,0,0,0,0,0.0,0,0,0,,
32.0,Roderic Teamer,27.0,S,2,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,14,591,366,64.1,4412,11.9,7.6,19,84.8,8.5,2208,45,174,63,43,16,39.0,150,1131,129,10.2,
