Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Fred Warner,28.0,MLB,17,17,2,58,46,79.3,389,8.5,6.7,3,97.5,4.3,147,242,32,3,1,0,1.0,5,131,17,11.5,"PB,AP-1"
2.0,Deommodore Lenoir,25.0,RLB,15,15,2,87,54,62.1,488,9.0,5.6,1,71.4,7.9,204,284,15,0,0,0,0.0,0,85,10,10.5,
3.0,De'Vondre Campbell,31.0,LLB,13,12,0,46,38,82.6,311,8.2,6.8,1,102.1,1.3,44,267,15,0,1,1,0.0,1,79,8,9.2,
4.0,Ji'Ayir Brown,24.0,FS,17,13,1,49,28,57.1,304,10.9,6.2,2,80.7,10.6,184,120,8,0,0,0,0.0,0,77,7,8.3,
5.0,Malik Mustapha,22.0,SS,16,12,1,20,7,35.0,83,11.9,4.2,1,44.4,12.2,44,39,7,1,0,0,0.0,1,72,8,10.0,AP DRoY-14
6.0,Renardo Green,24.0,CB,17,7,1,70,42,60.0,466,11.1,6.7,3,88.2,9.8,297,169,0,0,0,0,0.0,0,61,4,6.2,
7.0,Charvarius Ward,28.0,LCB,12,12,0,52,32,61.5,389,12.2,7.5,5,116.6,10.5,294,95,0,0,0,0,0.0,0,54,2,3.6,
8.0,Nick Bosa,27.0,LDE,14,14,1,5,5,100.0,16,3.2,3.2,0,40.4,-2.0,-10,26,0,12,15,0,9.0,37,52,9,14.8,PB
9.0,Isaac Yiadom,28.0,CB,17,5,1,41,24,58.5,312,13.0,7.6,2,88.7,10.9,221,91,0,0,0,0,0.0,0,46,3,6.1,
10.0,Dee Winters,24.0,RLB,15,10,0,27,20,74.1,174,8.7,6.4,0,90.7,2.9,63,111,15,0,0,0,0.0,0,44,6,12.0,
11.0,Leonard Floyd,32.0,RDE,17,17,0,2,2,100.0,13,6.5,6.5,0,93.7,0.5,1,12,3,5,6,1,8.5,21,42,6,12.5,
12.0,Talanoa Hufanga,25.0,S,7,7,0,13,12,92.3,162,13.5,12.5,0,118.6,7.2,82,80,2,0,0,0,0.0,0,38,5,11.6,
13.0,Sam Okuayinonu,26.0,DL,16,3,0,8,7,87.5,35,5.0,4.4,0,84.9,-2.6,-15,50,1,2,4,0,3.0,9,35,3,7.9,
14.0,Maliek Collins,29.0,LDT,17,17,0,2,2,100.0,16,8.0,8.0,0,100.0,-0.5,-1,17,0,7,7,0,5.0,20,33,3,8.3,
15.0,Evan Anderson,22.0,DL,12,1,0,0,0,,0,,,0,,,0,0,0,0,2,0,1.0,3,24,2,7.7,
16.0,Jordan Elliott,27.0,RDT,15,13,0,1,1,100.0,4,4.0,4.0,0,83.3,-2.0,-2,6,0,0,2,0,0.0,2,19,0,0.0,
17.0,Yetur Gross-Matos,26.0,DL,11,0,0,1,1,100.0,2,2.0,2.0,0,79.2,-7.0,-7,9,0,3,3,0,4.0,10,19,5,20.8,
18.0,Robert Beal,25.0,DL,14,0,0,1,1,100.0,13,13.0,13.0,0,118.7,-4.0,-4,17,0,0,0,0,0.0,0,17,1,5.6,
19.0,Demetrius Flannigan-Fowles,28.0,LB,12,3,1,6,6,100.0,94,15.7,15.7,0,79.2,2.3,14,80,7,0,0,0,0.0,0,17,4,19.0,
20.0,George Odum,31.0,S,12,2,0,11,7,63.6,211,30.1,19.2,2,146.8,17.7,129,82,0,0,0,0,0.0,0,16,1,5.9,
21.0,Kalia Davis,26.0,DL,13,0,1,1,0,0.0,2,,2.0,0,0.0,2.0,2,0,0,0,0,1,0.0,0,12,0,0.0,
22.0,Kevin Givens,27.0,DL,8,1,0,0,0,,0,,,0,,,0,0,0,1,2,0,3.5,7,11,1,8.3,
23.0,Nick McCloud,26.0,CB,8,0,0,8,8,100.0,83,10.4,10.4,2,149.5,0.0,0,83,1,0,0,0,0.0,0,11,0,0.0,
24.0,Dre Greenlaw,27.0,LB,2,2,0,3,2,66.7,24,12.0,8.0,0,91.0,-1.0,-3,27,1,0,0,0,0.0,0,9,0,0.0,AP CPoY-19
25.0,Jalen Graham,23.0,LB,8,0,0,1,1,100.0,5,5.0,5.0,0,87.5,5.0,5,0,3,0,0,0,0.0,0,8,0,0.0,
26.0,Tatum Bethune,23.0,LB,11,1,0,1,0,0.0,0,,0.0,0,39.6,32.0,0,0,1,0,0,0,0.0,0,7,0,0.0,
27.0,Javon Hargrave,31.0,DL,3,3,0,0,0,,0,,,0,,,0,0,0,2,0,0,1.0,3,7,0,0.0,
28.0,Tashaun Gipson,34.0,S,9,0,0,2,1,50.0,14,14.0,7.0,0,72.9,6.5,13,1,0,0,0,0,0.0,0,6,0,0.0,
29.0,Khalil Davis,28.0,DT,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,3,1,25.0,
30.0,Rock Ya-Sin,28.0,CB,13,0,0,3,1,33.3,3,3.0,1.0,1,81.9,8.7,3,0,0,0,0,0,0.0,0,3,0,0.0,
31.0,Alex Barrett,30.0,DL,3,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,2,1,33.3,
,Team Totals,,,17,17,11,516,338,67.1,3613,10.4,7.0,25,92.0,7.4,1705,0,112,37,43,3,36.0,120,1040,107,9.3,
