Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,George Kittle,31.0,TE,15,15,94,78,1106,50,584,7.5,522,6.7,8.1,4,19.5,2,2.1,2,135.2,"PB,AP-2,AP OPoY-11"
2.0,Jauan Jennings,27.0,WR,15,10,113,77,975,47,737,9.6,238,3.1,9.9,5,15.4,5,4.4,3,101.5,
3.0,Deebo Samuel,28.0,WR,15,15,81,51,670,28,249,4.9,421,8.3,6.6,8,6.4,6,7.4,1,96.2,
4.0,Ricky Pearsall,24.0,WR,11,4,46,31,400,19,286,9.2,114,3.7,11.4,1,31.0,0,0.0,3,89.0,
5.0,Brandon Aiyuk,26.0,WR,7,7,47,25,374,19,267,10.7,107,4.3,11.9,2,12.5,4,8.5,2,61.8,
6.0,Kyle Juszczyk,33.0,FB,17,15,31,19,200,8,107,5.6,93,4.9,6.0,0,,1,3.2,1,88.1,"PB,AP-2"
7.0,Isaac Guerendo,24.0,RB,16,3,16,15,152,7,45,3.0,107,7.1,3.1,1,15.0,0,0.0,0,106.2,
8.0,Christian McCaffrey,28.0,RB,4,4,19,15,146,6,48,3.2,98,6.5,3.2,1,15.0,0,0.0,1,76.8,
9.0,Jordan Mason,25.0,RB,12,6,14,11,91,5,32,2.9,59,5.4,3.7,1,11.0,0,0.0,0,93.7,
10.0,Eric Saubert,30.0,TE,17,3,14,11,97,5,62,5.6,35,3.2,5.2,0,,1,7.1,0,119.3,
11.0,Chris Conley,32.0,WR,15,2,12,6,76,3,57,9.5,19,3.2,17.4,0,,0,0.0,1,35.4,
12.0,Jacob Cowing,23.0,WR,15,0,6,4,80,3,54,13.5,26,6.5,12.7,0,,0,0.0,1,70.1,
13.0,Patrick Taylor,26.0,RB,13,1,11,3,25,2,6,2.0,19,6.3,3.1,0,,2,18.2,0,39.6,
14.0,Ronnie Bell,24.0,WR,9,0,6,2,22,2,20,10.0,2,1.0,10.8,0,,2,33.3,1,5.6,
15.0,Trent Taylor,30.0,WR,2,0,1,1,11,0,9,9.0,2,2.0,9.0,0,,0,0.0,0,112.5,
16.0,Jake Brendel,32.0,C,17,17,0,0,2,0,0,,2,,,0,,0,,0,,
17.0,Dominick Puni,24.0,RG,17,17,0,0,-3,0,0,,-3,,,0,,0,,0,,
18.0,Brayden Willis,25.0,TE,10,0,2,0,0,0,0,,0,,5.5,0,,1,50.0,0,39.6,
,Team Totals,,,17,17,513,349,4424,204,2563,7.3,1861,5.3,8.4,23,15.2,24,4.7,16,96.7,
