Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Christian Rozeboom,27.0,RLB,17,11,1,56,45,80.4,476,10.6,8.5,2,106.5,3.6,121,355,21,0,0,0,1.0,1,135,13,8.8,
2.0,Quentin Lake,25.0,SS,17,16,0,63,41,65.1,458,11.2,7.3,4,107.8,9.1,298,160,13,4,1,1,2.0,7,111,10,8.3,
3.0,Kamren Curl,25.0,FS,16,16,0,45,25,55.6,369,14.8,8.2,4,112.2,10.4,222,147,22,3,0,1,1.0,4,79,10,11.2,
4.0,Omar Speights,23.0,LILB,17,10,0,30,25,83.3,207,8.3,6.9,0,95.4,2.8,63,144,5,0,0,0,0.0,0,67,3,4.3,
5.0,Jared Verse,24.0,ROLB,17,16,0,5,5,100.0,21,4.2,4.2,1,123.7,1.2,6,15,48,15,13,2,4.5,33,66,17,20.5,"PB,AP DRoY-1"
6.0,Kobie Turner,25.0,LDE,17,16,0,3,3,100.0,30,10.0,10.0,0,108.3,-3.7,-11,41,0,10,4,4,8.0,22,62,3,4.6,
7.0,Byron Young,26.0,LOLB,17,16,0,19,13,68.4,128,9.8,6.7,1,104.7,2.4,17,111,53,8,7,0,7.5,23,62,8,11.4,
8.0,Kamren Kinchens,22.0,DB,17,4,4,41,30,73.2,353,11.8,8.6,4,91.9,7.6,203,150,2,0,0,0,0.0,0,57,6,9.5,
9.0,Michael Hoecht,27.0,OLB,17,5,0,14,12,85.7,133,11.1,9.5,0,106.2,3.3,38,95,25,6,2,1,3.0,12,56,4,6.7,
10.0,Troy Reeder,30.0,LB,6,6,0,19,14,73.7,160,11.4,8.4,0,98.6,3.1,37,123,10,0,0,0,0.0,0,46,6,11.5,
11.0,Darious Williams,31.0,LCB,12,11,1,59,38,64.4,510,13.4,8.6,3,101.7,9.7,304,206,0,0,0,0,0.0,0,45,5,10.0,
12.0,Bobby Brown,24.0,NT,17,16,0,1,0,0.0,1,,1.0,0,39.6,-4.0,-4,5,0,0,1,1,0.0,1,44,1,2.2,
13.0,Braden Fiske,24.0,RDE,17,8,0,3,3,100.0,8,2.7,2.7,0,79.2,-3.3,-10,18,1,11,2,0,8.5,22,44,7,13.7,AP DRoY-3
14.0,Jaylen McCollough,24.0,DB,17,1,4,25,16,64.0,156,9.8,6.2,2,68.5,7.5,106,50,7,0,1,0,0.0,1,43,1,2.3,
15.0,Cobie Durant,26.0,RCB,15,14,1,50,27,54.0,310,11.5,6.2,1,71.2,12.9,241,69,2,0,1,0,1.0,2,40,3,7.0,
16.0,Ahkello Witherspoon,29.0,CB,13,5,1,49,32,65.3,415,13.0,8.5,2,96.9,10.7,285,130,0,0,0,1,0.0,0,31,5,13.9,
17.0,Tyler Davis,24.0,DL,16,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.5,1,29,2,6.5,
18.0,Neville Gallimore,27.0,NT,14,4,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,19,0,0.0,
19.0,Jake Hummel,25.0,LB,17,1,0,7,6,85.7,83,13.8,11.9,1,155.7,4.0,21,62,2,0,0,0,0.0,0,17,1,5.6,
20.0,Desjuan Johnson,25.0,DE,10,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1.0,1,12,1,7.7,
21.0,Tre'Davious White,29.0,DB,4,4,0,18,12,66.7,178,14.8,9.9,4,138.4,11.9,144,34,1,0,0,0,0.0,0,12,4,25.0,
22.0,Josh Wallace,24.0,DB,17,3,0,15,8,53.3,49,6.1,3.3,0,60.1,5.5,-3,52,5,0,0,0,0.0,0,10,3,23.1,
23.0,John Johnson,29.0,S,2,1,1,4,3,75.0,17,5.7,4.3,0,42.7,4.8,9,8,0,0,0,0,0.0,0,8,1,11.1,
24.0,Emmanuel Forbes,23.0,CB,2,1,0,5,3,60.0,38,12.7,7.6,0,83.7,14.6,19,19,0,0,0,0,0.0,0,5,2,28.6,
25.0,Brennan Jackson,24.0,OLB,7,1,0,0,0,,0,,,0,,,0,0,2,1,0,0,0.0,1,3,1,25.0,
26.0,Keir Thomas,26.0,OLB,1,1,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,3,1,25.0,
27.0,Jonah Williams,29.0,DE,6,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,3,0,0.0,
28.0,Charles Woods,24.0,CB,12,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,2,1,33.3,
,Team Totals,,,17,17,13,542,354,68.0,4100,11.4,7.7,29,95.9,7.7,2106,5,219,59,34,11,38.0,134,1111,119,9.7,
