Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Kyren Williams,24.0,RB,16,16,316,1299,85,693,2.2,606,1.9,27,11.7,AP OPoY-11
2.0,Blake Corum,24.0,RB,17,1,58,207,12,122,2.1,85,1.5,0,,
3.0,Matthew Stafford,36.0,QB,16,16,30,41,10,36,1.2,5,0.2,0,,
4.0,Ronnie Rivers,25.0,RB,17,0,22,99,6,71,3.2,28,1.3,0,,
5.0,Puka Nacua,23.0,WR,11,11,11,46,2,24,2.2,22,2.0,1,11.0,
6.0,Xavier Smith,27.0,WR,15,0,4,36,1,30,7.5,6,1.5,0,,
7.0,Tutu Atwell,25.0,WR,17,5,2,7,0,6,3.0,1,0.5,0,,
8.0,Jimmy Garoppolo,33.0,QB,1,1,2,5,0,5,2.5,0,0.0,0,,
9.0,Cooper Kupp,31.0,WR,12,11,2,10,1,9,4.5,1,0.5,0,,
10.0,Jordan Whittington,24.0,WR,15,3,2,12,2,9,4.5,3,1.5,1,2.0,
11.0,Cody Schrader,25.0,RB,1,0,1,3,0,3,3.0,0,0.0,0,,
,Team Totals,,,17,17,450,1765,119,1008,2.2,757,1.7,29,15.5,
