Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Kenneth Walker III,24.0,RB,11,11,153,573,28,263,1.7,310,2.0,13,11.8,
2.0,Zach Charbonnet,23.0,RB,17,6,135,569,32,267,2.0,302,2.2,12,11.3,
3.0,Geno Smith,34.0,QB,17,17,53,272,17,254,4.8,18,0.3,0,,
4.0,Kenny McIntosh,24.0,RB,17,0,31,172,8,97,3.1,75,2.4,5,6.2,
5.0,Jaxon Smith-Njigba,22.0,WR,17,16,5,26,1,17,3.4,9,1.8,0,,PB
6.0,George Holani,25.0,RB,5,0,3,10,1,7,2.3,3,1.0,0,,
7.0,Sam Howell,24.0,QB,2,0,1,2,0,0,0.0,2,2.0,1,1.0,
8.0,Julian Love,26.0,FS,17,17,1,2,1,0,0.0,2,2.0,0,,
9.0,Laviska Shenault Jr.,26.0,WR,11,1,1,1,0,0,0.0,1,1.0,0,,
,Team Totals,,,17,17,383,1627,88,905,2.4,722,1.9,31,12.4,
