Tm,PF,Yds,Yds,Yds,Yds,Y/P,EXP
Detroit Lions,564,6962,4474,2488,988,6.2,269.8
Buffalo Bills,525,6105,3875,2230,833,6,266.71
Baltimore Ravens,518,7224,4035,3189,1120,6.8,300.81
Tampa Bay Buccaneers,502,6793,4257,2536,839,6.2,207.09
Washington Commanders,485,6284,3665,2619,960,5.7,242.98
Cincinnati Bengals,472,6214,4640,1574,780,5.8,150.85
Philadelphia Eagles,463,6242,3194,3048,793,5.6,202.72
Green Bay Packers,460,6303,3807,2496,836,6.1,138.96
Minnesota Vikings,432,5898,4043,1855,845,5.6,70.97
Denver Broncos,425,5518,3610,1908,941,5.2,48.21
Los Angeles Chargers,402,5511,3629,1882,718,5.4,83.28
Arizona Cardinals,400,6090,3639,2451,806,5.9,132.27
Atlanta Falcons,389,6287,4068,2219,828,5.8,99.63
San Francisco 49ers,389,6397,4234,2163,843,6.2,115.77
Kansas City Chiefs,385,5570,3780,1790,829,5.1,113.11
Pittsburgh Steelers,380,5430,3264,2166,823,5,13.94
Indianapolis Colts,377,5692,3361,2331,684,5.5,12.49
Seattle Seahawks,375,5647,4020,1627,987,5.5,26.6
Houston Texans,372,5435,3526,1909,981,5.1,11.46
Los Angeles Rams,367,5633,3868,1765,798,5.4,87.14
Dallas Cowboys,350,5567,3862,1705,921,5,-42.28
Miami Dolphins,345,5532,3737,1795,926,5.1,0.06
Carolina Panthers,341,5066,3188,1878,947,5.1,-9.53
New Orleans Saints,338,5442,3488,1954,1003,5.3,14.68
New York Jets,338,5275,3714,1561,1134,5.2,28.95
Jacksonville Jaguars,320,5206,3477,1729,787,5.2,13.88
Tennessee Titans,311,5172,3317,1855,1030,5,-62.07
Chicago Bears,310,4820,3086,1734,867,4.5,-43.48
Las Vegas Raiders,309,5154,3797,1357,807,4.8,-76.31
New England Patriots,289,4964,2995,1969,916,4.8,-38.96
New York Giants,273,5011,3228,1783,928,4.7,-82.92
Cleveland Browns,258,5114,3506,1608,915,4.6,-161.38
Avg Team,389.5,5736.2,3699.5,2036.7,887.9,5.4,66.7
