Tm,Cmp%,Yds,TD,Int,Sk,QBHits,NY/A,ANY/A,EXP
Philadelphia Eagles,62.2,2961.0,22.0,13.0,41.0,87.0,5.1,4.8,23.56
Tennessee Titans,66.4,3014.0,27.0,11.0,32.0,67.0,6.0,6.1,-89.7
Washington Commanders,61.9,3221.0,25.0,7.0,43.0,88.0,6.0,6.3,-126.77
New York Jets,62.8,3275.0,18.0,7.0,43.0,84.0,5.8,5.9,-92.67
San Francisco 49ers,65.5,3278.0,25.0,11.0,37.0,80.0,5.9,5.9,-56.36
Houston Texans,58.8,3417.0,31.0,19.0,49.0,98.0,5.7,5.3,-5.15
Los Angeles Chargers,65.0,3517.0,24.0,15.0,46.0,98.0,5.8,5.4,-18.84
New York Giants,69.4,3580.0,23.0,5.0,45.0,94.0,6.5,7.0,-98.19
Miami Dolphins,63.8,3582.0,22.0,10.0,35.0,81.0,5.9,5.9,-36.64
New England Patriots,64.9,3596.0,27.0,7.0,28.0,66.0,6.4,6.8,-119.58
Seattle Seahawks,65.2,3603.0,26.0,13.0,45.0,112.0,5.9,5.8,-36.64
Cleveland Browns,61.8,3611.0,26.0,4.0,41.0,108.0,6.5,7.2,-80.69
Green Bay Packers,67.4,3658.0,23.0,17.0,45.0,91.0,6.0,5.5,-22.66
Arizona Cardinals,68.6,3674.0,20.0,9.0,41.0,76.0,6.3,6.3,-85.53
Las Vegas Raiders,66.0,3676.0,29.0,10.0,38.0,86.0,6.1,6.4,-91.34
Chicago Bears,64.6,3705.0,17.0,11.0,40.0,100.0,6.8,6.5,-39.42
Dallas Cowboys,68.2,3708.0,28.0,13.0,52.0,105.0,6.6,6.5,-63.96
Kansas City Chiefs,65.9,3720.0,24.0,13.0,39.0,112.0,6.1,5.9,-95.23
Denver Broncos,64.9,3752.0,22.0,15.0,63.0,142.0,5.6,5.3,-16.14
Los Angeles Rams,65.3,3793.0,29.0,13.0,38.0,72.0,6.5,6.5,-60.58
Cincinnati Bengals,64.9,3799.0,30.0,15.0,36.0,105.0,6.2,6.1,-78.94
Atlanta Falcons,69.9,3817.0,34.0,12.0,31.0,74.0,6.3,6.5,-76.07
Carolina Panthers,67.9,3820.0,35.0,9.0,32.0,64.0,6.8,7.3,-143.21
Buffalo Bills,68.5,3843.0,28.0,16.0,39.0,94.0,6.2,6.0,-116.31
Pittsburgh Steelers,65.6,3876.0,23.0,17.0,40.0,105.0,6.2,5.7,-55.5
Indianapolis Colts,69.4,3899.0,27.0,16.0,36.0,83.0,6.7,6.4,-101.05
New Orleans Saints,61.9,4055.0,19.0,14.0,39.0,84.0,6.4,6.0,-60.31
Minnesota Vikings,65.1,4114.0,24.0,24.0,49.0,113.0,6.0,5.1,-26.89
Tampa Bay Buccaneers,66.3,4147.0,27.0,7.0,46.0,114.0,6.1,6.5,-115.82
Detroit Lions,61.1,4148.0,18.0,16.0,37.0,110.0,6.4,5.9,-55.0
Baltimore Ravens,63.4,4150.0,27.0,12.0,54.0,122.0,6.1,6.1,-113.15
Jacksonville Jaguars,67.1,4375.0,29.0,6.0,34.0,68.0,7.1,7.6,-161.72
Avg Team,65.3,3699.5,25.3,12.1,41.1,93.2,6.19,6.1,-72.4
League Total,65.3,118384.0,809.0,387.0,1314.0,2983.0,6.19,6.1,
Avg Tm/G,65.3,217.6,1.5,0.7,2.4,5.5,6.19,6.1,
