Tm,Yds,TD,Y/A,Y/G,EXP
Baltimore Ravens,3189.0,21.0,5.8,187.6,100.61
Philadelphia Eagles,3048.0,29.0,4.9,179.3,91.17
Washington Commanders,2619.0,25.0,5.0,154.1,76.61
Tampa Bay Buccaneers,2536.0,16.0,5.3,149.2,47.16
Green Bay Packers,2496.0,23.0,4.7,146.8,19.73
Detroit Lions,2488.0,29.0,4.7,146.4,68.6
Arizona Cardinals,2451.0,18.0,5.3,144.2,62.55
Indianapolis Colts,2331.0,20.0,4.7,137.1,10.61
Buffalo Bills,2230.0,32.0,4.5,131.2,83.25
Atlanta Falcons,2219.0,18.0,4.5,130.5,17.02
Pittsburgh Steelers,2166.0,14.0,4.1,127.4,-30.21
San Francisco 49ers,2163.0,17.0,4.7,127.2,22.92
New England Patriots,1969.0,11.0,4.4,115.8,-7.76
New Orleans Saints,1954.0,15.0,4.4,114.9,27.38
Houston Texans,1909.0,15.0,4.4,112.3,-13.75
Denver Broncos,1908.0,12.0,4.1,112.2,-7.46
Los Angeles Chargers,1882.0,17.0,4.1,110.7,-3.56
Carolina Panthers,1878.0,18.0,4.6,110.5,23.6
Minnesota Vikings,1855.0,9.0,4.1,109.1,-22.63
Tennessee Titans,1855.0,11.0,4.1,109.1,-18.58
Miami Dolphins,1795.0,12.0,4.0,105.6,-63.12
Kansas City Chiefs,1790.0,15.0,4.0,105.3,14.79
New York Giants,1783.0,13.0,4.2,104.9,-8.44
Los Angeles Rams,1765.0,15.0,3.9,103.8,-7.24
Chicago Bears,1734.0,13.0,4.0,102.0,-19.28
Jacksonville Jaguars,1729.0,13.0,4.2,101.7,7.81
Dallas Cowboys,1705.0,6.0,4.0,100.3,-34.31
Seattle Seahawks,1627.0,17.0,4.2,95.7,-14.33
Cleveland Browns,1608.0,8.0,4.1,94.6,-10.98
Cincinnati Bengals,1574.0,11.0,4.1,92.6,-1.56
New York Jets,1561.0,8.0,4.3,91.8,-3.44
Las Vegas Raiders,1357.0,10.0,3.6,79.8,-72.33
Avg Team,2036.7,16.0,4.4,119.8,10.5
League Total,65174.0,511.0,4.4,119.8,
Avg Tm/G,119.8,0.9,4.4,119.8,
