Tm,3D%,4D%,RZPct
Kansas City Chiefs,48.50%,70.60%,53.80%
Tampa Bay Buccaneers,50.90%,64.30%,66.70%
Cincinnati Bengals,46.70%,52.60%,63.90%
Washington Commanders,45.60%,87.00%,63.40%
Philadelphia Eagles,41.70%,70.40%,57.40%
Detroit Lions,47.60%,66.70%,69.40%
Baltimore Ravens,48.20%,53.30%,74.20%
Denver Broncos,39.60%,68.20%,62.50%
Pittsburgh Steelers,39.50%,38.90%,48.20%
Buffalo Bills,44.10%,72.70%,71.60%
Los Angeles Chargers,40.30%,62.50%,56.00%
Houston Texans,37.70%,61.10%,49.10%
San Francisco 49ers,42.60%,50.00%,57.10%
Dallas Cowboys,36.80%,35.70%,46.00%
Indianapolis Colts,37.90%,60.70%,53.80%
Arizona Cardinals,43.00%,44.40%,56.10%
New York Jets,39.50%,41.70%,54.50%
Atlanta Falcons,39.20%,67.70%,54.70%
New York Giants,35.30%,54.10%,43.20%
Tennessee Titans,37.70%,39.10%,53.30%
Minnesota Vikings,40.00%,46.20%,55.70%
Seattle Seahawks,37.60%,52.60%,57.10%
Las Vegas Raiders,34.80%,56.00%,48.90%
Miami Dolphins,36.30%,48.40%,56.60%
New Orleans Saints,35.20%,55.60%,58.10%
Chicago Bears,32.90%,60.50%,62.20%
Jacksonville Jaguars,37.30%,53.80%,58.00%
Carolina Panthers,36.00%,46.70%,62.00%
New England Patriots,34.90%,58.30%,46.80%
Green Bay Packers,39.50%,50.00%,59.40%
Los Angeles Rams,36.80%,66.70%,52.40%
Cleveland Browns,29.50%,54.50%,48.60%
League Total,,,
