Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Bengals,2024,Jake Browning,QB,5,.44%,0,0%,0,0%,Jake Browning 2024 game-by-game snap counts
Bengals,2024,Zack Moss,RB,297,26.12%,0,0%,0,0%,Zack Moss 2024 game-by-game snap counts
Bengals,2024,Chase Brown,RB,686,60.33%,0,0%,82,17.79%,Chase Brown 2024 game-by-game snap counts
Bengals,2024,Trayveon Williams,RB,10,.88%,0,0%,253,54.88%,Trayveon Williams 2024 game-by-game snap counts
Bengals,2024,Kendall Milton,RB,6,.53%,0,0%,0,0%,Kendall Milton 2024 game-by-game snap counts
Bengals,2024,Khalil Herbert,RB,112,9.85%,0,0%,44,9.54%,Khalil Herbert 2024 game-by-game snap counts
Bengals,2024,Tee Higgins,WR,636,55.94%,0,0%,1,.22%,Tee Higgins 2024 game-by-game snap counts
Bengals,2024,Andrei Iosivas,WR,892,78.45%,0,0%,2,.43%,Andrei Iosivas 2024 game-by-game snap counts
Bengals,2024,Ja'Marr Chase,WR,1054,92.70%,0,0%,0,0%,Ja'Marr Chase 2024 game-by-game snap counts
Bengals,2024,Trenton Irwin,WR,125,10.99%,0,0%,17,3.69%,Trenton Irwin 2024 game-by-game snap counts
Bengals,2024,Kendric Pryor,WR,19,1.67%,0,0%,5,1.08%,Kendric Pryor 2024 game-by-game snap counts
Bengals,2024,Charlie Jones,WR,26,2.29%,0,0%,46,9.98%,Charlie Jones 2024 game-by-game snap counts
Bengals,2024,Jermaine Burton,WR,131,11.52%,0,0%,37,8.03%,Jermaine Burton 2024 game-by-game snap counts
Bengals,2024,Isaiah Williams,WR,19,1.67%,0,0%,23,4.99%,Isaiah Williams 2024 game-by-game snap counts
Bengals,2024,Drew Sample,TE,655,57.61%,0,0%,226,49.02%,Drew Sample 2024 game-by-game snap counts
Bengals,2024,Tanner Hudson,TE,119,10.47%,0,0%,231,50.11%,Tanner Hudson 2024 game-by-game snap counts
Bengals,2024,Mike Gesicki,TE,523,46.00%,0,0%,2,.43%,Mike Gesicki 2024 game-by-game snap counts
Bengals,2024,Erick All,TE,231,20.32%,0,0%,77,16.70%,Erick All 2024 game-by-game snap counts
Bengals,2024,Cam Grandy,TE,75,6.60%,0,0%,57,12.36%,Cam Grandy 2024 game-by-game snap counts
Bengals,2024,Tanner McLachlan,TE,5,.44%,0,0%,17,3.69%,Tanner McLachlan 2024 game-by-game snap counts
Bengals,2024,Orlando Brown Jr.,T,637,56.02%,0,0%,29,6.29%,Orlando Brown Jr. 2024 game-by-game snap counts
Bengals,2024,Trent Brown,T,139,12.23%,0,0%,10,2.17%,Trent Brown 2024 game-by-game snap counts
Bengals,2024,Amarius Mims,T,836,73.53%,0,0%,53,11.50%,Amarius Mims 2024 game-by-game snap counts
Bengals,2024,Andrew Stueber,T,5,.44%,0,0%,38,8.24%,Andrew Stueber 2024 game-by-game snap counts
Bengals,2024,Devin Cochran,T,152,13.37%,0,0%,24,5.21%,Devin Cochran 2024 game-by-game snap counts
Bengals,2024,Cordell Volson,G,985,86.63%,0,0%,86,18.66%,Cordell Volson 2024 game-by-game snap counts
Bengals,2024,Alex Cappa,G,1133,99.65%,0,0%,11,2.39%,Alex Cappa 2024 game-by-game snap counts
Bengals,2024,Jaxson Kirkland,G,3,.26%,0,0%,10,2.17%,Jaxson Kirkland 2024 game-by-game snap counts
Bengals,2024,Cody Ford,G,689,60.60%,0,0%,80,17.35%,Cody Ford 2024 game-by-game snap counts
Bengals,2024,Ted Karras,C,1137,100.00%,0,0%,86,18.66%,Ted Karras 2024 game-by-game snap counts
Bengals,2024,Trey Hill,C,0,0%,0,0%,3,.65%,Trey Hill 2024 game-by-game snap counts
Bengals,2024,Matt Lee,C,27,2.37%,0,0%,86,18.66%,Matt Lee 2024 game-by-game snap counts
Bengals,2024,Sam Hubbard,DE,6,.53%,523,45.96%,2,.43%,Sam Hubbard 2024 game-by-game snap counts
Bengals,2024,Trey Hendrickson,DE,0,0%,825,72.50%,1,.22%,Trey Hendrickson 2024 game-by-game snap counts
Bengals,2024,Myles Murphy,DE,0,0%,353,31.02%,4,.87%,Myles Murphy 2024 game-by-game snap counts
Bengals,2024,Joseph Ossai,DE,0,0%,576,50.62%,104,22.56%,Joseph Ossai 2024 game-by-game snap counts
Bengals,2024,Cedric Johnson,DE,0,0%,83,7.29%,82,17.79%,Cedric Johnson 2024 game-by-game snap counts
Bengals,2024,K.J. Henry,DE,0,0%,11,.97%,7,1.52%,K.J. Henry 2024 game-by-game snap counts
Bengals,2024,B.J. Hill,DT,0,0%,710,62.39%,50,10.85%,B.J. Hill 2024 game-by-game snap counts
Bengals,2024,Sheldon Rankins,DT,0,0%,288,25.31%,16,3.47%,Sheldon Rankins 2024 game-by-game snap counts
Bengals,2024,Zachary Carter,DT,0,0%,151,13.27%,19,4.12%,Zachary Carter 2024 game-by-game snap counts
Bengals,2024,Jay Tufele,DT,0,0%,243,21.35%,31,6.72%,Jay Tufele 2024 game-by-game snap counts
Bengals,2024,Kris Jenkins,DT,0,0%,497,43.67%,40,8.68%,Kris Jenkins 2024 game-by-game snap counts
Bengals,2024,Lawrence Guy,DT,0,0%,91,8.00%,24,5.21%,Lawrence Guy 2024 game-by-game snap counts
Bengals,2024,McKinnley Jackson,DT,0,0%,248,21.79%,51,11.06%,McKinnley Jackson 2024 game-by-game snap counts
Bengals,2024,Logan Wilson,LB,0,0%,745,65.47%,55,11.93%,Logan Wilson 2024 game-by-game snap counts
