Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Broncos,2024,Jarrett Stidham,QB,14,1.27%,0,0%,0,0%,Jarrett Stidham 2024 game-by-game snap counts
Broncos,2024,Javonte Williams,RB,574,52.09%,0,0%,0,0%,Javonte Williams 2024 game-by-game snap counts
Broncos,2024,Jaleel McLaughlin,RB,296,26.86%,0,0%,3,.63%,Jaleel McLaughlin 2024 game-by-game snap counts
Broncos,2024,Audric Estime,RB,138,12.52%,0,0%,66,13.95%,Audric Estime 2024 game-by-game snap counts
Broncos,2024,Tyler Badie,RB,21,1.91%,0,0%,0,0%,Tyler Badie 2024 game-by-game snap counts
Broncos,2024,Blake Watson,RB,11,1.00%,0,0%,7,1.48%,Blake Watson 2024 game-by-game snap counts
Broncos,2024,Michael Burton,FB,175,15.88%,0,0%,294,62.16%,Michael Burton 2024 game-by-game snap counts
Broncos,2024,Courtland Sutton,WR,936,84.94%,0,0%,3,.63%,Courtland Sutton 2024 game-by-game snap counts
Broncos,2024,Josh Reynolds,WR,187,16.97%,0,0%,1,.21%,Josh Reynolds 2024 game-by-game snap counts
Broncos,2024,Devaughn Vele,WR,447,40.56%,0,0%,1,.21%,Devaughn Vele 2024 game-by-game snap counts
Broncos,2024,Marvin Mims,WR,297,26.95%,0,0%,170,35.94%,Marvin Mims 2024 game-by-game snap counts
Broncos,2024,Lil'Jordan Humphrey,WR,546,49.55%,0,0%,0,0%,Lil'Jordan Humphrey 2024 game-by-game snap counts
Broncos,2024,Troy Franklin,WR,386,35.03%,0,0%,0,0%,Troy Franklin 2024 game-by-game snap counts
Broncos,2024,Greg Dulcich,TE,120,10.89%,0,0%,0,0%,Greg Dulcich 2024 game-by-game snap counts
Broncos,2024,Nate Adkins,TE,420,38.11%,0,0%,280,59.20%,Nate Adkins 2024 game-by-game snap counts
Broncos,2024,Adam Trautman,TE,574,52.09%,0,0%,76,16.07%,Adam Trautman 2024 game-by-game snap counts
Broncos,2024,Lucas Krull,TE,299,27.13%,0,0%,133,28.12%,Lucas Krull 2024 game-by-game snap counts
Broncos,2024,Mike McGlinchey,T,847,76.86%,0,0%,65,13.74%,Mike McGlinchey 2024 game-by-game snap counts
Broncos,2024,Garett Bolles,T,1068,96.91%,0,0%,84,17.76%,Garett Bolles 2024 game-by-game snap counts
Broncos,2024,Matt Peart,T,191,17.33%,0,0%,87,18.39%,Matt Peart 2024 game-by-game snap counts
Broncos,2024,Frank Crum,T,9,.82%,0,0%,24,5.07%,Frank Crum 2024 game-by-game snap counts
Broncos,2024,Alex Palczewski,T,180,16.33%,0,0%,67,14.16%,Alex Palczewski 2024 game-by-game snap counts
Broncos,2024,Cameron Fleming,T,0,0%,0,0%,2,.42%,Cameron Fleming 2024 game-by-game snap counts
Broncos,2024,Ben Powers,G,1088,98.73%,0,0%,84,17.76%,Ben Powers 2024 game-by-game snap counts
Broncos,2024,Quinn Meinerz,G,1088,98.73%,0,0%,82,17.34%,Quinn Meinerz 2024 game-by-game snap counts
Broncos,2024,Calvin Throckmorton,G,3,.27%,0,0%,12,2.54%,Calvin Throckmorton 2024 game-by-game snap counts
Broncos,2024,Luke Wattenberg,C,824,74.77%,0,0%,3,.63%,Luke Wattenberg 2024 game-by-game snap counts
Broncos,2024,Alex Forsyth,C,290,26.32%,0,0%,92,19.45%,Alex Forsyth 2024 game-by-game snap counts
Broncos,2024,Zach Allen,DE,0,0%,964,83.46%,71,15.01%,Zach Allen 2024 game-by-game snap counts
Broncos,2024,John Franklin-Myers,DE,0,0%,533,46.15%,9,1.90%,John Franklin-Myers 2024 game-by-game snap counts
Broncos,2024,Eyioma Uwazurike,DE,0,0%,63,5.45%,21,4.44%,Eyioma Uwazurike 2024 game-by-game snap counts
Broncos,2024,Jordan Jackson,DE,0,0%,310,26.84%,164,34.67%,Jordan Jackson 2024 game-by-game snap counts
Broncos,2024,Malcolm Roach,DT,0,0%,489,42.34%,80,16.91%,Malcolm Roach 2024 game-by-game snap counts
Broncos,2024,D.J. Jones,NT,0,0%,465,40.26%,32,6.77%,D.J. Jones 2024 game-by-game snap counts
