Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Cardinals,2024,Clayton Tune,QB,31,2.83%,0,0%,0,0%,Clayton Tune 2024 game-by-game snap counts
Cardinals,2024,James Conner,RB,619,56.48%,0,0%,0,0%,James Conner 2024 game-by-game snap counts
Cardinals,2024,Michael Carter,RB,132,12.04%,0,0%,0,0%,Michael Carter 2024 game-by-game snap counts
Cardinals,2024,Emari Demercado,RB,164,14.96%,0,0%,52,11.90%,Emari Demercado 2024 game-by-game snap counts
Cardinals,2024,DeeJay Dallas,RB,54,4.93%,0,0%,275,62.93%,DeeJay Dallas 2024 game-by-game snap counts
Cardinals,2024,Tony Jones,RB,5,.46%,0,0%,10,2.29%,Tony Jones 2024 game-by-game snap counts
Cardinals,2024,Trey Benson,RB,137,12.50%,0,0%,0,0%,Trey Benson 2024 game-by-game snap counts
Cardinals,2024,Marvin Harrison Jr.,WR,865,78.92%,0,0%,0,0%,Marvin Harrison Jr. 2024 game-by-game snap counts
Cardinals,2024,Michael Wilson,WR,822,75.00%,0,0%,2,.46%,Michael Wilson 2024 game-by-game snap counts
Cardinals,2024,Xavier Weaver,WR,57,5.20%,0,0%,0,0%,Xavier Weaver 2024 game-by-game snap counts
Cardinals,2024,Greg Dortch,WR,432,39.42%,0,0%,112,25.63%,Greg Dortch 2024 game-by-game snap counts
Cardinals,2024,Zach Pascal,WR,68,6.20%,0,0%,278,63.62%,Zach Pascal 2024 game-by-game snap counts
Cardinals,2024,Zay Jones,WR,257,23.45%,0,0%,0,0%,Zay Jones 2024 game-by-game snap counts
Cardinals,2024,Chris Moore,WR,27,2.46%,0,0%,0,0%,Chris Moore 2024 game-by-game snap counts
Cardinals,2024,Trey McBride,TE,934,85.22%,0,0%,15,3.43%,Trey McBride 2024 game-by-game snap counts
Cardinals,2024,Elijah Higgins,TE,411,37.50%,0,0%,176,40.27%,Elijah Higgins 2024 game-by-game snap counts
