Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Chargers,2024,Taylor Heinicke,QB,22,2.06%,0,0%,0,0%,Taylor Heinicke 2024 game-by-game snap counts
Chargers,2024,J.K. Dobbins,RB,533,49.95%,0,0%,0,0%,J.K. Dobbins 2024 game-by-game snap counts
Chargers,2024,Gus Edwards,RB,223,20.90%,0,0%,0,0%,Gus Edwards 2024 game-by-game snap counts
Chargers,2024,Kimani Vidal,RB,169,15.84%,0,0%,6,1.30%,Kimani Vidal 2024 game-by-game snap counts
Chargers,2024,Hassan Haskins,RB,133,12.46%,0,0%,292,63.07%,Hassan Haskins 2024 game-by-game snap counts
Chargers,2024,Jaret Patterson,RB,0,0%,0,0%,1,.22%,Jaret Patterson 2024 game-by-game snap counts
Chargers,2024,Scott Matlock,FB,362,33.93%,137,12.53%,231,49.89%,Scott Matlock 2024 game-by-game snap counts
Chargers,2024,Josh Palmer,WR,616,57.73%,0,0%,0,0%,Josh Palmer 2024 game-by-game snap counts
Chargers,2024,Ladd McConkey,WR,735,68.88%,0,0%,19,4.10%,Ladd McConkey 2024 game-by-game snap counts
Chargers,2024,Quentin Johnston,WR,656,61.48%,0,0%,0,0%,Quentin Johnston 2024 game-by-game snap counts
Chargers,2024,Laviska Shenault Jr.,WR,7,.66%,0,0%,13,2.81%,Laviska Shenault Jr. 2024 game-by-game snap counts
Chargers,2024,Jalen Reagor,WR,138,12.93%,0,0%,34,7.34%,Jalen Reagor 2024 game-by-game snap counts
Chargers,2024,Simi Fehoko,WR,244,22.87%,0,0%,81,17.49%,Simi Fehoko 2024 game-by-game snap counts
Chargers,2024,Derius Davis,WR,148,13.87%,0,0%,130,28.08%,Derius Davis 2024 game-by-game snap counts
Chargers,2024,Dez Fitzpatrick,WR,10,.94%,0,0%,0,0%,Dez Fitzpatrick 2024 game-by-game snap counts
Chargers,2024,Jaylen Johnson,WR,1,.09%,0,0%,3,.65%,Jaylen Johnson 2024 game-by-game snap counts
Chargers,2024,Brenden Rice,WR,3,.28%,0,0%,10,2.16%,Brenden Rice 2024 game-by-game snap counts
Chargers,2024,DJ Chark,WR,105,9.84%,0,0%,0,0%,DJ Chark 2024 game-by-game snap counts
Chargers,2024,Hayden Hurst,TE,174,16.31%,0,0%,0,0%,Hayden Hurst 2024 game-by-game snap counts
Chargers,2024,Tucker Fisk,TE,206,19.31%,0,0%,68,14.69%,Tucker Fisk 2024 game-by-game snap counts
Chargers,2024,Will Dissly,TE,540,50.61%,0,0%,10,2.16%,Will Dissly 2024 game-by-game snap counts
Chargers,2024,Eric Tomlinson,TE,133,12.46%,0,0%,85,18.36%,Eric Tomlinson 2024 game-by-game snap counts
Chargers,2024,Stone Smartt,TE,181,16.96%,0,0%,155,33.48%,Stone Smartt 2024 game-by-game snap counts
Chargers,2024,Trey Pipkins,T,838,78.54%,0,0%,61,13.17%,Trey Pipkins 2024 game-by-game snap counts
Chargers,2024,Joe Alt,T,1011,94.75%,0,0%,74,15.98%,Joe Alt 2024 game-by-game snap counts
Chargers,2024,Rashawn Slater,T,904,84.72%,0,0%,67,14.47%,Rashawn Slater 2024 game-by-game snap counts
Chargers,2024,Foster Sarell,T,40,3.75%,0,0%,47,10.15%,Foster Sarell 2024 game-by-game snap counts
Chargers,2024,Zion Johnson,G,1047,98.13%,0,0%,77,16.63%,Zion Johnson 2024 game-by-game snap counts
Chargers,2024,Jamaree Salyer,G,340,31.87%,0,0%,77,16.63%,Jamaree Salyer 2024 game-by-game snap counts
Chargers,2024,Brenden Jaimes,G,10,.94%,0,0%,44,9.50%,Brenden Jaimes 2024 game-by-game snap counts
Chargers,2024,Jordan McFadden,G,1,.09%,0,0%,0,0%,Jordan McFadden 2024 game-by-game snap counts
Chargers,2024,Sam Mustipher,C,105,9.84%,0,0%,56,12.10%,Sam Mustipher 2024 game-by-game snap counts
Chargers,2024,Bradley Bozeman,C,1057,99.06%,0,0%,0,0%,Bradley Bozeman 2024 game-by-game snap counts
Chargers,2024,Tuli Tuipulotu,DE,0,0%,732,66.97%,339,73.22%,Tuli Tuipulotu 2024 game-by-game snap counts
Chargers,2024,Khalil Mack,DE,0,0%,616,56.36%,0,0%,Khalil Mack 2024 game-by-game snap counts
Chargers,2024,Joey Bosa,DE,0,0%,456,41.72%,0,0%,Joey Bosa 2024 game-by-game snap counts
Chargers,2024,Poona Ford,DE,0,0%,604,55.26%,66,14.25%,Poona Ford 2024 game-by-game snap counts
Chargers,2024,Justin Eboigbe,DE,0,0%,26,2.38%,27,5.83%,Justin Eboigbe 2024 game-by-game snap counts
Chargers,2024,Morgan Fox,DT,0,0%,577,52.79%,80,17.28%,Morgan Fox 2024 game-by-game snap counts
Chargers,2024,Otito Ogbonnia,DT,0,0%,505,46.20%,39,8.42%,Otito Ogbonnia 2024 game-by-game snap counts
Chargers,2024,Teair Tart,DT,0,0%,348,31.84%,53,11.45%,Teair Tart 2024 game-by-game snap counts
Chargers,2024,Daiyan Henley,LB,0,0%,996,91.13%,164,35.42%,Daiyan Henley 2024 game-by-game snap counts
Chargers,2024,Junior Colson,LB,0,0%,218,19.95%,94,20.30%,Junior Colson 2024 game-by-game snap counts
Chargers,2024,Bud Dupree,LB,0,0%,546,49.95%,30,6.48%,Bud Dupree 2024 game-by-game snap counts
Chargers,2024,Denzel Perryman,LB,0,0%,340,31.11%,40,8.64%,Denzel Perryman 2024 game-by-game snap counts
Chargers,2024,Caleb Murphy,LB,0,0%,12,1.10%,37,7.99%,Caleb Murphy 2024 game-by-game snap counts
