Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Commanders,2024,Marcus Mariota,QB,100,8.60%,0,0%,0,0%,Marcus Mariota 2024 game-by-game snap counts
Commanders,2024,Jeff Driskel,QB,1,.09%,0,0%,0,0%,Jeff Driskel 2024 game-by-game snap counts
Commanders,2024,Austin Ekeler,RB,409,35.17%,0,0%,56,11.97%,Austin Ekeler 2024 game-by-game snap counts
Commanders,2024,Brian Robinson Jr.,RB,505,43.42%,0,0%,0,0%,Brian Robinson Jr. 2024 game-by-game snap counts
Commanders,2024,Colson Yankoff,RB,6,.52%,0,0%,101,21.58%,Colson Yankoff 2024 game-by-game snap counts
Commanders,2024,Jeremy McNichols,RB,251,21.58%,0,0%,214,45.73%,Jeremy McNichols 2024 game-by-game snap counts
Commanders,2024,Chris Rodriguez,RB,77,6.62%,0,0%,54,11.54%,Chris Rodriguez 2024 game-by-game snap counts
Commanders,2024,Terry McLaurin,WR,935,80.40%,0,0%,1,.21%,Terry McLaurin 2024 game-by-game snap counts
Commanders,2024,Dyami Brown,WR,474,40.76%,0,0%,57,12.18%,Dyami Brown 2024 game-by-game snap counts
Commanders,2024,Luke McCaffrey,WR,419,36.03%,0,0%,51,10.90%,Luke McCaffrey 2024 game-by-game snap counts
Commanders,2024,Olamide Zaccheaus,WR,494,42.48%,0,0%,51,10.90%,Olamide Zaccheaus 2024 game-by-game snap counts
Commanders,2024,Noah Brown,WR,470,40.41%,0,0%,1,.21%,Noah Brown 2024 game-by-game snap counts
Commanders,2024,K.J. Osborn,WR,19,1.63%,0,0%,0,0%,K.J. Osborn 2024 game-by-game snap counts
Commanders,2024,Brycen Tremayne,WR,21,1.81%,0,0%,27,5.77%,Brycen Tremayne 2024 game-by-game snap counts
Commanders,2024,Jamison Crowder,WR,118,10.15%,0,0%,17,3.63%,Jamison Crowder 2024 game-by-game snap counts
Commanders,2024,Zach Ertz,TE,771,66.29%,0,0%,2,.43%,Zach Ertz 2024 game-by-game snap counts
Commanders,2024,John Bates,TE,516,44.37%,0,0%,225,48.08%,John Bates 2024 game-by-game snap counts
Commanders,2024,Ben Sinnott,TE,311,26.74%,0,0%,155,33.12%,Ben Sinnott 2024 game-by-game snap counts
Commanders,2024,Cornelius Lucas,T,467,40.15%,0,0%,73,15.60%,Cornelius Lucas 2024 game-by-game snap counts
Commanders,2024,Brandon Coleman,T,790,67.93%,0,0%,79,16.88%,Brandon Coleman 2024 game-by-game snap counts
Commanders,2024,Trenton Scott,T,192,16.51%,0,0%,90,19.23%,Trenton Scott 2024 game-by-game snap counts
Commanders,2024,Nick Allegretti,G,1151,98.97%,0,0%,89,19.02%,Nick Allegretti 2024 game-by-game snap counts
Commanders,2024,Andrew Wylie,"G,T",893,76.78%,0,0%,71,15.17%,Andrew Wylie 2024 game-by-game snap counts
Commanders,2024,Samuel Cosmi,G,1162,99.91%,0,0%,90,19.23%,Samuel Cosmi 2024 game-by-game snap counts
Commanders,2024,Chris Paul,G,1,.09%,0,0%,30,6.41%,Chris Paul 2024 game-by-game snap counts
Commanders,2024,Tyler Biadasz,C,946,81.34%,0,0%,0,0%,Tyler Biadasz 2024 game-by-game snap counts
Commanders,2024,Michael Deiter,C,232,19.95%,0,0%,90,19.23%,Michael Deiter 2024 game-by-game snap counts
Commanders,2024,Dorance Armstrong Jr.,DE,0,0%,636,58.73%,62,13.25%,Dorance Armstrong Jr. 2024 game-by-game snap counts
Commanders,2024,Clelin Ferrell,DE,0,0%,369,34.07%,64,13.68%,Clelin Ferrell 2024 game-by-game snap counts
Commanders,2024,Javontae Jean-Baptiste,DE,0,0%,194,17.91%,44,9.40%,Javontae Jean-Baptiste 2024 game-by-game snap counts
Commanders,2024,Efe Obada,DE,0,0%,84,7.76%,5,1.07%,Efe Obada 2024 game-by-game snap counts
Commanders,2024,Jalyn Holmes,DE,0,0%,162,14.96%,2,.43%,Jalyn Holmes 2024 game-by-game snap counts
Commanders,2024,Andre Jones,DE,0,0%,17,1.57%,0,0%,Andre Jones 2024 game-by-game snap counts
Commanders,2024,Carlos Watkins,DE,0,0%,3,.28%,0,0%,Carlos Watkins 2024 game-by-game snap counts
Commanders,2024,Jonathan Allen,DT,0,0%,301,27.79%,6,1.28%,Jonathan Allen 2024 game-by-game snap counts
Commanders,2024,Daron Payne,DT,0,0%,742,68.51%,67,14.32%,Daron Payne 2024 game-by-game snap counts
Commanders,2024,Phidarian Mathis,DT,0,0%,257,23.73%,54,11.54%,Phidarian Mathis 2024 game-by-game snap counts
Commanders,2024,Sheldon Day,DT,0,0%,272,25.12%,9,1.92%,Sheldon Day 2024 game-by-game snap counts
Commanders,2024,Jer'Zhan Newton,DT,0,0%,515,47.55%,25,5.34%,Jer'Zhan Newton 2024 game-by-game snap counts
Commanders,2024,Carl Davis,NT,0,0%,43,3.97%,15,3.21%,Carl Davis 2024 game-by-game snap counts
Commanders,2024,Bobby Wagner,LB,0,0%,1072,98.98%,83,17.74%,Bobby Wagner 2024 game-by-game snap counts
Commanders,2024,Frankie Luvu,LB,0,0%,1059,97.78%,23,4.91%,Frankie Luvu 2024 game-by-game snap counts
Commanders,2024,Mykal Walker,LB,0,0%,77,7.11%,344,73.50%,Mykal Walker 2024 game-by-game snap counts
Commanders,2024,Dante Fowler,LB,0,0%,564,52.08%,25,5.34%,Dante Fowler 2024 game-by-game snap counts
Commanders,2024,Jordan Magee,LB,0,0%,15,1.39%,146,31.20%,Jordan Magee 2024 game-by-game snap counts
Commanders,2024,Nick Bellore,LB,0,0%,7,.65%,334,71.37%,Nick Bellore 2024 game-by-game snap counts
Commanders,2024,Jamin Davis,LB,0,0%,86,7.94%,15,3.21%,Jamin Davis 2024 game-by-game snap counts
Commanders,2024,Benjamin St-Juste,CB,0,0%,837,77.29%,64,13.68%,Benjamin St-Juste 2024 game-by-game snap counts
Commanders,2024,Mike Sainristil,CB,0,0%,979,90.40%,43,9.19%,Mike Sainristil 2024 game-by-game snap counts
Commanders,2024,Marshon Lattimore,CB,0,0%,116,10.71%,1,.21%,Marshon Lattimore 2024 game-by-game snap counts
Commanders,2024,Emmanuel Forbes,CB,0,0%,109,10.06%,8,1.71%,Emmanuel Forbes 2024 game-by-game snap counts
Commanders,2024,Noah Igbinoghene,CB,0,0%,818,75.53%,60,12.82%,Noah Igbinoghene 2024 game-by-game snap counts
Commanders,2024,Michael Davis,CB,0,0%,138,12.74%,188,40.17%,Michael Davis 2024 game-by-game snap counts
